",,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,"
"o.,DISEASE,Report Week,Previous Week,Median 1951-55,1956,Cumulative 1955,Total³ Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,No."
",Chickenpox,""1,111"",""1,234"",""1,188"",""12,260"",""11,377"",""13,247"",3,-,3,-,-,5,39,65,45,-,-,1,244,495,240,621,379,558,18,25,34,:,..,27,,...,66,186,270,174,1"
",Diphtheria,2,2,3,28,30,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,2"
",Dysentery:4,13,20,12,109,87,98,-,-,-,-,-,-,-,-,-,...,..,,...,6,1,7,1,3,-,-,1,-,-,1,-,1,-,6,12,4,3"
",(a) Amoebic,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,...,,...,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4"
",(h) Pacillary,13,20,12,109,87,90,-,-,-,-,-,-,-,-,-,,,...,,6,...,7,1,3,-,-,1,-,-,1,-,1,-,5,12,4,5"
",Encephalitis, infectious,-,-,-,3,4,4,-,-,-,,: .,:,-,-,-,-,-,-,,,,,..,:.,-,-,-,-,-,-,-,-,-,-,-,-,6"
",Influenza, epidemic,167,""1,093"",477,""2,723"",""14,299"",""2,543"",...,...,...,27,32,...,46,72,191,-,-,1,-,-,-,74,27,66,2,2,4,8,-,3,,R.P.,....,10,960,61,7"
",Measles,""1,697"",""1,884"",""1,781"",""17,306"",""16,166"",""18,043"",16,5,9,15,13,3,103,61,60,-,-,2,390,782,403,949,802,532,39,61,62,16,2,4,39,47,157,130,111,103,8"
",Meningitis, meningococcal,5,7,7,67,70,65,4,1,-,,...,...,-,-,-,-,2,-,1,-,1,-,3,2,-,-,-,-,-,-,...,..,...,-,1,1,9"
"0,Mumps,820,904,""1,171"",""9,125"",""8,714"",""11,117"",-,-,-,2,11,3,3,3,54,-,-,1,216,220,218,369,412,580,35,37,32,...,7,63,...,...,24,195,214,121,10"
"1,Poliomyelitis, epidemic:4,4,-,3,30,35,35,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,-,-,11"
"2,(a) With paralysis,3,-,2,18,27,27,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,12"
"3,(b) Without paralysis,1,-,1,7,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,13"
"4,Rubella,""2,194"",""2,072"",431,""14,025"",""4,378"",""2,697"",12,-,-,...,...,,31,35,16,....,,,1266,1334,33,534,409,181,8,8,1,...,...,4,7,29,29,336,257,15,14"
"5,Scarlet fever, etc.⁵,402,402,394,""3,310"",""2,446"",""3,904"",2,2,1,18,19,6,32,32,23,1,6,19,89,79,87,204,190,89,14,2,7,-,7,21,24,19,68,18,46,77,15"
"6,Smallpox,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16"
"7,Tuberculosis:4,193,203,217,""1,714"",""1,727"",""1,936"",4,24,10,4,-,1,1,3,5,24,14,11,66,77,88,20,26,20,18,13,10,22,3,16,12,23,17,22,20,30,17"
"8,(a) Pulmonary,150,167,169,""1,411"",""1,383"",""1,571"",4,24,9,2,-,-,1,3,3,23,14,11,58,72,87,(6),(6),(6),18,13,10,14,3,7,12,22,15,18,16,24,18"
"9,(b) Non-pulmonary,23,10,9,98,117,99,-,-,-,2,-,-,-,-,-,1,-,-,8,5,1,(6),(6),(6),-,-,-,8,-,2,...,1,....,4,4,5,19"
"0,Typhoid and paratyphoid,9,6,4,73,34,95,-,-,-,-,-,-,-,-,-,-,-,-,7,3,2,2,-,1,-,-,-,I,-,-,-,2,1,-,1,-,20"
"1,Undulant fever,4,1,1,33,14,21,-,-,-,-,-,-,-,-,-,..,,,3,1,1,1,-,-,-,-,-,-,-,-,...,...,...,-,-,-,21"
"2,Venereal diseases:,284,365,340,""3,276"",""3,496"",""3,543"",9,7,10,-,1,-,16,8,15,4,4,8,73,109,102,42,73,61,28,42,18,12,20,23,50,50,51,50,51,55,22"
"3,(a) Syphilis, primary,3,4,3,28,28,46,-,-,-,-,-,-,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,23"
"4,(b) "" secondary,1,-,2,13,6,29,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,24"
"5,(c) "" other,31,56,63,354,497,591,-,5,1,-,1,-,4,-,2,-,-,3,15,26,24,3,13,16,-,1,2,3,6,2,2,-,2,4,4,3,25"
"6,(d) Gonorrhoea,249,305,280,""2,881"",""2,960"",""2,885"",9,2,7,-,-,-,12,6,13,4,4,5,58,83,66,39,60,48,28,41,17,9,14,19,44,48,48,46,47,50,26"
"7,(e) Other venereal diseases⁷,-,-,1,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27"
"8,Whooping cough,140,197,140,""1,711"",""3,632"",""1,930"",8,-,-,15,19,-,9,8,-,1,8,-,67,76,62,7,13,50,4,10,8,7,10,3,15,14,16,7,39,19,28"
