",,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QWE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,"
"o.,DISEASE,,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No."
",Report Week,Week,Median 1951-55,1956,1955,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,"
",Chickenpox,""1,135"",""1,111"",""1,031"",""13,395"",""12,408"",""14,545"",1,3,2,-,-,6,30,39,17,-,-,1,276,244,230,579,621,503,29,18,26,A.P.,...,21,,,56,220,186,145,1"
",Diphtheria,8,2,3,36,32,38,-,-,-,-,-,-,-,-,-,-,-,-,8,-,1,-,-,-,-,-,-,-,-,-,... -,2,-,-,-,-,2"
",Dysentery:4,7,13,10,116,97,108,-,-,-,-,-,-,-,-,-,P...,,....,...,R.A.,...,3,7,4,1,-,-,-,-,-,-,-,-,3,6,7,3"
",(a) Amoebic,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,P...,,,,,P.A,-,-,-,-,-,-,-,-,-,-,-,-,-,I,I,4"
",(b) Facillary,7,13,10,116,97,100,-,-,-,-,-,-,-,-,-,R.P.,...,,9.8,A.A.,....,3,7,4.,1,-,-,-,-,-,-,-,-,3,6,7,5"
",Encephalitis, infectious,1,-,-,4,4,4,-,-,-,...,A.A.,P...,-,-,-,-,-,-,.A,,P.A.,A.A.,,a.a.,-,-,-,-,-,I,-,1,-,1,1,-,6"
",Influenza, epidemic,""2,230"",167,284,""4,953"",""18,776"",""3,020"",....,...,R.P.,65,27,....,63,46,107,-,-,1,-,-,-,26,74,24,1,2,1,I,B,-,,,,2075,10,200,7"
",Measles,""1,323"",""1,697"",""1,866"",""18,629"",""18,066"",""19,850"",4,16,9,14,15,3,44,103,42,-,-,-,235,390,314,857,949,668,58,39,100,9.8,16,51,-- 10,39,133,101,130,184,8"
",Meningitis, meningococcal,7,5,8,75,79,72,-,4,-,1,A.P.,...,-,-,-,-,-,1,1,1,1,4,-,2,-,-,-,-,-,-,,,,1,-,-,9"
"0,Mumps,""1,139"",820,941,""10,264"",""9,575"",""12,383"",-,-,1,6,2,4,9,3,39,-,-,-,202,216,220,623,369,381,78,35,35,R.P.,...,76,... ....,R.A. ..,P.O. 19,221,195,119,10"
"1,Poliomyelitis, epidemic:4,2,4,2,32,36,36,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,2,1,11"
"2,(a) With paralysis,2,3,2,20,28,28,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,12"
