",,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,"
"o.,DISEASE,,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No."
",Report Week,Week,Median 1951-55,1956,1955,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,"
",Chickenpox,""1,199"",""1,303"",""1,268"",""9,915"",""9,175"",""10,870"",24,3,5,-,1,6,62,62,48,-,-,1,324,340,224,580,543,614,20,49,34,5,...,60,...,.....,62,184,305,171,1"
",Diphtheria,-,2,3,24,26,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2"
",Dysentery:4,13,6,14,76,57,80,-,-,-,2,1,-,-,-,-,...,...,....,5,...,...,-,-,5,2,1,-,-,-,-,-,-,-,4,4,6,3"
",(a) Amoebic,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,...,,...,,P..,...,-,-,-,I,-,-,-,-,-,-,-,-,-,-,-,4"
",(b) Bacillary,13,6,14,76,57,72,-,-,-,2,1,-,-,-,-,....,...,...,5,...,..,-,-,5,2,1,-,-,-,-,-,-,-,4,4,6,5"
",Encephalitis, infectious,-,-,-,3,4,4,-,-,-,...,R.P.,P...,-,-,-,-,-,-,...,....,...,...,:,....,-,-,-,-,-,-,-,-,-,-,-,-,6"
",Influenza, epidemic,104,205,327,""1,438"",""9,526"",""1,568"",....,....,,49,86,T.R,32,83,196,1,-,-,-,-,-,21,4,5,1,2,2,-,-,2,...,,...,-,30,42,7"
",Measles,""1,947"",""1,676"",""1,903"",""13,721"",""12,255"",""14,435"",1,-,10,3,37,4,65,100,65,-,-,-,521,374,297,1158,828,592,57,52,110,21,6,20,32,129,147,89,150,178,8"
",Meningitis, meningococcal,9,7,8,55,57,51,4,3,-,,...,*.*,-,-,-,-,-,2,1,1,-,4,1,2,-,-,1,-,-,-,P.A,A.T.,...,-,2,2,9"
"0,Mumps,""1,102"",886,""1,178"",""7,401"",""6,689"",""8,489"",-,-,1,6,16,1,5,1,37,-,-,-,226,176,254,683,401,464,47,49,42,R.9.,1,104,P.R,A.P.,51,135,242,110,10"
"1,Poliomyelitis, epidemic:4,5,3,4,25,30,30,-,-,-,-,-,-,-,-,1,1,-,-,2,-,-,-,1,-,-,-,1,-,-,-,-,-,1,2,2,-,11"
"2,(a) With paralysis,3,3,3,14,24,24,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,2,-,12"
"3,(b) Without paralysis,2,-,1,6,3,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,1,-,-,13"
"4,Rubella,""1,628"",""1,471"",291,""9,759"",""2,723"",""2,059"",5,4,-,,R.P.,,60,41,8,...,,P...,945,999,18,434,260,171,15,12,1,R.O.,1.A,7,18,13,39,151,42,25,14"
