",,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,"
"o.,DISEASE,Report Week,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No."
",,Week,Median 1951-55,1956,1955,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,"
",Chickenpox,848,813,872,""16,777"",""15,790"",""18,209"",4,27,2,8,5,4,25,18,24,-,-,-,312,240,177,324,395,405,17,15,18,...,...,28,...,...,27,158,113,149,1"
",Diphtheria,-,1,4,40,41,59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,2"
",Dysentery:4,16,9,12,149,149,149,-,-,-,-,-,-,-,-,-,R.P,,....,...,1,...,3,1,2,-,-,-,1,-,-,7,1,-,5,6,7.,3"
",(a) Amoebic,-,-,I,-,-,1,-,-,-,-,-,-,-,-,-,A.P,,A.F.,...,,#.A,-,-,-,-,-,-,-,-,-,I,,I,-,-,I,4"
",(b) Pacillary,16,9,12,149,149,149,-,-,-,-,-,-,-,-,-,...,...,....,...,1,...,3,1,2,-,-,-,1,-,-,7,1,-,5,6,7,5"
",Encephalitis, infectious,-,2,1,6,7,7,-,-,-,,...,...,-,-,-,-,-,-,...,...,9.8,,....,...,-,-,-,-,-,-,-,-,-,-,2,-,6"
",Influenza, epidemic,280,171,151,""5,994"",""30,556"",""5,224"",:,,,49,80,...,40,31,48,-,1,1,-,-,-,7,28,11,3,-,4,-,-,-,...,,,181,31,31,7"
",Measles,""1,077"",""1,204"",""1,489"",""23,630"",""24,836"",""27,142"",11,4,5,10,22,2,35,67,49,-,-,-,315,511,262,594,529,569,15,28,44,R.P.,3,12,9,A.A 9,.... 106,88,31,179,8"
",Meningitis, meningococcal,9,3,6,99,98,98,-,-,-,,...,,-,-,-,-,-,-,-,1,-,6,2,1,-,-,-,-,-,-,,,,3,-,1,9"
"0,Mumps,852,709,796,""13,467"",""12,756"",""18,067"",-,-,1,5,12,6,26,6,30,-,-,-,209,170,189,421,352,348,36,36,31,S.A.,2,39,...,,a.e. 10,155,131,99,10"
"1,Poliomyelitis, epidemic:4,-,4,4,44,65,65,-,-,-,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,A.9 -,-,-,-,1,1,11"
"2,(a) With paralysis,-,3,2,27,42,39,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,12"
"3,(b) Without paralysis,-,1,1,12,19,19,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13"
"4,Rubella,""2,644"",""2,636"",358,""25,704"",""8,844"",""4,607"",1,5,-,,...,...,25,30,14,P...,,...,1108,966,26,760,1255,139,3,3,-,,P...,7,21,15,24,726,362,35,14"
"5,Scarlet fever, etc.⁵,292,537,319,""5,237"",""3,755"",""6,049"",1,-,1,4,12,4,35,57,24,-,-,8,74,200,91,148,203,77,-,2,17,-,38,17,4,12,47,26,13,63,15"
"6,Smallpox,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16"
"7,Tuberculosis: 4,205,148,197,""2,510"",""2,617"",""3,037"",4,11,9,-,1,-,2,5,3,5,21,18,89,35,81,28,21,30,6,5,15,5,2,4,38,16,17,28,31,19,17"
"8,(a) Pulmonary,169,114,174,""2,052"",""2,119"",""2,405"",4,11,9,-,1,-,1,5,3,5,19,17,88,32,80,(6),(6),(6),4,4,14,4,-,4,38,13,17,25,29,16,18"
"9,(b) Non-pulmonary,8,13,6,143,166,139,-,-,-,-,-,-,1,-,-,-,2,-,1,3,1,(6),(6),(6),2,1,I,1,2,1,a.e.,3,1,3,2,3,19"
"0,Typhoid and paratyphoid,2,5,10,90,73,135,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,-,2,-,-,-,-,-,-,-,1,1,-,1,1,-,20"
"1,Undulant fever,-,5,2,41,20,34,-,-,-,-,-,-,-,-,-,,...,...,...,3,1,-,1,-,-,1,-,-,-,-,...,M.P.,...,-,-,-,21"
"2,Venereal diseases:,300,329,333,""4,738"",""4,974"",""5,195"",6,21,9,-,-,-,15,8,9,6,2,5,64,90,108,58,59,54,18,32,25,16,33,18,48,36,42,69,48,36,22"
"3,(a) Syphilis, primary,2,2,5,38,35,64,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,1,-,-,I,-,1,I,1,1,I,1,I,I,23"
"4,(b) secondary,2,-,3,15,11,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,1,-,1,1,-,-,-,-,1,-,-,-,24"
"5,(c) "" other,52,52,70,556,712,854,1,4,-,-,-,-,2,-,4,-,2,1,28,28,25,14,15,15,-,-,-,-,1,4,2,-,1,5,2,8,25"
"6,(d) Gonorrhoea,244,275,282,""4,129"",""4,206"",""4,109"",5,17,8,-,-,-,13,8,6,5,-,3,36,62,77,44,44,39,17,32,24,15,31,17,45,35,42,64,46,30,26"
"7,(e) Other venereal diseases⁷,-,-,1,-,10,8,-,-,-,-,-,-,:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,27"
"8,Whooping cough,209,183,126,""2,662"",""4,676"",""2,621"",-,1,-,15,16,-,I,1,1,4,--,i,111,80,48,24,17,31,11,13,3,-,14,4,20,7,9,23,34,18,28"
