",,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,"
"o.,DISEASE,,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No."
",Report Week,Week,Median 1951-55,1956,1955,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,"
",Chickenpox,""1,285"",""1,345"",""1,358"",""6,134"",""5,393"",""7,499"",6,5,4,-,-,6,54,65,52,1,-,1,436,329,221,539,698,586,30,15,43,:,2,68,:.,,95,219,231,151,1"
",Diphtheria,1,5,1,19,18,18,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,2"
",Dysentery:4,10,9,10,55,34,57,-,-,-,-,-,-,-,-,-,,: .,:.,..,: .,1,-,2,2,-,1,1,-,-,-,1,-,-,9,6,2,3"
",(a) Amoebic,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,,..,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4"
",(h) Bacillary,10,9,10,55,34,53,-,-,-,-,-,-,-,-,-,...,...,...,...,P,1,-,2,2,-,1,1,-,-,-,7,-,-,9,6,2,5"
",Encephalitis, infectious,-,1,-,2,1,3,-,-,-,..,...,...,-,-,-,-,-,-,R.t,,...,...,A.A.,....,-,-,-,-,-,-,-,1,-,-,-,-,6"
",Influenza, epidemic,115,482,161,""1,017"",""6,930"",777,..,,9.A,6,85,..,104,73,65,-,-,1,-,6,-,1,2,14,2,2,3,-,-,5,..A,P...,9.A,2,314,14,7"
",Measles,""1,717"",""1,779"",""2,085"",""8,303"",""6,572"",""8,281"",10,49,10,13,20,-,102,87,70,-,-,1,446,386,235,985,954,594,62,49,145,5,19,23,57,105,56,37,110,223,8"
",Meningitis, meningococcal,3,3,9,36,42,31,-,-,-,,...,...,-,-,-,2,-,1,-,-,-,-,-,3,1,-,-,-,2,-,.A,A.P.,.A,-,1,1,9"
"0,Mumps,""1,084"",""1,007"",917,""4,537"",""3,597"",""5,201"",-,-,3,15,14,5,11,1,29,-,-,2,283,136,164,520,639,462,33,41,37,....,4,64,.A,,25,222,172,184,10"
