",,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,"
"o.,DISEASE,,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No."
",Report Week,Week,Median 1951-55,1956,1955,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,"
",Chickenpox,188,226,173,""26,088"",""24,065"",""31,886"",2,1,2,1,-,4,21,9,6,:,:.,:,55,54,24,63,109,46,20,12,9,:.,:.,4,:.,:,7,26,41,30,1"
",Diphtheria,1,3,2,60,63,87,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2"
",Dysentery:4,19,9,21,385,358,358,-,-,-,-,-,-,-,-,-,...,..,..,1,..,3,2,-,1,-,-,2,-,-,-,-,-,-,16,9,14,3"
",(a) Amoebic,-,-,-,-,2,7,-,-,-,-,-,-,-,-,-,....,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4"
",(b) Bacillary,19,9,21,385,356,356,-,-,-,-,-,-,-,-,-,9.8,P...,9.9,1,...,3,2,-,1,-,-,2,-,-,-,-,-,-,16,9,14,5"
",Encephalitis, infectious,1,1,-,12,14,19,-,-,-,A.P.,...,R.A,-,-,-,-,-,-,R.9,9.8,P...,1,1,9.8,-,-,-,-,-,-,-,-,-,-,-,-,6"
",Influenza, epidemic,90,64,17,""8,472"",""36,266"",""8,956"",9.9,...,...,66,61,9.8,21,2,14,-,-,-,-,-,-,2,1,2,1,-,2,-,-,-,....,R.R.,....,-,-,-,7"
",Measles,247,396,259,""40,209"",""42,790"",""46,631"",-,3,2,-,-,2,12,33,5,...,R.P.,1,59,73,53,125,184,53,10,18,10,9.A,R.P.,15,14,37,53,27,48,37,8"
",Meningitis, meningococcal,7,4,2,189,188,172,-,1,-,A.R,a.e,,-,-,-,3,1,-,2,-,-,2,2,1,-,-,-,-,-,-,R.O.,9.8,,-,-,-,9"
"0,Mumps,128,150,147,""21,187"",""19,510"",""27,836"",1,-,3,-,-,1,-,1,2,,A.A,..,20,17,24,64,110,65,4,4,8,.R,A.O.,9,a.a.,..A,9,39,18,34,10"
"1,Poliomyelitis, epidemic:4,10,8,189,111,307,581,-,-,1,1,-,-,-,-,4,-,-,3,-,3,14,1,-,60,-,-,15,4,-,10,2,3,28,2,2,5,11"
"2,(a) With paralysis,4,5,82,66,164,206,-,-,1,-,-,-,-,-,2,-,-,1,-,3,11,1,-,12,-,-,9,1,-,5,-,1,-,2,1,3,12"
"3,(b) Without paralysis,5,3,105,36,122,230,-,-,-,1,-,-,-,-,-,-,-,2,-,-,-,-,-,48,-,-,6,2,-,3,2,2,2,-,1,3,13"
"4,Rubella,283,160,53,""48,776"",""17,252"",""8,894"",5,-,-,a.a,...,,2,10,-,,a.e,,181,36,4,43,60,13,2,-,-,,a.e.,1,14,8,9,36,46,7,14"
"5,Scarlet fever, etc.⁵,79,90,87,""8,574"",""6,182"",""9,264"",1,-,5,14,20,4,12,14,14,-,-,1,6,12,13,25,23,16,1,-,6,5,11,4,8,2,6,7,8,4,15"
"6,Smallpox,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16"
"7,Tuberculosis:4,162,194,211,""5,512"",""5,715"",""6,289"",10,24,4,1,1,2,-,-,-,13,12,12,51,83,60,19,17,18,26,11,11,1,7,11,13,17,17,28,22,21,17"
"8,(a) Pulmonary,129,165,173,""4,511"",""4,644"",""5,067"",10,23,4,-,1,1,-,-,-,9,11,12,50,77,56,(6),(6),(6),23,9,11,-,7,7,11,16,16,26,21,21,18"
"9,(b) Non-pulmonary,14,12,7,334,378,322,-,1,-,1,-,1,-,-,-,4,1,-,1,6,2,(6),(6),(6),3,2,-,1,-,2,2,1,1,2,1,2,19"
"0,Typhoid and paratyphoid,13,15,6,247,174,254,-,-,-,-,-,-,-,-,-,-,-,-,11,4,4,-,1,-,-,-,-,-,-,-,2,7,-,-,3,-,20"
"1,Undulant fever,13,4,1,95,72,77,-,-,-,-,-,-,-,-,-,,,,11,,A.R,2,3,-,-,1,-,-,-,-,...,A.R,...,-,-,-,21"
"2,Venereal diseases:,314,313,380,""9,490"",""10,022"",""10,532"",10,8,14,-,2,1,6,4,5,6,7,10,58,70,101,(8),35,51,25,20,26,29,32,32,62,56,58,118,79,72,22"
"3,(a) Syphilis, primary,-,-,3,59,65,128,I,-,-,-,-,-,-,=,-,=,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23"
