Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Enoéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Rabies Hydrophobie (rage),Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
,Montréal Québec,,,313 2,112 32,2,14,15,,3,,246,,,222,14,264,,,212,,4,385,
,Trois-Rivières,,,12,5,,,,,,3,15,1,,129,1,40,,,10,,,22,
Abitibi,Amos,,,,,,,,,,,,,,1,,,,,,,7,,
,Figuery & Dalquier, parties,,,,,,,,,,,,,,,,,,,,,,10,
,ouest,,,,1,,,,,,,,,,,,,,,,,,,
Arthabaska,Victoriaville,,,,,,,,,,,,,,2,,,,,,,,,
Beauce,Sacré-Coeur de Jésus,,,,,,,,,,,,,,,,2,,,,,,,
,Beauceville,,,,,,,,,,,,,,,,,,,,,,,
,St-Georges,,,,,,,,,,,,,,1,,7,,,,,,2,
,Ste-Marie,,,,,,,,,,,,,,,,,,,,,,4,
,St-Victor de Tring,,,,,,,,,,,,,,1,,1,,,,,1,,
Berthier,St-Cuthbert,,,,,,,,,,,,,,,,1,,,,,,,
Bonaventure,Carleton,,,,,,,,,,,,,,,,,,,,,,,
Chambly,St-Lambert,,,2,1,,,,,,,,,,,,7,,,,,1,,
,Longueuil,,,,,,,,,,,,,,1,,4,,,,,1,,
Champlain,St-Jacques des Piles,,,,,,,,,,,,,,,,,,,,,1,,
,Cap de la Madeleine,,,,,,,,,,,,,,,,,,,,,1,,
,Ste-Anne de la Pérade,,,,,,,,,,,,,,,,,,,,,,,
Charlevoix,La Malbaie,,,,,,,,,,,,,,,,2,,,,,1,,
Chateauguay,St-Chrysostome,,,,2,,,,,,,,,,,,2,,,,,,,
,St-Malachie d'Ormstown,,,,,,,,,,,,,,,,,,,,,,,
,St-Urbain,,,,,,,,,,,,,,,,4,,,,,,,
Chicoutimi,Jonquière,,,,,,,,,,,,,,,,,,,1,,,,
,St-Fulgence,,,,,,,,,,,,,,,,,,,,,,,
,Port Alfred,,,,,,,,,,,,,,,,,,,,,,1,
,Chicoutimi,,,,,,,,,,,,,,,,1,,,,,,,7
,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compton,Bury,,,6,,,,,,,,,,,,,1,,,,,,8 2,,
,East Angus,,,,,,,,,,,,,,,,1,,,,,,,,
,Newport,,,,,,,,,,,,,,,,1,,,,,1,,,
D.-Montagnes.,St-Hermas,,,,,,,2,,,,,,,,,,,,,,,,,
Dorchester,St-Isidore,,,,1,,,,,,,,,,,,,,,,,,,,
,Ste-Germaine,,,,,,,,,,,,1,,,,,,,,,,,,
Hull,Hull,,,,1,,,,,,,,,,,,,,,,,,,,
,Aylmer Est,,,,1,,,,,,,,,,,,,,,,,,,,
Iberville,Ste-Anne de Sabrevois,,,,1,,,,,,,,,,,,,,,,,1,,,
,St-Athanase,,,,,,,,,,,,,,,,10,,,,,,6,,
Jacques-Cartier,Verdun,,,19,3,,,,,,,17,,,128,,,,,,,1,7,,
,Lachine,,,7,3,,,,,,,2,,,2,1,10,,,2,,,,,
,St-Laurent, ville,,,,,,,,,,,,,,4,1,,,,,,,,,
,Ville LaSalle,,,,,,,,,,,,,,,,,,,1,,3,1 6,,
,Notre-Dame de Liesse,,,7,,,,,,,3,,,,,,,,,,,,,,
,Pointe Claire,,,2,,,,,,,,,,,,,1,,,1,,,,,
,Dorval,,,,,,,,,,,,,,,,1 2,,,,,,,,
Joliette,Joliette,,,,24,,,,,,,,,,,,,,,,,1,,,
,Ste-Elizabeth,,,,,,,,,,,,,,,,,,,,,,,1,
Lac St-Jean,St-Joseph d'Alma,,,,,,,,,,,,,,,,,,,,,,,1,
,Hébertville,,,,,,,,,,,,,,,,,,,,,,,,
,Roberval,,,,2,,,,,,,,,,,,,,,,,1,,,
,Normandin,,,,,,,,,,,,,,,,,,,,,,,,
,St-Félicien,,,,,,,,,,,,,,,,1,,,,,,,,
Laprairie,Caughnawaga,,,,,,,,,,,3,,,,,,,,,,1,,,
Laval,Ste-Dorothée,,,,,,,,,,,,,,,,,,,,,,,,
,Montréal Est,,,,,,,,,,,,,,,,2,,,,,,,,
,St-Jean de Dieu,,,,,,1,,,,,,,,,,,,,,,,,,
Lévis,Lévis,,,,3,,,,,,,,,,,,2,,,,,,,,
,St-Romuald d'Etchemin,,,,6,,,,,,,,,,,,1,,,,,,,,
L'Islet,St-Roch des Aulnaies,,,,,,,,,,,,,,,,14,,,,,,,,
Matapédia,Causapscal,,,,1,,,,,,,,,,,,3,,,,,,,,
Mégantic,Thetford Mines,,,,2,,,,,,,,,,,,,,,,,,,,
,Ste-Anastasie de Nelson,,,1,3,,,,,,,,,,,,,,,,,1,,,
,St-Joseph de Coleraine,,,,,,,,,,,,,,,,,,,,,,,,
,Plessisville,,,4,,,,,,,,,,,,,,,,,,,,,
Missisquoi,Dunham,,,,,,,,,,,,,,,,1,,,,,,,,
,Cowansville,,,,,,,,,,,,,,,,1,,,,,,,,
,Philipsburg,,,,,,,,,,,,,,,,1,,,,,1,,,
Montcalm,Montcalm,,,,,,,,,,,,,,,,,,,,,,1,,
Montmagny,Montmagny,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,18,,,,,,,,,,
Montmorency,St-Jean,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
