Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur. ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German Measles (rubella),Scarlatine Svarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Arthabaska,Warwick, canton,,,,,,,,,,,,,,,,,,,,,2,,
,Warwick, village,,,,,,,,,,,,,,1,,,,,,,,,
Beauce,St-Côme de Kennebec,,,,,,,,,,,,,,,,,,,,,,1,
,Ste-Marie,,,3,,,,,,,,,,,59,,,,,,,10,,
,L'Enfant Jésus,,,1,,,,,,,,,,,7,,,,,,,1,,
,St-Joseph,,,,,,,,,,,,,,61,,,,,,,,,
,Saints Anges,,,,,,,,,,,,,,13,,,,,,,,,
,St-Frédéric,,,,,,,,,,,,,,1,,,,,,,,,
Beauharnois,Valleyfield,,,,1,,,,,,,,,,,,,,,,,,,
Bellechasse,Roux, Bellechasse & Daa- quam,,,,3,,,,,,,,,,,,,,,,,,,
Berthier,Lanoraie,,,,,,,,,,,,,,,,,,,,,,1,
,St-Cuthbert,,,,,,,,,,,,,,,,,,,1,,,,
Bonaventure,New Richmond,,,,,,,,,,,,,,,3,,,,,,,,
Brome,Sutton, village,,,,,,,,,,,,,,2,,,,,,,,,
Chambly,St-Lambert,,,,,,,,,,,,,,,,1,,,1,,,,
,St-Hubert,,,,,,,,,,,,,,,,,,,1,,,,
,Longueuil,,,,,,,,,,,,,,8,1,3,,,,,,,
Champlain,St-Lue, paroisse,,,,,,,,,,,,,,,,,,,,,1,,
,Batiscan, paroisse,,,,,,,,,,,,,,,,,,,,,1,,
,St-Prosper,,,,1,,,,,,,,,,,,,,,,,,,
Chateauguay,Ste-Clothilde,,,,1,,,,,,,,,,,,,,,,,,,
,Ste-Martine,,,,,,,,,,,,,,,,,,,,,1,,
,Ormstown,,,,,,,,,,,,,,,,2,,,,,,,
,Chateauguay,,,,,,,,,,,,,,,,9,,,,,,,
,St-Chrysostôme,,,,,,,,,,,,,,1,,,,,,,,,
Chicoutimi,Jonquière,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
Compton,North Hatley,,,,,,,,,,,,,,,,,,,,,,,
Dorchester,Ste-Hénédine St-Léon de Standon Ste-Germaine,,,,,,,,,,,,,,2,,,,,,,,1,
Drummond,Drummondville,,,,,,,,,1,,,,,,,,,,,,,1,
Frontenac,Ditchfield & Spaulding Lambton, village,,,,1,,,,,,,,,,,,,,,1,,3,,
Iberville,St-Sébastien,,,,3,,,,,,,,,,,,,,,1,,,,
Jacq.-Cartier,Lachine,,,2,,,1,,,,,,,,,,,,,,,,,
,Notre-Dame de Liesse,,,,,,,,,,,2,,,,,1,,,1,,,2,
,Verdun,,,3,1,,1,,,,,,,,,,,,,,,,37,
,Pointe Claire,,,,,,,,,,,1,,,41,1,14,,,15,,2,4,
,St-Laurent, ville,,,,,,,,,,,4,,,,,2,,,,,,,
,Ville St-Pierre,,,,,,,,,,,,,,1,,4,,,,,,,
,Beaconsfield,,,,,,,,,,,,,,6,,,,,1,,,,
,Côte St-Lue,,,1,,,,,,,,2,,,3,,,,,,,,,
Kamouraska,St-Alexandre St-Pacôme,,,,,,,,,,,,,,,,,,,,,,1,
Labelle,L'Annonciation,,,,2,,,,,,,,,,,,,,,,,1,,
,Kiamika,,,,,,,,,,,,,,,,,,,,,,,
,Décarie,,,,,,,,,,,,,,,,,,,,,1,,
Lac St-Jean,St-Joseph d'Alma Notre-Dame de la Doré Hébertville,,,,,,,,,1,,,,,,,2,,,,,5,,
Laprairie,Caughnawaga,,,,,,1,,,,,,,,,,10,,,,,,,
,St-Mathieu,,,,,,,,,,,,,,,,,,,,,1,,
,Laprairie, paroisse,,,,,,,,,,,,,,1,,,,,,,,,
,Delson,,,,,,,,,,,,,,,,,,,1,,,,
L'Assomption,St-Lin,,,,2,,,,,,,,,,1,,,,,,,,,
Laval,Ste-Rose,,,,,,,,,,,,,,,,,,,,,,,
,Montréal-Nord,,,,,,,,,,,,,,,,1,,,,,,,
,Montréal-Est,,,,,,,,,,,,,,8,,,,,1,,,,
,St-Martin,,,,,,,,,,,,,,,,,,,1,,,,
,Laval des Rapides St-Jean de Dieu,,,,,,,,,,,,,,,,,,,1 1,,,,
Laviolette,Grand'Mère St-Timothée,,,,2,,1,,,,,,,,,,,,,,,,,
Lothinière,St-Flavien,,,,1,,,,,,,,,,,,,,,,,,,
,Parisville,,,,,,,,,,,,,,1,,,,,,,,,
,Ste-Emélie,,,2,,,,,,,,,,,,,,,,4,,,,
Maskinongé,Ste-Ursule St-Justin,,,,1,,,,,,,,,,,,,,,,,,,
Matane,McNider,,,,,,,,,,,,,,,,5,,,,,,,
,,,,,,,,,,,,,,,,,2,,,,,,,
