Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
,,,,,,,,,,,,,,,,,,,,,,,,
Drummond,Durham Drummondville,,,,,,,,,,,,,,,,,,,,,,,
Gaspé,Newport,,,,1,,,,,,,,,,,,,,,,,,,
,Anse aux Griffons Sydenham-Sud,,,,,,,,,,,,,,,,,,,,,,,
Hull,Maniwaki,,,,,,,,,,,,,,2,,,,,,,,,
,Hull,,,,3,,,,,,,,,,,,,,,,,,,
Huntingdon,Huntingdon,,,,,,1,,,,,,,,5,,14,,,2,,7,3,1
Jacques-Cartier,Verdun,,,,3,,1,,,1,,,,,,,,,,,,,10,
,Notre-Dame de Liesse,,,26,,,,,,,1,1,,,215,,7,,,,,,,
,Lachine,,,,2,,,,,,,,,,,,1,,,2,,4,,
,St-Laurent, ville,,,,1,,1,,,,,,,,,,1,,,,,,,
,Ville St-Pierre,,,,,,,,,,,,,,2,,,,,1,,1,,
,Beaconsfield,,,,,,,,,,,,,,,,,,,,,1,,
,Pointe-Claire,,,1,,,,,,,,,,,18,,3,,,1,,,,
,Town Mount Royal,,,,,,,,,,,,,,,,3,,,,,,,
,Senneville,,,,,,,,,,,,,,,,1,,,,,,,
Joliette,Joliette,,,,2,,,,,,,,,,,,,,,1,,,,
Kamouraska,Ste-Anne de la Pocatière,,,,,,,,,,,,,,,,3,,,,,3,2,
,St-Alexandre,,,,,,,,,,,,,,,,,,,1,,,,
,Ste-Hélène,,,,,,,,,,,,,,,,,,,1,,,,
,St-Eleuthère,,,,,,,,,,,,,,,,,,,1,,,,
Lac St-Jean,Pointe Bleue Hébertville,,,,1,,,,,,,,,,1,,,,,,,1 1,,
Laprairie,Caughnawaga,,,,,,,,,,,,,,,,,,,,,4,,
Table: Table_2
Laval,Gamelin,,,,,,4,,,,,,,,,,1,,,,,,,,
,Montréal-Est,,,,,,,,,,,,,,,,1,,,,,,,,
,Pointe-aux-Trembles,,,,,,,,,,,,,,5,,,,,,,,,,
,St-Vincent de Paul,,,,,,,,,,,,,,,,1,,,,,,,,
Lévis,Lévis,,,,,,,,,,,,,,,,,,,,,,,9,
L'Islet,St-Jean Port Joli,,,,,,,,,,,,,,,,4,,,,,,,,
Lotbinière,St-Agapit, ville St-Sylvestre,,,,1,,,,,,,,,,,,1 1,,,,,,,,
Matapédia,Saindon,,,,,,,,,,,,,,,,,,,,,,,1,
Mégantic,Amiante,,,,,,,,,,,,,,,,,,,,,1,,9,
,Thetford Mines,,,,,,,,,,,,,,,,,,,,,5,,,
,Lyster Station,,,,,,,,,,,,,,,,,,,,,1,,,
,Leeds,,,,,,,,,,,,,,,,,,,,,1,,,
,Inverness,,,,,,,,,,,,,,,,,,,1,,,,,
Missisquoi,Farnham,,,,,,,51,,,,,,,,,,,,,,2,,,
,Notre-Dame de Stanbridge St-Ignace de Stanbridge,,,,,,,,,,,,,,,,1,,,,,,,,
Nicolet,Nicolet,,,,3,,,,,,,,,,,,,,,1,,,,,
,Ste-Gertrude,,,,,,,,,,,,,,2,,,,,,,,,,
,St-Célestin,,,,,,,,,,,,,,,,,,,,,,,,
Papineau,Bigelow, Blake, Wells & MeGill Masson,,,,,,,,,,,,,,,,1 9,,,,,2,,3,
Pontiac,Grand Calumet,,,,,,,,,,,,,,,,2,,,,,,,,
Portneuf,Donnacona,,,,,,,,,,,,,,,,1,,,,,,,,
,Cap Santé,,,,,,,,,,,,,,,,,,,1,,,,,
Richelieu,St-Ours,,,,,,,,,,,,,,,,4,,,,,,,,
Richmond,Richmond,,,,,,,,,,,,,,,,,,,1,,,,,
Rimouski,Rimouski,,,,,,,,,,,,,,,,,,,2,,,,,
,St-Valérien,,,,,,,,,,,,,,,,,,,,,4,,,
,St-Gabriel,,,,,,,,,,,,,,,,,,,,,,,2,
Saguenay,Letellier,,,,,,,,,,,,,,,,5,,,,,,,,
Shefford,Shefford, canton,,,,,,,,,,,,,,,,2,,,,,,,,
,Waterloo,,,,,,,,,,,,,,,,,,,,,,,,
,Warden,,,,,,1,,,,,,,,,,17,,,,,,,,
Sherbrooke,Sherbrooke,,,,5,,,,,,,,,,,,1,,,,,,,,
,Ascot, township,,,,,,,,,,,,,,,,1,,,,,,,,
Stanstead,Coaticook Magog,,,,,,,,,,,,,,5,,1,,,,,1,1,,
St-Hyacinthe,St-Hyacinthe,,,,6,,,,,,,,,,,,1,,,1,,,79,,
Témiscouata,Rivière du Loup,,,,1,,,,,,,,,,,,,,,,,,1,,
,Ste-Rose du Dégelé,,,,,,,,,,,,,,,,,,,,,,,,
,St-Louis du Ha Ha,,,,,,,,,,,,,,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
