Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Rabies Hydrophobie (rage),Méningite cérébro-spinale Cerebro-spinal meningitis,Ophta!mie pur. des n.-nés Pur.ophthalmia neona orum,Oreillons Mumps,Paralysie Poliomyelitis infantile,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
,Montréal Québec,,,346,165,,9,3,,,,,,,,,,,,,,,,
,Trois-Rivières,,,4,45,,,,,1,1,256,,,243,11,303,,,,,,,
Abitibi,Amos,,,13,3,,,,,,,21,,,188,,67,,,184,,5,311,
,Figuery Ouest & Dalquier, parties,,,,2,,,,,,,,,,,,2 1,,,3,,4,7,2
Argenteuil,Greenville & Augmentation,,,,1,,,,,,,,,,,,,,,,,,,
Arthabaska,Chénier,,,,,,,,,,,,,,,,,,,,,,,
Bagot,St-Hugues,,,,,,,,,,,,,,,,7,,,,,,,
Beauce,Ste-Rosalie, paroisse,,,,,,,,,,,,,,,,,,,,,1,,
,St-Victor de Tring,,,,,,,,,,,,,,,,,,,,,,,
,Sacré-coeur de Jésus,,,,,,,,,,,,,,,,,,,1,,,,
,St-Joseph de Beauce,,,,3,,,,,,,,,,,,,,,,,,,
,Saints-Anges,,,2,,,,,,,,,,,,,,,,,,,12,
,Ste-Marie,,,,,,,,,,,,1,,,,1,,,,,2,,
Beauharnois Bellechasse,St-Clément,,,,,,,,,,,,,,,,1,,,,,,,
Bonaventure,St-Camille de Lellis,,,,,,,,,,,,,,,,7,,,,,,,
Brome,St-Charles de Caplan,,,,5,,,,,,,,,,,,2,,,,,,,
,Potton,,,,,,,,,,,,,,,,2,,,,,,,
,Brome,,,,,,,,,,,,,,,,1,,,,,,,
Chambly,St-Lambert,,,,,,,,,,,,,,,,1,,,1,,,,
,St-Bruno de Montarville,,,,,,,,,,,,,,,,4,,,,,,,
Champlain,St-Maurice,,,,1,,,,,,,,,,1,,1,,,,,,,
,St-Adelphe,,,,3,,,,,,,,,,,,,,,,,,,
,Cap de la Madeleine,,,,1,,,,,,,,,,,,,,,,,,,
,St-Tite, paroisse,,,,1,,,,,,,,,,,,,,,,,,,
,Deux-Rivières,,,,1,,,,,,,,,,,,,,,,,,,
,Parent, ter. non organisé,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,3,,,,,,,,1,,1,,
Table: Table_2
Chicoutimi,Jonquière,,,,,,,,,,,,,,,,,,,,,,,4,
,Bourget,,,,,,,,,,,,,,,,,,,,,,,5,
,Port Alfred,,,,,,,,,,,,,,,,7,,,,,,,,
,Kénogami,,,,,,,,,,,,1,,,,,,,,,,,,
Compton,East Angus,,,,,,,,,,,,,,,,5,,,,,,,,
,Newport,,,,,,,,,,,,,,,,5,,,,,,,,
,Bury,,,,,,,,,,,,,,,,1,,,,,,,,
,Sawyerville,,,,,,,,,,,,,,,,2,,,,,,,,
D.-Montagnes.,L'Annonciation,,,,,,,,,,,,,,,,,,,1,,,,,
,St-Augustin,,,,,1,,,,,,,,,,,,,,,,,,,
Dorchester,St-Léon de Standon,,,,2,,,,,,,,,,,,,,,,,,,,
Frontenac,St-Ludger,,,,,,,,,,,,,,,,3,,,,,,,,
Gaspé,Grande Rivière,,,,,,,,,,,,,,,,,,,1,,,,,
Hull,Hull,,,,7,,,,,,,,1,,,,,,,,,,,,
,Wakefield, village,,,,,,,,,,,,,,,,1,,,,,,,,
,Deschènes,,,,,,,,,,,,,,,,,,,1,,,,,
