Table: Table_1
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
Verchères,McMasterville,,,,8,,,,,,,
Westmount,Montreal West,,,,1,,,,,,,
,Outremont,,,6,,4,,,,,,
,Westmount,,,1,,,,,,,,
Wolfe,St-Camille,,,,1,,,,,,,
,Total pour juillet-Total for July,12,150,179,197,136,49,104,3,105,,5
Table: Table_2
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
Hull,Kensington,4,,,,,,,,,,
,Bouchette,1,,,,,,,,,,
,Messine,2,,,,,,,,,,
,Maniwaki, Canton,4,,,,,,,,,,
,Maniwaki,,,,3,,,,,,,
,Low,,,,1,,,,,,,
,Hull,,,2,,,,,1,,,
Huntingdon,Huntingdon,,,,,,,,,1,,
Jacq.-Cartier,Verdun,,6,9,9,40,1,5,,,,
,Lachine,,3,,,,,3,,,,
,Ville St-Pierre,,,1,,,,,,1,,
Joliette,Joliette, ville-town,,5,,1,,,,,,,
Kamouraska,St-Alexandre,,,,,,,,,1,,
Laprairie,St-Isidore,,,,2,,,,,,,
L'Assomption,Mascouche,,1,,,,,,,,,
Laval,St-Jean de Dieu,,,,,,,,,2,,
Lévis,Lévis,,,,2,,,,,,,
Lotbinière,Issoudun,,1,,,,,,,,,
Matane,St-Ulric,,,,1,,,,,,,
Montmagny,St-Pierre,,1,,,,,,,,,
Nicolet,Nicolet,,,1,,,,,,,,
Papineau,Masson,,,,3,,,,,,,
,Ponsonby,,,12,,,,,,,,
Portneuf,Pointe-aux-Trembles Donaconna,,1,,,,,2,,,,
Richelieu,St-Aimé,,1,,,,,,,,,
Richmond,Richmond,,,,1,,,,,,,
Shefford,Stukely Nord Granby,,1,2,,,,,,,,
Sherbrooke,Sherbrooke,,1,,,1,,,,,,
Stanstead,Stanstead,,1,,,,,,,,,
,North Hathley,,,,1,,,,,,,
,Magog Tsp,,,1,,,,,,,,
,Coaticook,,,2,,,,,,,,
,Barnston,,,,,2,,,,,,
,Rock Island,,,,,1,,,,,,
Témiscouata,St-Benoit l'Abb3,,1,,,,,,,,,
,Trois-Pistoles,,,1,,,,,,,,
,St-Eloi,,,,,,,,,1,,
,St-Arsène,,,,,,,,,1,,
,Cabano,,,,,,,,,,,
,Rivière du Loup,,,,,,,,,1,,
Vaudreuil,Rigaud Par,,,1,,,,,,,,
Table: Table_3
,Montreal,2,90,85,77,33,9,37,1,122,1,4
,Québec,,8,15,,1,,1,,6,,
,Trois-Rivières,,3,1,1,,,8,,,,
Abitibi,Amos,,3,1,,,,,,,,
,St-Marc de Figuery,,,,,,,1,,,,
L:,Launay,,,,,,,20,,,,
Beauce,Beauceville,,3,,3,,,,,,,
,Aubert Gallion,,,,2,,,,,,,
,Sacré-Coeur de Jésus,,,,1,,,,,,,
,St-Elzéar,,,1,,,,,,,,
,Metgermette Nord,,,,,,,,,1,,
,St-François,,,,,,,12,,,,
Berthier,Berthierville,,1,,,,,,,,,
,Lavaltrie,,,,1,,,,,,,
,Lanoraie,,,,3,,,,,,,
,Ste-Geneviève,,,,2,,,,,,,
Bonaventure,Escuminac,,,,1,,,,,,,
Brome,Potton,,,2,,,,,,,,
Chambly,St-Lambert,,,1,,,,,,,,
Champlain,St-Narcisse,,,,1,,,,,,,
,St-Adelphe,,,,1,,,,,,,
Chicoutimi,Chicoutimi,,1,,,,,,,,,
,Jonquières,,,1,1,,,,,,,
Compton,East Angus,,2,,,,,,,,,
,Newport,,,,,5,,,,1,,
,Eaton,,,,,,,,,,,
Dorchester,St-Léon de Standon,,1,,,,,,,,,
,St-Maxime de Scott,,,,5,,,,,,,
,Ste-Germaine,,,1,,,,,,,,
,St-Isidore,,,1,,,,,,,,
