Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Stanstead,Barnston,,,,1,,,,,,,,,,,,,,,,,,,
,Magog,,,,1,,,,,,,,,,,,2,,,,,,,
,Rock Island,,,,,,,,,,,,,,,,2,,,,,,,
St-Hyacinthe,St-Hyacinthe,,,1,,,,,,,,,,,15,,,,,,,,,
,St-Denis,,,,,,,,,,,,,,,,,,,,,1,,
,St-Charles,,,,,,,,,,,,,,,,,,,,,2,,
,La Providence,,,,,,,,,,,,,,12,,,,,,,,,
St-Maurice,Shawinigan Falls,,,,2,,,,,,,,,,1,,,,,,,,,
Témiscouata,Notre-Dame du Lac,,,,,,,,,,,,,,,,2,,,,,,,
,St-Modeste,,,,,,,,,,,,,,,,1,,,,,,,
,Isle Verte,,,,,,,,,,,,,,,,,,,1,,,,
Terrebonne,Ste-Thérèse,,,,1,,,,,,,,,,,,,,,,,,,2
,St-Jérôme,,,1,23,,,,,,,2,,,,,1,,,3,,,,
Westmount,Westmount,,,,4,,,,,,,1,,,3,,21,,,,,,,
,Outremont,,,,,,,,,,,21,,,5,10,20,,,2,,,5,1
,Montreal West,,,,,,,,,,,,,,3,,,,,,,,,
Wolfe,Marbleton,,,,,,,,,,,,,,,,1,,,,,,,
Yamaska,St-Guillaume,,,,,,,,,,,,,,,,,,,,,,2,
,St-Pie de Guire,,,,1,,,,,,,,,,,,,,,,,,,
,Baieville,,,,,,,,,,,,,,,,,,,,,1,,
,St-Jos. de la Baie du Febvre,,,,,,,,,,,1,,,,,,,,,,,,
,Totaux-Totals,,,62,186,,46,102,,3,1,131,,,585,53,578,,,227,,52,194,16
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
,Montréal,,,84,121,,34,21,,7,2,163,,,309,39,379,,,152,,7,121,3
,Québec,,,3,12,,,,,,,11,,,1,,65,,,13,,1,4,6
,Trois-Rivières,,,,,,,,,,,,,,27,,,,,,,4,2,
Abitibi,Amos,,,,2,,,,,,,,,,,,,,,,,,,
,St-Jacques de Dupay,,,,,,,,,,,,,,,,2,,,,,,,
,Poularis,,,,,,,,,,,,,,,,,,,,,1 1,,
Arthabaska,Victoriaville,,,,,,,,,,,,,,,,,,,,,,,
Beauce,L'Enfant Jésus,,,,,,,,,,,,,,,,,,,,,1,,
,Sacré-Cour de Jésus,,,,,,,,,,,,,,,,,,,,,1,,
,Aubert Gallion,,,,,,,,,,,,,,,,,,,,,7,,
,Shenly,,,,,,,,,,,,,,,,1,,,,,,,
,St-Martin,,,,,,,,,,,,,,,,1,,,,,,,
,Beauceville,,,,,,,,,,,,,,1,,,,,,,,,
Beauharnois,Maple Grove,,,,,,,,,,,,,,,,1,,,,,,,1
Bellechasse,St-Gervais,,,,,,,,,,,,,,,,,,,,,,,
Berthier,Berthier,,,,1,,,,,,,,,,,,,,,,,,,
,Lavaltrie,,,,1,,,,,,,,,,,,,,,,,,,
,St-Cuthbert,,,,,,,,,,,,,,,,,,,2,,,,
Brôme,Knowlton, village,,,,2,,,,,,,,,,,,,,,,,,,
,Brôme,,,,,,,,,,,,,,,,1,,,,,1,,
,Bolton-East,,,,,,,,,,,,,,,,2,,,,,,,
Bonaventure,Shigawake,,,,3,,,,,,,,,,,,,,,,,,,
,St-Godefroi,,,,7,,,,,,,,,,,,,,,,,,,
Chambly,Longueuil,,,,,,,,,,,,,,1,,1,,,1,,,,
,St-Lambert,,,,,,,,,,,,,,,,2,,,1,,,,2
Champlain,Batiscan,,,,,,,,,,,,,,,,,,,,,,,
,Cap Madeleine,,,,,,,,,,,,,,,,1,,,,,,1,
,St-Stanislas,,,,1,,,,,,,,,,,,,,,,,2 1,,
,St-Stanislas, paroisse,,,,,,,,,,,,,,,,,,,,,,,
,St-Tite, paroisse,,,,,,,,,,,,,,,,,,,,,1,,1
Charlevoix,Les Eboulements,,,,,,,,,,,,,,],,,,,,,,,
Châteauguay,Châteauguay Bassin,,,,,,,,,,,,,,,,1,,,,,,,
,Ville de Léry,,,,,,,,,,,,,,1,,,,,,,,,
Chicoutimi,Jonquière,,,,,,,,,,,,,,,,,,,,,1,,
Compton,East Angus,,,,1,,,,,,,,,,,,,,,,,,,
,Bury,,,,1,,,,,,,,,,,,,,,,,,,
,Waterville,,,,,,,,,,,,,,,,1,,,,,,,
D.-Montagnes,L'Annonciation,,,,,,,,,,,,,,,,,,,1,,,,
Dorchester,Watford-Ouest,,,,,,,,,,,,,,,,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
