Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Stanstead,Hatley, township,,,,,,,,,,,,,,,,2,,,,,,,
,Coaticook,,,,,,,,,,,,,,,,1,,,,,,,
Témiscamingue,Témiscamingue,,,,,,,,,,,155,,,7,,,,,,,2,,
,St-Edouard de Fabre,,,1,,,,,,,,,,,,,,,,,,,,
Témiscouata,Rivière du Loup,,,,,,,,,1,,,,,1,,,,,,,,,
,St-Epiphane,,,,1,,,,,,,,,,,,,,,,,,,
,St-Modeste,,,,3,,,,,,,,,,,,,,,,,,,
,Isle Verte,,,,4,,,,,,,,,,,,1,,,,,,,
,Trois Pistoles, paroisse,,,,,,,,,,,,,,,,,,,,,2,,
,St-Arsène,,,,,,,,,,,,,,,,2,,,,,,,
,St-Eusèbe,,,,,,,,,,,4,,,,,,,,,,,,
Terrebonne,Ste-Agathe,,,,,,,,,,,,,,,,,,,1,,,1,
,St-Jérôme, ville,,,7,2,,,,,,1,,,,,,,,,1,,,,
,St-Janvier,,,,,,,,,,,,,,,,3,,,,,,,
,St-Jovite,,,,,,,,,,,,,,,,,,,1,,,,
,Terrebonne, paroisse,,,,,,,,,,,,,,,,,,,1,,,,
Vaudreuil,Vaudreuil,,,,,,,,,,,,,,,,1,,,,,,,
Westmount,Outremont,,,6,2,,,,,,,],,,1,,3,,,,,,5,
,Westmount,,,3,,,,,,,,,,,3,,7,,,,,,3,
,Hampstead, town,,,,,,,,,,,,,,2,,,,,,,,,
Wolfe,Ham-Nord,,,,,,,,,,,,,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Totaux-Totals,,,168,197,,28,4,,5,3,236,,,175,14,362,1,,210,,39,442,2
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
,Montréal,,,110,55,,18,13,,1,1,44,,,204,13,183,5,,200,,2,217,
,Québec,,,,17,,,,,,,3,,,1,,13,,,9,,,5,
,Trois-Rivières,,,9,5,,,,,,,,,,35,,2,,,,,3,,
Abitibi,Amos,,,,1,,,,,,,,,,,,,,,,,,,
Argenteuil,St-Jérusalem,,,,,,,,,,,,,,,,2,,,,,,,
Arthabaska,Princeville,,,,,,,,,,,,,,,,,,,,,5,,
,St-Louis de Blandford,,,,,,,,,,,,,,,,,,,,,1,,
,Victoriaville,,,,,,,,,,,,,,,,1,,,,,,,
,Canton Stanfold,,,,,,,,,,,,,,,,1,,,,,,,
Beauce,Aubert Gallion,,,,,,,,,,,,,,,,,,,,,,5,
,Sacré-Cour de Jésus,,,,,,,,,,,,,,,,,,,,,,17,
,L'Enfant Jésus,,,,,,,,,,,,,,1,,,,,,,,,
,St-Ephrem,,,,,,,,,,,,,,,,,,,1,,,,
,Ste-Marie,,,2,,,,,,,,,,,,,,,,,,,,
Bonaventure,New Carlisle Shigawake,,,,3,,,,,,,,,,,,,,,,,,1,
,St-Laurent de Matapédia Maria,,,,,,,,,,,,,,,11,2,,,,,,,
,St-Jean l'Evangéliste,,,1,,,,,,,,,,,,,,,,,,,,
,St-Alexis de Matapédia,,,,,,,,,1,,,,,,,,,,,,,,
Brome,Potton,,,,,,,,,,,,,,,,4,,,1,,,,
Chambly,St-Lambert Longueuil,,,,,,,,,,,1,,,,,4 1,,,,,,3,
Champlain,La Tuque Cap de la Madeleine,,,,1,,,,,,,,,,,,,,,1,,,,
Charlevoix,St-Irénée,,,,3,,,,,,,,,,,,3,,,,,,,
Chateauguay,Ormstown Ste-Martine, paroisse,,,,,,,,,,,,,,,,,,,1,,1,,
Chicoutimi,Chicoutimi Jonquière,,,,2,,,1,,,,,,,,,,,,1,,,,
Compton,East Angus,,,,,,,,,,,,,,,,1,,,1,,1,,
,Cookshire Compton,,,,,,,,,,,,,,1 1,5,,,,,,,,
Drummond,Kingsey Falls, village St-Cyrille de Wendover St-Joseph de Grantham, village,,,,1 1,,,,,,,,,,,,,,,,,,,
Frontenac,St-Evariste de Forsyth,,,,,,,,,,,,,,,,,,,,,1,1,
,Ditchfield & Spaulding,,,,4,,,,,,,,,,,,,,,,,3,,
,St-Ludger,,,,5,,,,,,,,,,1,,7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
