Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
,St-Damase,,,,,,,,,,,,,,,,,,,,,,1,
St-Jean,St-Jean,,,,2,,,,,,,,,,,,,,,,,,,
,L'Acadie,,,,,,,,,,,,,,,,,,,1,,,,
St-Maurice,Shawinigan Falls,,,,,,,,,,,,,,1,,2,,,,,,2,
Shefford,Shefford, canton,,,,1,,,,,,,,,,,,,,,,,,,
Sherbrooke,Sherbrooke,,,,3,,,,,,,,,,,,7,,,,,,,
,Ascot Corner,,,,,,,,,1,,,,,,,,,,,,,,
Stanstead,Coaticook,,,,,,,,,,,,,,,,1,,,,,,,
Témiscamingue,Ville Marie,,,1,,,,,,,,,,,,,,,,,,,,
,St-Eugène de Guigues,,,1,,,,,,,,,,,,,,,,1,,,,
,Témiscamingue-Sud,,,,,,,2,,,,4,,,,,,,,,,,,
,Témiscamingue,,,,,,,,,,,,,,31,,,,,,,,,
Témiscouata,Notre-Dame du Lac,,,,,,,,,,,,,,,,,,,,,,1,
,Rivière du Loup,,,,2,,,,,,,,,,,,,,,,,,,
,St-Epiphane,,,,1,,,,,,,,,,,,,,,,,,,
,Armand,,,4,,,,,,,,,,,,,,,,,,,,
Terrebonne,Ste-Agathe, ville,,,,1,,,,,,,,,,,,5,,,,,,,
,Ste-Thérèse,,,,1,,,,,,,,,,,,,,,,,,,
,Terrebonne, ville,,,,,,,,,,,,,,,,1,,,,,,,
,St-Janvier,,,,,,,,,,,,,,,,16,,,,,,,
,St-Jean Baptiste de Belisle,,,,,,,,,,,,,,,,,,,1,,,,
,St-Jérôme,,,1,,,,,,,,,,,,,,,,,,,,
,Shawbridge,,,,,,1,,,,,,,,,,,,,,,,,
Verchères,Contrecœur, village,,,,,,,,,,,,,,,,,,,1,,,,
Westmount,Westmount,,,,2,,,,,,,1,,,1,,6,,,1,,,3,
,Outremont,,,2,1,,,,,,,9,,,1,1,5,,,1,,,25,
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
,Montréal,,,112,45,,18,,,2,,100,,,556,16,162,3,,,,,,
,Québec,,,,7,,,,,,,4,,,,,9,,,215,,3,267,
,Trois-Rivières,,,3,2,,,,,,,,,,62,,,,,12,,,10,
Abitibi,Rouyn,,,,,,,,,,,,,,1,,,,,,,1,2,
Argenteuil,Lachute,,,,,,,,,,,,,,,,,,,,,1,,
,Huberdeau,,,,,,,,,,,,,,,,,,,,,1,,
Arthabaska,Warwick,,,,,,,,,,,,,,,,1,,,,,,,
,St-Albert de Warwick,,,,,,,,,,,,,,,,,,,,,1,,
,Princeville,,,,,,,,,,,,,,2,,,,,,,5,,
,Victoriaville,,,,,,,,,,,,,,,,,,,,,,,
Beauce,St-Ephrem,,,,2,,,,,,,,,,,,3,,,,,,,
,St-Martin,,,,,,,,,,,,,,,,,,,,,,,
,St-Georges,,,,,,,,,,,,,,,,,,,,,9,,
,Beauceville,,,,,,,,,1,,,,,,,,,,1,,,,
Bellechasse,St-Philémon,,,,1,,,,,,,,,,,,,,,,,,,
Berthier,St-Norbert,,,,,,,,,,,,,,22,,,,,,,,,
,St-Cuthbert,,,,1,,,,,,,,,,,,,,,,,,13,
,Berthier en Haut,,,,,,,,,,,,,,,,,,,,,,,
Bonaventure,St-Laurent de Matapédia New Carlisle,,,,,,,,,,,,,,,,3 4,,,,,,,
,St-Alexis,,,,,,,,,,,,,,,,,,,1,,,,
Brome,Sutton, township,,,,,,,,,,,,,,,3,1,,,,,,,
,Brome, township Potton,,,,,,,,,,,,,,,,,,,,,,1 1,
Chambly,St-Lambert Chambly Canton,,,,,,,,,,,2,,,,,1 18,,,,,,2,
Champlain,Cap de la Madeleine Almaville,,,,1,,,,,,,,,,,,,,,,,2,,
Chateauguay,Ormstown,,,,,,,,,,,,,,,,,,,,,1,,
,Ste-Martine,,,,,,,,,,,,,,,,,,,,,2,2,
,,,,,,,,,,,,,,,,,1,,,,,,,
