Table: Table_1
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
,Montréal,8,105,218,13,954,121,17,,179 8,,13
,Québec,26,12,44,,3,15,6,,,,
,Trois-Rivières,2,,,2,19,,,,,,M
Abitibi,Rouyn,,,,,,,,,,,
Argenteuil,Chatham Montfort,,,3,,3,,,,,,
Arthabaska,Victoriaville,,1,,,,,,,,,
,Chesterville Princeville Chester Est St-Valère,,,2,1 4 5,,,,,,,
Beauce,Aubert Gallion East Broughton Ste-Marie L'Enfant Jésus,1,,6,,,1 30,10,,2,,
Bellechasse,La Durantaye St-Raphael,,,,1,,2,,,,,
Berthier,Ste-Geneviève St-Cuthbert Lavaltrie Lanoraie,,,1 1,1,,,,,,,
Bonaventure,New Richmond,,,3 2,,,,,,,,
Brome,Sutton village Potton,,,3,,,,,,,,
Chambly,St-Lambert Longueuil,,,2,,,1 5,,,,,
Champlain,St-Luc St-Maurice St-Théophile du Lac,11,1 2,,,1,,,,,,
Chateauguay,Très St-Sacrement,,,,1,1,,,,,1,
Chicoutimi,Jonquières,,,,,1,,,,,,
Compton,East-Angus,,,1,,,,,,,,
,Bury,,,,7,,,,,,,
,Newport,,,,1,,1,,,,,
D.-Montagnes,St-Eustache,,,,,,,,,,,
Dorchester,St-Bernard St-Anselme,,1 1,,,,,,,,,
Drummond,Drummondville,,,1,,,,,,,,
Frontenac,Woburn,10,,,,,1,,,,,
,Mégantic,,,,,,,,,,,
Hull,Low,,8,,,,,,,,,
Iberville,Iberville,,1,,,,,,,,,
,St-Grégoire le Grand,,,1,,,,,,,,
,St-Athanase,,,1,,,,,,,,
Table: Table_2
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
J.-Cartier,N.-D. de Liesse,,,,,,63,11,,,,4
,Lachine,,3,9,3,6,3,,,1,,
,Verdun,,3,16,16,9,6,,,1,,
,Ville St-Pierre,,3,,,22,3,,,,,
,Pointe-Claire,,1,1,,3,,,,,,
,St-Laurent,,2,,2,8,,,,,,
,Ste-Geneviève de P,,,,1,,,,,,,
,Dorval,,,1,,,,,,,,
Joliette,Joliette,,2,,,,,,,,,
Kamouraska,St-Eleuthère,,,1,,,,,,,,
,Ste-Anne de la Pocatière,,,1,,,,,,,,
Lac St-Jean,St-Joseph d'A ma,,,,1,,,,,,,
Laprairie,St-Isidore,,1,,,,,,,,,
,Laprairie,,,,1,,,,,,,
,St-Constant,,,1,,1,,,,,,
L'Assomption,L'Assomption St-Lin,1,,1,1,,,,,,,
Laval,Montréal Nord,,1,2,,9,,,,,,
,Pointe-aux-Trembles,,,,1,,,,,,,
,Montréal Est,,,2,,1,,,,,,
,Ste-Rose ville,,,,,8,,,,,,
,Ste-Rose p. o,,,,,1,,,,,,
Lévis,Lévis,,2,1,,,,,,,,
L'Islet,St-Pamphile,1,,,,,,,,,,
,L'Islet par,,,7,,,,,,,,
Lotbinière,Ste-Croix,,,,2,,,,,,,
Matane,St-Ulric village,,,,1,,,,,,,
Mégantic,Thetford Mines,,2,5,3,,,,,,,
,Somerset Sud,,,1,,,,,,,,
,Amiante,,,1,,,,,,,,
Missisquoi,Bedford,1,,21,3,,1,,,,,
,Cowansville,,,,1,2,,,,,,
,Dunham Tsp.,,,1,,,,,,,,
,N.-D. de Stanbridge,,,1,,,,,,,,
,Stanbridge,,,1,,,,,,,,
,Farnham ville-town,,,,,2,,,,,,
Montmagny,St-Pierre,3,,,,,,,,,,
,Montmagny Canton,,,,,,2,,,,,
Papineau,Buckingham,,1,,1,,,,,,,
Pontiac,Fort-Coulonges,1,,,,,,,,,,
Portneuf,St-Casimir,6,,,,,,,,,,
,Pont Rouge,,,,,,1,,,,,
,Neuville,,,1,,,1,,,,,
,Pointe aux Trembles,,1,,,,,,,,,
