Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie, (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoide Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Berthier,Berthier en Haut,,,,,,,,,,,,,,,,4,,,,,1,,
,Lanoraie,,,,,,,,,,,,,,,,1,,,,,,,
,St-Cuthbert,,,,,,,,,,,,,,,,,,,1,,,,
Bonaventure,Port Daniel-Ouest,,,,,,,,,,,,,,,,,,,,,1,,
,Port Daniel-Est,,,,,,,,,,,,,,,,1,,,1,,,,
,New Carlisle,,,,,,,,,,,,,,2,2,,,,,,,,
,St-Godefroi,,,,,,,,,,,,,,,,,,,1,,,,
,Shigawake,,,,,,,,,,,,,,,,,,,1,,,,
Brome,Farnham-Est,,,,,,,,,,,,,,,,,,,,,1,,
,Knowlton,,,,,,,,,,,,,,,,1,,,,,,,
,Sutton, village,,,,,,,,,,,,,,5,,,,,,,,,
Chambly,Chambly Canton,,,,,,,,,,,,,,,,,,,,,1,,
,St-Lambert,,,,,,,,,,,,,,1,,4,,,1,,,,
,Longueuil,,,,,,,,,,,,,,,,1,,,,,,,
,St-Antoine de Longueuil,,,,,,,,,,,,,,,,,,,,,,,
,Montréal-Sud,,,,,,,,,,,,,,,,,,,1 1,,,,
,St-Hubert,,,,,,,,,,,,,,,,,,,1,,,,
Champlain,St-Adelphe,,,,1,,,,,,,,,,,,,,,,,,,
,St-Prosper,,,,2,,,,,,,,,,,,,,,,,,,
,Rapides Blane, ter. non org,,,,,,,,,,,,,,,,,,,2,,,,
Chateauguay,Ste-Martine,,,,,,,,,,,,,,,,,,,,,1,,
Chicoutimi,Chicoutimi,,,,,,,,,,,,,,,,,,,,,1,,
,Canton Taché,,,,,,,,,,,,,,,,,,,,,5,,
,Jonquière,,,,,,,,,,,,,,,,1,,,,,,,
Compton,East Angus,,,,,,,,,,,,,,3,,,,,,,,,
,Cookshire,,,,,,,,,,,,,,2,,,,,,,,,
,Eaton,,,,,,,,,,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Dorchester,Aylmer St-Bernard,,,,,,,,,,,,,,,,,,,1,,,,
Frontenac,Woburn,,,,,,,,,1,,,,,,,,,,,,,,
,Ditchfield & Spaulding,,,,,,,,,,,,,,,,,,,,,,1,
Huntingdon,Godmanchester,,,,,,,,,,,,,,,,2,,,,,,,
,Dundee,,,,,,,2,,,,,,,,,1,,,,,,,
,St-Anicet,,,,,,,,,,,,,,,,,,,,,,,
,Huntingdon,,,1,,,,,,,,,,,,,1,,,,,,,
Jacq.-Cartier,Notre-Dame de Liesse,,,,,,,,,,,,,,,,12,,,1,,,,
,Verdun,,,1,1,,,,,,,,,,,,1,,,,,,75,
,Lachine,,,,,,1,,,,,,,,14,3,17,,,5,,,3,
,Ville LaSalle,,,,,,,,,,,3,,,,,4,,,6,,1,1,
,Pointe Claire,,,,,,,,,,,,,,,,,,,,,1,,
,Ville St-Laurent,,,,,,,,,,,1,,,3,,7,,,,,,,
,Côte St-Luc,,,,,,,,,,,,,,2,,1,,,,,,,
,Beaconsfield,,,,,,,,,,,,,,1,,,,,,,,,
Kamouraska,St-Bruno,,,,,,,,,,,6,,,,,,,,,,,,
,Ste-Anne,,,,,,,,,,,,,,,,,,,,,,,
,Ste-Hélène,,,,,,,,,,,4,,,,,1,,,,,1,,
Labelle,Clyde,,,,,,,,,,,,,,26,,,,,,,,,
