Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur. ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet Fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Stanstead,Coaticook,,,,,,,,,,,,,,,,1,,,,,,,
,Stanstead Plain,,,,,,,,,,,,,,4,,1,,,,,,,
,Hatley Township,,,,,,,,,,,,,,1,,,,,,,,,
Témiscamingue,Duhamel Ouest,,,,,,,,,,,,,,,,1,,,,,,,
,Noranda,,,,,,,,,,,,,,,,2,,,1,,,,
Témiscouata,Notre-Dame du Lac,,,,1,,,,,,,,,,,,,,,,,,2,
,Cacouna,,,,,,,,,,,,,,,,,,,,,,11,
,St-Antonin,,,,,,,,,,,,,,,,,,,,,,7,
,Ste-Rose du Dégelé,,,,,,,,,,,,,,,,,,,,,,1,
,Rivière-du-Loup,,,,1,,,,,,,,,,,,,,,,,,,
Terrebonne,St-Jérôme Ville,,,,1,,,,,,,,,,,,5,,,,,,,
,Shawbridge,,,,1,,,,,,,,,,,,,,,,,,,
,Val Morin,,,,1,,,,,,,,,,,,,,,,,,,
,Abercrombie,,,,,,,,,,,,,,,,1,,,,,,,
,Ste-Thérèse Village,,,,,,,,,,,,2,,,,,,,,,,,
,Ste-Thérèse Paroisse,,,,,,,,,,,,1,,,,,,,,,,,
Vaudreuil,Vaudreuil Village,,,,,,,,,,,,,,,,,,,1,,,,
Verchères,Contrecceur Village,,,,2,,,,,,,,,,,,,,,,,,,
,Belœil Ville,,,,,,,,,,,,,,,,2,,,,,,,
,McMasterville,,,,,,,,,,,,,,23,,,,,,,,,
Verchères,Verchères,,,,,,,,,,,,1,,,,,,,,,,,
,Verchères Paroisse,,,,,,,,,,,,1,,,,,,,,,,,
Westmount,Westmount,,,,1,,,,,,,1,,,1,,4,,,,,,1,
,Outremont,,,,1,,,,,,,-,,,3,,6,,,,,,6,
Wolfe,St-Camille,,,,,,,,,,,,,,,,,,,1,,,,
,Garthby,,,,,,,,,,,,1,,,,,,,,,,,
,Totaux-Totals,,,183,229,,10,1,1,2,,123,33,,817,12,356,1,,177,,45,448,2
