Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur. ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet Fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Beauce,Saints-Anges,,,,,,,,,,,,,,,,,,,,,2,,
,St-Georges,,,,,,,,,,,,,,,,,,,,,1,,
Beauharnois,Maple Grove,,,,,,,,,,,,,,,,,,,,,1,,
,Beauharnois,,,,,,,,,,,,,,,,,,,1,,,,
Berthier,Berthier Ville,,,,,,,,,,,,,,,,,,,,,2,,
Bonaventure,Paspébiac Ouest,,,,,,,,,,,,,,,,,,,1,,,,
,Port Daniel Est,,,,,,,,,,,,,,,,,,,1,,,,
,Anse aux Gascons,,,,,,,,,,,,,,,,,,,2,,,,
Champlain,Cap de la Madeleine,,,,1,,,,,,,,,,,,,,,,,,,
Chateauguay,Howick,,,,,,,,,,,,4,,,,,,,,,,,
,Très St-Sacrement,,,,,,,,,,,,I,,,,,,,,,,,
,Chateauguay,,,,,,,,,,,,1,,,,,,,,,,,
,St-Antoine,,,,,,,,,,,,1,,,,,,,,,,,
Chicoutimi,Kénogami,,,,,,,,,,,,,,,,,,,,,1,,
,Chicoutimi,,,,,,,,,,,,,,,,,,,,,1,,
Compton,Compton,,,,,,,,,,,,,,,,,,,,,2,,
D.-Montagnes,Ste-Scholastique Village,,,,,,,,,,,,,,,,,,,,,2,,
Drummond,St-Joseph de Grantham,,,,1,,,,,,,,,,,,,,,,,,,
,Durham Sud,,,,,,,,,,,,,,,,,,,1,,,,
,Kingsey Falls,,,,,,,,,,,,I,,,,,,,,,,,
,Drummondville,,,,,,,,,,,,,,,,,,,,,1,,
Gaspé-Sud,Pabos,,,,,,,,,,,,,,,,,,,,,1,,
Gatineau,Aylwin,,,,2,,,,,,,,,,,,,,,,,,,
,Aylmer,,,,1,,,,,,,,,,,,,,,,,,,
Huntingdon,Hinchinbrooke,,,,,,,,,,,,1,,,,,,,,,,,
Iberville,Iberville,,,,1,,,,,,,,,,,,,,,,,,,
Jac.-Cartier,Ste-Anne-du-Bout-de-lIle,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
Jac.-Cartier,Lachine,,,10,,,,,,,,,,,,,,,,,,,,
,Verdun,,,,,,,,,,,I,,,,,,,,,,,,
,Baie Urfé,,,2,,,,,,,,,2,,3,,4 6,,,6,,1,,
,St-Laurent Ville,,,,,,,,,,,,,,,,,,,1,,1,,
,Dorval,,,,,,,,,,,,,,,,,,,,,1,,
,Pointe-Claire,,,,,,,,,,,,,,,,1,,,3,,1,,
,Notre-Dame-de-Liesse,,,,,,,,,,,1,,,2,,,,,,,,,
Joliette,Joliette,,,,,,,,,,,,,,,8,,,,1,,,,
,Ste-Elizabeth,,,,,,,,,,,,,,,,,,,,,,,
,St-Ambroise,,,,,,,,,,,,,,,,,,,1,,,,
Kamouraska,St-Onésime,,,,,,,,,,,,,,,,,,,1,,,,
Labelle,La Conception,,,,,,,,,,,,,,,,,,,,,6,,
,Mont-Laurier,,,,1,,,,,,,,,,,,,,,,,1,,
St-Jean,Ste-Jeanne d'Arc,,,,,,,,,,,,,,,,,,,,,,,
,St-Joseph d'Alma,,,,,,,,,,,,,,,,,1,,,,,,
'Assomption,Mascouche,,,,,,,,,,,,,,,,,,,,,5,,
,St-Gérard,,,,,,,,,,,,,,,,1,,,,,,,
,Plage Laval Village,,,,,,,,,,,,,,,,,,,,,1,,
,Laval des Rapides,,,,,,,,,,,,,,,,1,,,,,,,
,St-Jean-de-Dieu,,,,,,,,,,,,,,,,,,,,,13,,
,Ste-Dorothée,,,,,,,,,,,,,,,,,,,1,,,,
aviolette,Ste-Thècle.,,,,,,,,,,,,1,,,,,,,2,,,,
,St-Tite Ville,,,,1,,,,,,,,,,,,,,,,,1,,
Matane,Ste-Angèle,,,,,,,,,,,,,,,,,,,,,,,
,Ste-Luce,,,,1,,,,,,,,,,,,3,,,1,,,,
Iégantic,Sacré-Coeur de Jésus,,,,1,,,,,,,,,,,,,,,,,,,
,Ste-Anastasie,,,,1,,,,,,,,,,,,,,,,,,,
,Thetford Mines,,,,1,,,,,,,,,,,,,,,,,,,
,Lyster,,,,,,,,,,,,,,,,,,,,,,,
issisquoi,Cowansville,,,,,,,,,,,,,,,,,,,,,1,,
ontcalm,St-Jacques de Montcalm,,,,,,,,,,,,1,,,,,,,,,,,
,Nicolet,,,,,,,,,,,,,,,,,,,,,1,,
,St-Pierre-les-Becquets,,,,1,,,,,,,,,,,,,,,,,2,,
,Ste-Brigitte des Saults,,,,,,,,,,,,,,,,,,,,,,,
,Ste-Gertrude,,,,,,,,,,,,,,,,,,,,,1,,
pineau,St-André-Avellin,,,,,,,,,,,,,,,,,,,,,1,,
,Thurso,,,,1,,,,,,,,,,,,3,,,,,,,
