Table: Table_1
,Montréal,,,113,94,,8,11,,3,,52,2,,53,8,183,2,,124,,72,202,
,Québee,,,5,22,,,,,,,,,,,,14,,,10,,1,1,
,Trois-Rivières,,,2,4,,,,,,,,,,,,2,,,,,1,9,
Abitibi,Trécesson,,,,,,,,,,,,,,,,,,,,,2,,
,Poularies,,,,,,,,,,,,,,,,,,,,,2,,
,La Sarre,,,,,,,,,,,,,,,,,,,,,2,,
,Launay,,,,,,,,,,,,,,,,,,,,,1,,
,Ter. non org. de l'Abitibi,,,,,,,,,,,,,,,,1,,,,,2,,
,Amos,,,,,,,,,,,,,,,,1,,,,,,,
Arthabaska,Ste-Victoire,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
Beauce,Beauceville,,,,,,,,,,,,,,,,,,,,,1,,,
,Ste-Marie,,,,,,,,,,,,,,,,I,,,,,I,,,
,Shenley,,,,,,,,,,,,,,,,,,,,,1,,,
,St-Joseph,,,,,,,,,,,,,,,,1,,,,,,,,
Beauharnois,Lac St-Louis, village Beauharnois, ville,,,,,,,,,,,,,,,,1,,,1,,,,,
Bellechasse,St-Charles,,,,1,,,,,,,,,,,,,,,,,,,,
,St-Camille,,,,1,,,,,,,,,,,,,,,,,,,,
,St-Valier,,,,,,,,,,,,,,,,1,,,,,4,,,
Berthier,Lanoraie,,,,,,,,,,,,,,,,10,,,,,3,,,
,Berthier, ville,,,,,,,,,,,,,,,,1,,,,,2,,,
,Berthier, paroisse,,,,,,,,,,,,,,,,1,,,,,,,,
,St-Gabriel de Brandon,,,,,,,,,,,,,,2,,,,,,,,,,
Bonaventure,Maria,,,,1,,,,,,,,,,,,,,,,,,,,
,St-Siméon,,,,,,,,,,,,,,,,,,,,,1,,,
,Paspébiac,,,,,,,,,,,,,,,,,,,,,1,,,
Brome,Potton,,,,,,,,,,,,,,,,3,,,,,,,,
Chambly,St-Lambert,,,,,,,,,,,,,,,,10,,,,,I,,,
Champlain,Cap de In Madeleine,,,,1,,,,,,,,,,,,,,,,,,,,RAPPORT-REPORT,
,Almaville,,,,5,,,,,,,,,,,,5,,,,,,,,
,St-Tite, ville,,,,,,,,,,,,,,,,,,,,,I,,,
,Ste-Anne de la Pérade,,,,,,,,,,,,,,,,1,,,,,,,,
Charlevoix,Les Eboulements,,,,,,,,,,,,,,,,,,,,,1,,,
Chateauguay,Chateauguay, ville,,,,,,,,,,,,,,,,,,,,,,,4,
,St-Jean Chrysostome, par,,,,1,,,,,,,,,,,,,,,,,,,,
Chicoutimi,Chicoutimi,,,,1,,,,,,,,1,,,,I,,,,,,,,
Compton,Sawyerville,,,,,,,,,,,,,,,,1,,,,,1,,,1930-31
,Lingwick,,,,,,,,,,,,,,,,I,,,,,,,,
,Cookshire,,,,,,,,,,,,1,,,,,,,,,,,,
D.-Montagnes.,St-Augustin, paroisse,,,,,,,,,,,,,,,,,,,1,,3,,,
,L'Annonciation, paroisse,,,,,,,,,,,,,,,,,,,I,,,,,
Dorchester,Ste-Germaine,,,,,,,,,,,,,,,,,,,,,4,,,
Frontenac,St-Evariste de Forsyth,,,,,,,,,,,,,,,,,,,,,1,,,
,St-Sébastien,,,,,,,,,,,,,,,,1,,,1,,,,,
,St-Ludger,,,,,,,,,,,,,,,,2,,,,,,,,
Gatineau,Aylwin,,,,1,,,,,,,,,,,,,,,,,,,,
,Aylmer,,,,,,,,,,,,1,,,,33,,,,,,,,
Hull,Hull,,,,,,,,,,,,,,,,,,,1,,,,,
,Maniwaki,,,,3,,,,,,,,,,,,,,,,,,,,
Iberville,St-Alexandre,,,,,,,,,,,,,,,,,,,,,1,,,
Jacq.-Cartier,Ville St-Laurent,,,,,,,,,,,,,,5,,5,,,,,1,3,,
,Ville St-Pierre,,,,,,,,,,,,,,,,10,,,1,,,4,,
,Verdun,,,6,5,,1,,,,,2,I,,,,13,,,13,,,13,,
,,,,,,,,,,,,,,,,,,,,,,,,,23
