Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
,Montréal,,,77,76,,13,5,,2,,115,,,271,41,250,1,,156,,6,100,2
,Québec,,,3,4,,,,,,,,,,,,39,,,9,,4,3,2
,Trois-Rivières,,,,1,,,,,,,,,,11,,,,,,,,,
Abitibi,Rouyn,,,,,,,,,,,,,,,,,,,,,,1,
,Amos,,,,4,,,,,,,,,,,,,,,,,,,
,Macamic,,,,,,,,,,,,,,,,,,,,,1,,
,Poularis,,,,,,,,,,,,,,,,,,,,,3,,
Argenteuil,Lachute,,,,,,,,,,,,,,,,,,,1,,,,
,Carillon,,,,,,,,,,,,,,,,,,,1,,,,
Beauce,Ste-Marie,,,,1,,,,,,,,,,,,,,,,,,,
,St-Frédérie,,,,1,,,,,,,,,,,,,,,,,,,
,Aubert Gallion,,,,,,,,,,,,,,,,,,,,,1,,
,St-Georges,,,,,,,,,,,,,,,,],,,,,,,
,Metgermette Nord,,,,,,,,,,,,,,3,,,,,,,,,
,St-Joseph,,,,,,,,,,,,,,,,,,,1,,,,
,St-Côme de Kennebee,,,,,,,,,,,,,,,,,,,1,,,,
Beauharnois,St-Louis de Gonzague,,,,,,,,,,,,,,,,,,,1,,,,
,Valleyfield,,,,,,,,,,,,,,,,,,,1,,,,
Berthier,Lavaltrie,,,,5,,,,,,,,,,,,,,,,,,,
,Berthier,,,,,,,,,,,,,,,,,,,,,1,,
,Lanoraie,,,,,,,,,,,,,,,,,,,,,1,,
,St-Gabriel de Brandon,,,,1,,,,,,,,,,,,,,,,,,,
Brôme,Eastman,,,,,,,,,,,,,,,,,,,,,1,,
,Sutton,,,,2,,,,,,,,,,,,,,,,,,,
Chambly,Longueuil,,,,1,,,,,,,,,,,,,,,,,,,
,St-Hubert,,,,,,,,,,,,,,,,,,,,,1,,
,St-Lambert,,,,,,,,,,,,,,,,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
,,,,,,,,,,,,,,,,,,,,,,,,,
Champlain,Cap de la Madeleine,,,,1,,,,,,,,,,,,,,,,,,,,
,St-Tite, paroisse,,,,2,,,,,,,,,,,,,,,,,,,,
Châteauguay,Châteauguay,,,,1,,,,,,,,,,,,,,,1,,,2,,
Chicoutimi,Jonquière,,,,,1,,,,,,,,,,,1,,,,,,,,
Compton,Compton,,,,,,,,,,,,,,,,,,,1,,,,,
,Lingwick,,,,,,,,,,,,,,,,,,,,,],,,
D.-Montagnes,St-Eustache,,,,,,,,,,,,,,,,,,,1,,,,,
Dorchester,St-Bernard,,,,,,,,,,,,,,,,,,,,,,,1,
Hull,Bouchette,,,,,,,,,,,,,,,,,,,,,,,2,
,Messines,,,,,,,,,,,,,,2,,,,,,,,,,
Huntingdon,Hinchinbrooke,,,,,,,,,,,,,,9,9,20,,,6,,1,10,,
Jaeques-Cartier,Verdun,,,,1,,1,,,,,1,,,,,,,,,,,122,,
,Notre-Dame de Liess:,,,,,,,,,,,,,,,,,,,,,,,,
,Lachine,,,,2,,,,,,,,,,,,],,,1,,,,,
,St-Laurent, ville,,,,1,,1,,,,,,,,,,,,,,,,,,
,Ville LaSalle,,,,I,,,,,,,,,,S,,1,,,,,,,,
,Pointe-Claire,,,,,,,,,,,,,,:,,1,,,,,,,,
,Dorval,,,,,,,,,,,,,,,,,,,,,,,,
,Ville St-Pierre,,,,,,,,,,,,,,,,,,,,,,3,,
Kamouraska,St-Eleuthère,,,,,,,,,,,,,,,,,,,,,,,,
,St-Paschal,,,,2,,,,,,,,,,,,2,,,,,,,,
,St-Louis de Kamouraska,,,,,,,,,,,,,,,,,,,1,,,,,
,St-André,,,,,,,,,,,,,,,,,,,,,,,,
,Ste-Hélène,,,,,,,,,,,,,,,,,,,,,1,,,
Lac St-Jean,Normandin St-Félicien,,,,,,,,,,,,,,1,,2,,,,,1,,,
,Roberval,,,,,,,,,,,,,,,,,,,,,1,,,
Laprairie,Caughnawaga Delson,,,,,,,,,,,,,,,,1,,,,1,,1,,
Laval,Montréal Est,,,,,,,,,,,,,,,,1,,,,,,,,
,L'Abord A Plouffe,,,,,,,,,,,,,,,,,,,,1,,,,
,Pointe aux Trembles,,,,,,,,,,,,,,,,,,,,,,,,
,St-Vincent de Paul,,,2,,,,,,,,,,,,,1,,,,,,,,
Lévis,St-Nicholas,,,,,,,,,,,,,,,,3,,,,,,,,
,Lévis,,,,,,,,,,,,,,,,3,,,,,,,,
,Ste-Hélène de Breakey, ville,,,,,,,,,,,,,,,,8,,,,,,,,
L'Islet,Tourville,,,,,,,,,,,,,,,,1,,,,,,,,
,Ashford,,,,,,,,,,,,,,,,5,,,,,,,,
,L'Islet, paroisse,,,,,,,,,,,,,,,,,,,,,,,,
Lotbinière,St-Edouard,,,,3,,,,,,,,,,,,1,,,,,,,,
Matapédia,Saindon,,,,,,,,,,,,,,,,,,,,,,,,
