Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
,Belœil,,,,,,,,,,,,,,,,,,,,,1,,
Verchères,McMasterville,,,,,,,,,,,,,,,,1,,,,,,,
Westmount,Westmount,,,,,,,,,,,,,,,,3,,,,,1,,
,Outremont,,,,,,,,,,,,1,,,,1,,,,,,,
,Totaux-Totals,,,35,170,,,18,,3,,12,15,,27,,243,,,175,,96,17,42
Table: Table_2
,Montréal,,,21,140,,,8,,1,,86,4,,67,,233,,,201,,14,159,11
,Québec,,,1,12,,,,,,,2,,,1,,33,,,8,,9,,7
,Trois-Rivières,,,,,,,,,,,,,,,,,,,,,1,,2
Abitibi,Landrienne,,,,2,,,,,,,,,,,,,,,,,,,
,Rouyn,,,,,,,,,,,,,,14,,3,,,,,6,,
Arthabaska,Chester Est,,,,,,,,,,,,,,,,,,,,,4,,
,Princeville,,,,,,,,,,,,,,,,,,,,,2,,
Beauce,Aubert Gallion,,,,1,,,,,,,,,,,,,,,13,,,,1
,L'Enfant Jésus,,,,,,,,,,,,,,,,,,,,,,4,
,Beauceville,,,,1,,,,,,,,,,,,,,,,,,,
,St-Martin,,,,,,,,,,,,,,,,2,,,,,,,
,Mergermette Nord,,,,,,,,,,,,,,,,,,,1,,,,
,St-Simon les Mines,,,,,,,,,,,,,,,,,,,,,2,,
Beauharnois,Valleyfield,,,,,,,,,,,,,,,,,,,,,7,,
,Nouveau Salaberry,,,,,,,,,,,,,,,,,,,,,2,,
Table: Table_3
Bellechasse,St-Camille,,,,,,,,,,,,,,,,,,,,,,,20,
Berthier,Lavaltrie,,,,,,,,,,,,,,,,4,,,,,,,,
Brôme,Brôme, township,,,,,,,,,,,,,,,,1,,,,,,,,
Chambly,St-Basile,,,,1,,,,,,,,,,,,,,,,,,,,
Champlain,Mont Carmel,,,,,,,,,,,,,,,,,,,,,,,2,
,La Tuque,,,,3,,,,,,,,,,,,1,,,,,,,1,
,Ste-Flore,,,,,,,,,,,,,,,,,,,,,,,1,
,Cap de la Madeleine,,,,1,,,,,,,,,,,,,,,,,,,,
Charlevoix,La Malbaie,,,,,,,,,,,,,,,,,,,,,1,,,
,St-Urbain,,,,,,,,,,,,,,,,,,,,,1,,,
Châteauguay,Très St-Sacrement,,,,,,,,,,,,,,,,1,,,,,,,,
Chicoutimi,Chicoutimi,,,,2,,,,,,,,,,,,,,,,,,,1,
,Jonquière,,,4,,,,,,,,,,,,,2,,,,,,1,,
Compton,Compton,,,,,,,,,,,,,,,,,,,,,,3,,
,East Angus,,,,2,,,,,,,,,,,,2,,,,,,1,,
,Sawyerville,,,,,,,,,,,,,,,,1,,,,,,,,
Dorchester,Ste-Germaine,,,,,,,,,,,,,,,,,,,,,4,,,
Gaspé,Gaspé Bay North,,,,,,,,,,,,,,,,,,,,,,1,,
Hull,Aylmer,,,,,,,,,,,,,,,,1,,,,,,,,
Huntingdon,Franklin,,,,,,,,,,,,,,,,1,,,,,,,,
Jacques-Cartier,Notre-Dame de Liesse,,,18,,,,19,,,,,,,,,,,,,,,,,
,Verdun,,,6,5,,,,,,,,,,,,6,,,12,,,3,,
,Lachine,,,7,3,,,,,,,,,,,,2,,,7,,1,8,,
,Ville St-Pierre,,,,1,,,,,,,,,,,,,,,,,,,,
,Pointe-Claire,,,2,1,,,,,,,,,,,,1,,,,,,,,
,St-Laurent Ville,,,,,,,,,,,,,,,,,,,6,,,,,
Joliette,St-Félix de Valois,,,,,,,,,,,,,,,,,,,,,1,,,
Lac St-Jean,Hébertville,,,,2,,,,,,,,,,,,,,,,,,,,
,St-Joseph d'Alma,,,,1,,,,,,,,,,,,,,,,,1,,,
Laprairie,St-Constant,,,,,,,,,,,,,,,,,,,,,1,,,
,Caughnawaga,,,,,,,,,,,,,,,,,,,,,,,19,
Laval,Pointe aux Trembles,,,,,,,,,,,,,,,,1,,,,,,1,,
,Montréal Est,,,,,,,,,,,,,,1,,,,,,,1,,,
,Montréal Nord,,,,,,,,,,,,,,,,,,,1,,,,,
,Pont Viau,,,,,,,,,,,,1,,,,,,,,,,,,
Lévis,Lévis,,,,5,,,,,,,,,,,,1,,,,,,,,
,Charny, village,,,,1,,,,,,,,,,,,,,,,,,,,
L'Islet,L'Islet,,,,,,,,,,,,,,,,,,,,,,,1,
,St-Marcel,,,,,,,,,,,,,,,,,,,,,4,,,
,St-Jean Port Joli,,,,,,,,,,,,,,,,2,,,,,,,,
Maskinongé,St-Justin,,,,,,,,,,,,,,,,,,,,,1,,,
Montcalm,St-Alexis,,,,,,,,,,,,,,1,,,,,,,1,,,
Matane,Ste-Félicité,,,,,,,,,,,,,,,,,,,,,,,11,
,Matane, paroisse,,,,,,,,,,,,,,,,,,,,,,,5,
