Table: Table_1
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
,Montréal,10,156,175,12,1080,108,38,1,194,,13
,Québec,17,15,61,,9,9,1,,22,,
,Trois-Rivières,,8,3,2,21,2,17,,,,
Abitibi,La Sarre,,,1,,,,,,,,
Argenteuil,Grenville,1,,,,,,,,,,
,Grenville & Augment,,,2,,,,,,,,
Arthabaska,Victoriaville,,1,,1,,,,,,,
,Princeville,,,,4,,,,,,,
,Chester Est,,,,4,,,,,,,
,Arthabaska,,,,1,,,,,1,,
,Stanfold,,,2,,,,,,,,
Bagot,Acton Vale,,,,1,,,,,,,
Beauce,St-Théophile,,1,,,,,,,,,
,Ste-Marie,,,4,,,,,,,,
,St-Georges Est,,,1,,,,,,,,
,Beauceville,,,,,,,,1,,,
Bellechasse,St-Michel.,,,,,,,20,,,,
Berthier,St-Cuthbert,,,,2,,,,,1,,
Bonaventure,Escuminac.,,,,1,,,,,,,
Brome,Sutton,,2,,,,,,,,,
,Knowlton village,,1,,,,,,,,,
,Sutton,,,7,,,,,,,,
Chambly,St-Lambert,,,2,,,,,,,,
,Longueuil,,,1,,,,,,,,
Champlain,St-Maurice,5,,,,,,,,,,
,St-Luc de Vincennes.,48,,,,,,,,,,
,Batiscan,1,,2,,,2,,,,,
,St-Narcisse,,,,1,,,,,,,
Charlevoix.,Les Eboulements,1,,,,,,,,,,
,St-Urbain,1,,,,,,,,,,
Chateauguay,St-Antoine Abbé,,,2,,,,,,,,
Chicoutimi,Jonquières,1,1,2,,,,,,,,
,Chicoutimi par,,,,1,,,,,,,
Compton,Ditton,,,1,,,,,,,,
,Burry,,,2,,,,,,,,
D.-Montagnes,L'Annonciation par,,,4,,,,,,,,
Dorchester,St-Anselme,1,,,,,,,,,,
,St-Bernard,2,,,,,,,,,,
Drummond,St-Joseph de Grantham,,,,1,,,,,,,
Frontenac,Mégantic,,,,,16,,,,,,
Hull,Maniwaki,1,,3,,,,,,,,
,Wright,2,,,,,,,,,,
,Aylwin,1,,,,,,,,,,
Huntingdon,Franklin,,,1,,,,,,,,
,,,,,,,,,,,,
Table: Table_2
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
Papineau,Ange-Gardien,1,,,,,,,,,,
,Masson Buckingham,,4,2 2,4,,,,,,,
Pontiac,Alleyn & Cawood,2,,,,,,,,,,
Pontiac,Mansfield & Pontefract Campbell's Bay,1,,,3,,,,,,,
Portneuf,St-Raymond,,,,,2,,,,,,
Québec,Ste-Foy Sillery,,,3,1,,,,,,,
Richmond,Windsor Mills Melbourne Richmond,1,,1 2,,,10,,,,,
,Asbestos Cleveland,,,2,,6,,,,,,
Rimouski,Bic Rimouski,1,1,,,,,,,,,
Shefford,Roxton Falls Waterloo Granby,,,1 1,,2,3 4,,,,1,
Sherbrooke,Sherbrooke,1,5,36,,7,,,,,,
Stanstead,Barnston Coaticook,,,,1,,1,,,,2,
St-Jean,St-Jean,,,2,1,,6,,,,,
St-Maurice,Shawinigan Falls,,,2,3,,,,,,,
Témiscouata,Cabano Rivière Bleue Squateck,,2 1 1,,,,,,,,,
Témiscouata,N.-D. du Lac Ste-Rose du Dégelé,,,1,1 1,,,,,,,
Terrebonne,St-Jérôme,,2,,,,,,,,,
Vaudreuil,Vaudreuil par,,,1,,,,,,,,
Verchères,Beloeil,,,,2,,1,,,,,
Westmount,Hampstead Montréal ouest,,,,1,24,,,,,,
,Westmount,,,2,15,,,,,,,
,Outremont,,1,1,23,101,,,,,,
Wolfe,Dudswell,,,1,,,,,,,,
,Weedon Centre,,,,,1,,,,,,
,Total pour février- Total for February,,52 251,489,,80 1173,154,,65,187,,20
