Table: Table_1
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
,Montréal,3,158,214,12,773,38,21,,164,,20
,Québec,14,18,48,2,6,12,6,,10,,
,Trois Rivières,1,3,1,2,5,5,7,,,,
Abitibi,Rouyn,,1,,,,,,,,,
,Amos,,,,2,,,,,,,
,La Sarre,,,,2,,,,,,,
Argenteuil,Grenville & Augment,,,,,2,,,,,,
Arthabaska,Victoriaville,,1,,,,,,,,,
,Ste-Anne du Sault,,1,,,,,,,,,
,Warwick,,1,,,,,,,,,
,Arthabaska,,,,1,,,,,,,
,Stanfold,,,,1,,,,,,,
,Princeville,,,,4,,,,,,,
,Tingwick,,,2,,,,,,,,
Beauce,St-Philibert,1,,,,,,,,,,
,Ste-Marie,,1,10,,,,,,,,
,East Broughton,,1,,,,,,,,,
,St-Elzéar,,,2,,,,,,,,
,S.-C. de Jésus,,,,,,,,,1,,
,St-Georges,,,,,2,,,,,,
Berthier,St-Cuthbert,,8,,1,,,,,,,
Bonaventure,Gascons,,,,1,,,,,,,
,Escuminac,,,,2,,,,,,,
,New Richmond,,,3,,75,,,,,,
Brome,Sutton village Brome Tsp,,,3 1,,,,,,,,
Chambly,St-Lambert,,1,2,,,,,,,,
,Longueuil,,,3,,,,,,,,
Champlain,Cap de la Madeleine,1,1,1,,,1,,,,,
Chateauguay,Trés St-Sacrement,,,2,,,,,,,,
,Howick,,,2,,1,,,,,,
,Ste-Clothilde,,,,,29,,,,,,
Chicoutimi,Chieoutimi,,1,,,,,,,,,
,Jonquières,,,1,1,,,3,,,,
,Kénogami,,,,3,,,,,,,
Compton,Bury,,,1,,,,,,,,
Dorchester,St-Anselme,,1,,,,,,,,,
Frontenac,Mégantic,,,1,,5,,,,,,
Gaspé,St-Maurice,,,,,,,,,2,,
Hull,Aylwin,2,,,,,,,,,,
,Wright,5,,,,,,,,,,
,Maniwaki,1,,,,,,,,,,
,Masham Nord,1,,,,,,,,,,
Huntingdon,Huntingdon,,,1,,,,,,,,
,Franklin,,,2,,,,,,,,
,,,,,,,,,,,,
Table: Table_2
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
Iberville,Ste-Anne de Sabrevois Iberville,,1,3,,,,,,,,
J.-Cartier,Lachine,2,2,25,3,,,,,,,
,N.-D. de Liesse,,,,,55 1,4,,,,,
,Verdun,,7,22,2,,60,20,,,,
,Ville St-Pierre,,1,1,1,7 3,5,1,,3,,
,St-Laurent ville-town Ville Lasalle,,,2,1,4,,,,2,,
,Ste-Anne de Bellevue,,,1,,,,,,,,
,Dorval,,,2,,,,,,,,
,Pointe-Claire,,,2,,7,,,,,,
,St-Laurent par,,,,,,,,,,,
Kamouraska,St-Eleuthère,5,,,,1,,,,,,
Lac St-Jean,Riverbend,,1,,,,,,,,,
,Roberval,,1,,,,,,,,,
Laprairie,St-Constant,,1,,,,,,,,,
,St-Isidore,,,,1,,,,,,,
Laval,St-François de Sales,,2,,,,,,,,,
,Laval des Rapides,,12,,,,,,,,,
,L'Abord à Plouffe,,1,,,4,,,,,,
,Montréal Nord,,,5,2,,,,,,,
,St-Vincent de Paul,,,,1,,,,,1,,
,Ste-Rose par,,,,1,,,,,,,
,Ste-Rose ville-town,,,7,,,,,,,,
,Ste-Rose P. 0.,,,6,,,,,,,,
,Pointe-aux-Trembles St-Martin,,,,,13,,,,,,
Lévis,Lévis,2,,,,,,,,1,,
Lotbinière,Ste-Croix,,,,1,,,,,,,
,Deschaillons,,,,1,,,,,,,
Maskinongé,St-Léon,,,,,,,,,,,
Matapédia,Saindon,,,5,,,,6,,,,
Mégantic,Thetford Mines,,,,6,,,,,,,
,Amiante,,,,1,,,,,,,
,Plessisville,,,2,,,,,,,,
Missisquoi,St-Ignace de Stanbridge. Bedford,,1,,2,,,,,,,
,Cowansville,,,2,,,,,,,,
,Dunham,,,3,,,,,,,,
Montcalm,St-Alexis village,,,,1,,,,,,,
Montmagny,St-Pierre,,,,1,,,,,,,
Nicolet,Nicolet,,2,4,8,32,,,,,,
,Ste-Eulalie,,2,,,,,,,,,
,St-Léonard,,,,3,,,1,,,,
