Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur. ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet Fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Joliette,St-Ambroise de Kildare Ste-Béatrix,,,,,,,,,,,,,,,,,,,,,8 4,,
Kamouraska,St-Louis,,,6,1,,,,,,,,,,,,,,,,,,,
,St-Pacôme St-André,,,,1 2,,,,,,,,,,,,,,,,,,,
,St-Onésime,,,,,,,,,,,,,,,,,,,,,5,,
,St-Alexandre,,,,,,,,,,,,,,,,,,,,,1,,
Labelle,Mont Laurier,,,,1,,,,,,,,,,,,,,,,,,,
,Ferme Neuve,,,,,,,,,,,,,,,,,,,,,1,,
Lac St-Jean,Mistassini,,,,3,,,,,,,,,,,,,,,,,,,
,Isle Maligne,,,,,,,,,,,,,,,,,,,,,1,,
L' Assomption,L'Assomption,,,,,,,,,,,,,,,,,,,,,,3,
,L'Epiphanie,,,,1,,,,,,,,,,,,,,,,,,,
,Lachenaie,,,,,,,,,,,,1,,,,,,,,,,,
Laval,Montréal-Est,,,,1,,,,,,,,,,,,6,,,,,,,
,Ville Pointe-aux-Trembles,,,,,,,,,,,,,,,,,,,,,1,,
,St-Jean-de-Dieu L'Abord-à-Plouffe,,,,,,2,,,,,,,,,,,,,,,1,,
,St-Vincent de Paul,,,,,,,,,,,,,,,,,,,1,,,,
Laviolette,St-Tite Ville,,,,,,,,,,,,,,,,,,,,,3,,
,Grand Mère,,,,6,,,,,,,,,,,,8,,,,,,,
,Ste-Thècle Paroisse,,,,1,,,,,,,,,,,,,,,,,,,
,Almaville,,,,2,,,,,,,,,,,,,,,,,,,
Lévis,Lévis,,,,,,,,,,,,,,,,1,,,,,,,
,Charny,,,,,,,,,,,,,,,,,,,,,2,,
L'Islet,St-Eugène,,,,,,,,,,,,,,,,,,,,,2,,
Lotbinière,Deschaillons,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Lotbinière,St-Flavien,,,,,,,,,,,,,,,,,,,,,,,
Maskinongé,St-Didace,,,,,,,,,,,,2,,,,,,,,,,,
Matane,Matane,,,,,,,,,,,,5,,,,,,,,,,,
,Mont-Joli,,,,,,,,,,,,1,,,,,,,,,,,
Matapédia,St-Léon le Grand,,,,,,,,,,,,1,,,,,,,,,,,
Mégantic,Plessisville,,,,,,,,,,,,,,,,,,,,,3,,
