Table: Table_1
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
,Montréal,12,139,128,12,419,44,13,,182,,7
,Québec,63,7,50,,,2,,,9,,
,Trois-Rivières,,,1,1,6,,,,,,
Abitibi,Landrienne,,1,,,,,,,,,
,Rouyn,,,,2,,,,,,,
Arthabaska,St-Valère,,1,,,,,,,,,
,Arthabaska,,,,1,,,,,,,
,Princeville,,,1,,,,,,,,
,Chénier,,,,,1,,,,,,
Beauce,St-Jos. de Beauce,,,,,,1,,,,,
Berthier,St-Cuthbert,,,,,6,,,,,,
,Lanoraie,,,2,3,,,,,,,
Chambly,Boucherville St-Lambert,,,1,3,2,,,,,,
Champlain,Ste-Anne de la Pérade Ste-Thècle,,,,1 1,,,,,,,
,St-Louis de France,,,4,,,,,,,,
Chateauguay,St-Chrysostome,,,,1,,,,,,,
Chicoutimi,Chicoutimi,,,1,1,,1,,,,,
,Ste-Anne de Chicoutimi Jonquières,,,1,1,,,,,1,,
Compton,East-Angus,,,1,,,1,,,,,
,Compton Tsp,,1,,,,,,,,,
,Newport,,,,,8,,,,,,
Compton,Eaton Waterville,,,,,1 1,,,,,,
D.-Montagnes,St-Eustache,,,,1,,,,,,,
Dorchester,St-Malachie Ste-Justine de Langevin.,1,,4,,,,,,,,
Drummond,South Durham Wickham West,,,9,1 1,1,,,,,,
Frontenac,St-Sébastien,,,,1,,,,,,,
Gaspé,Douglass West,1,,,,,,,,,,
Huntingdon,Godmanchester,,,,,,1,,,,,
J.-Cartier,N.-D. de Liesse,,,,,,1,5,,,,4
,Verdun,,6,11,2,16,2,,,6,,
,Lachine,,2,6,2,4,5,,,3,,
,St-Laurent,,2,,,8,,,,,,
,Ville St-Pierre,,1,,1,3,,,,,,
,Pointe-Claire,,,1,,,,,,,,
Kamouraska,St-Alexandre,1,,,,,,,,,,
,St-Germain,,,,,,,,,1,,
Lac St-Jean,St-Joseph d'Alma,3,1,,,,,,,,,
,Dolbeau,1,,,,,,,,,,
,St-Henri de Mascouche,,,,1,,,,,,,
Table: Table_2
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
Laval,St-Martin,,3,,,13,,,,,,
,L'Abord à Plouffe,,,2,,,,,,,,
,Montréal Nord,,,1,,S,,,,,,
,Pointe-aux-Trembles,,,,,13,,,,,,
,Montréal Est,,,,,2,,,,,,
Lévis,Lévis,,,5,,,,,,,,
,S.-Hélène de Breakeyville,,,2,,,,,,,,
Matane,Priceville,,,,,,,,,1,,
Matapédia,St-Laurent,1,,,,,,,,,,
Mégantic,St-Pierre-Baptiste,,1,,,,,,,,,
,Laurierville,,,2,,,,,,,,
,Inverness,,,4,,,,,,,,
,Sommerset,,,1,,,,,,,,
Missisquoi,Bedford,,,15,,,,,,,,
,St-Ignace de Stanbridge,,,1,,,,,,,,
,Stanbridge,,,1,,,,,,,,
,Dunham,,,1,,,,,,,,
,N.-D. de Stanbridge Stanbridge Station,,,1 1,,,,,,,,
Nicolet,St-Léonard,,1,,,,,,,,,
Papineau,Buckingham,,,,2,,,,,,,
Portneuf,Pointe aux Trembles St-Casimir,1 1,,,,,,,,,,
,Donaconna Pont-Rouge,,,,1,,,,,1,,
Québec,Giffard,1,,,,,,,,,,
,Beauport par Loretteville,1 10,1,,,,,,,,,
,Ste-Foye par,,1,1,,1,,,,,,
,Cap-Rouge St-Ambroise,,1 1,,,,,,,,,
Richmond,Windsor,,1,,,,,,,,,
Rouville,St-Hilaire,,1,,,,,,,,,
Shefford,Waterloo,,,,1,1,,,,,,
,Granby,,,1,,,,,,1,,
,Roxton Canton,,,,,1,,,,,,
Sherbrooke,Sherbrooke,,2,,,,,,,,,
Stanstead,Magog,,1,,,1,,,,,,
,Coaticook,,,,,1,,,,,,
,Barnston,,,,,6,,,,,,
,Dixville,,,,,3,,,,,,
,Hatley Tsp,,,,,9,,,,,,
,West Hatley,,,,,3,,,,,,
,North Hatley,,,,,1,,,,,,
,,,,,,,,,,,,
