Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralvsie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
,Montréal,,,51,153,,,142,,1,2,62,,,76,11,302,,,191,,2,135,13
,Québec,,,,9,,,,,,,,,,,,49,,,7,,,1,9
,Trois-Rivières,,,,2,,1,,,,,,,,,,4,,,,,1,,
Abitibi,Ter. non organ. de l'Abitibi,,,,,,,,,,,,,,,,,,,,,,,1
,Rouyn,,,,,,,,,,,,,,,,,,,,,1,,
,Amos,,,,,,,,,,,,,,,,2,,,,,,,
,Poularis,,,,,,,,,,,,,,,,,,,,,2,,
,Bousquet, township,,,,,,,,,,,,,,,,,,,,,,,1
Argenteuil,Morin Heights,,,,1,,,,,,,,,,1,,,,,,,,,
Arthabaska,Victoriaville,,,,,,,57,,,,,,,,,1,,,1,,,,
Beauce,St-Joseph,,,,,,,,,,,,,,1,,,,,,,,2,
,L'Enfant Jésus,,,,2,,,,,,,,,,,,3,,,,,,,
,St-Frédéric,,,,2,,,,,,,,,,,,,,,,,,,
,Ste-Marie,,,,5,,,,,,,,,,,,,,,,,,,
,Sacré-Coeur de Jésus,,,,3,,,,,,,,,,,,3,,,,,2,,
,St-Georges,,,,,,,,,,,,,,,,,,,,,1,,
Beauharnois,St-Louis de Gonzague,,,,,,,,,,,,,,,,,,,,,1,,
Berthier,Lanoraie,,,,,,,,,,,,,,,,2,,,,,,,
Brôme,Sutton,,,,,,,32,,,,,,,,,,,,,,,,
,East Farnham,,,,,,,,,,,,,,4,,,,,,,,,
,Knowlton, village,,,,,,,,,,,,,,,,4,,,,,,,
,Bolton West,,,,,,,,,,,,,,,,1,,,,,,,
Bonaventure,Shigawake,,,,1,,,,,,,,,,,,,,,,,,,
Chambly,Longueuil,,,,,,,,,,,,,,,,,,,,,,1,
,St-Lambert,,,,,,,,,,,,,,,,1,,,,,,,
,Chambly, canton,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
Champlain,Deux-Rivières,,,,,,,,,,,,,,,,,,,1,,1,,,
,Grand'Mère,,,,,,,,,,,,,,,,,,,,,,,,
,Cap de la Madeleine,,,,1,,,,,,,,,,,,1,,,,,,,,
Charlevoix,Les Eboulements,,,,,,,,,,,,,,,,,,,,,,,,
Châteauguay,Très St-Sacrement St-Chrysostome,,,,4,,,40,,,,,,,,,,,,,,,,,
,St-Antoine Abbé,,,,1,,,,,,,,,,,,1,,,1,,,3,1,
Chicoutimi,Jonquière,,,,4,,,30,,,,,,,,,,,,,,,,1,
,Chicoutimi, canton Tremblay,,,,,,,,,,,,,,,,,,,,,1,,,
Compton,Eaton,,,,,,,1,,,,,,,,,,,,,,,,,
,Waterville,,,,1,,,,,,,,,,,,,,,,,,,,
,Bury,,,1,,,,,,,,,,,,,,,,,,,,,
Dorchester,Ste-Justine,,,,2,,,,,,,,,,,,,,,,,,,,
,Ste-Hénédine,,,,1,,,,,,,,,,,,2,,,1,,,,,
Drummond,Drummondville,,,,,,,,,,,,,,,,,,,,,,,2,
Gaspé,Percé,,,,,,,,,,,,,,,,,,,,,,,,
,Cap Chat,,,,,,,125,,,,,,,,,,,,,,,,,
Hull,Low,,,,1,,,,,,,,,,,,,,,,,,7,,RAPPORT-REPORT,
,Messines,,,,,,,,,,,,,,,,2 1,,,,,,,,
Huntingdon,Godmanchester,,,,,,,,,,,,,,4,,14,,,5,,1,5,4,
Jaeques-Cartier,Verdun,,,1,2,,,1036,,,,,,,,,,,,,,,,,
,Notre-Dame de Liesse,,,9,,,,30,,,,8,,,,,,,,,,6,1,,
,Lachine,,,3,3,,,,,,,,,,,,1,,,,,,,,
,St-Laurent, paroisse,,,,,,,31,,,,,,,,,,,,,,,,,
,St-Laurent, ville,,,,1,,,,,,,,,,,,,,,,,,,,
,Ste-Anne de Bellevue,,,,1,,,,,,,,,,,,,,,,,,,,
,Ville St-Pierre,,,,1,,,,,,,,,,,,1,,,,,1,,,
,Ville LaSalle,,,,,,,,,,,,,,,,,,,,,,,,
,Pointe-Claire,,,,,,,,,,,,,,,,,,,1 1,,,,1,
Joliette,Joliette,,,,,,,,,,,,,,6,,-,,,,,2,,,
Kamouraska,St-Pacôme,,,,,,,,,,,,,,,,,,,,,,,1,
Lac St-Jean,Roberval,,,,,,,,,,,,,,,,1,,,,,2,,,
,St-Joseph Alma,,,,,,,,,,,,,,,,,,,,,,,,
Labelle,Nominingue,,,,1,,,,,,,,,,,,,,,,,,,,
L'Assomption,L'Epiphanie,,,,,,,,,3,,,,,,,,,,,,,,,
Laval,St-Jean de Dieu,,,,,,,2,,,,,,,,,,,,,,,,,
,Pointe aux Trembles,,,,1,,,,,,,,,,,,,,,,,,,,
,Laval des Rapides,,,,,,,,,,,,,,,,,,,4,,,,,
Lévis,Lévis,,,,2,,,,,,,,,,,,,2,,,,,,,
,St-Henri de Lauzon,,,,2,,,,,,,,,,,,,,,,,,,,
L'Islet,St-Jean Port Joli,,,,,,,,,,,,,,,,,1,,,,1,,,
,St-Pamphile,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
