Table: Table_1
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
J.-Cartier,Verdun,,5,18,1,64,3,2,,,,
,Lachine,,,14,2,24,1,,,1,,
,St-Laurent,,4,1,2,,,,,,,
,Ville St-Pierre,,4,,,2,,,,,,
,Ste-Anne de Bellevue,,,,1,2,,,,,,
,Pointe-Claire,,,3,,3,,,,,,
,Dorval,,,1,,,,,,,,
Kamouraska,St-Alexandre,,1,,,,,,,,,
Lac St-Jean,St-Félicien,,1,,,,,,,,,
,Mistassini,,,,,1,,,,,,
L'Assomption,L'Assomption,,,1,,,,,,,,
Laval,Montreal Est,,1,2,,,,,,,,
,Montreal Nord,,1,,,,,,,,,
,l'Abord à Plouffe,,9,,,,,,,,,
,St-Martin,,1,,,,,,,,,
,St-Frs. de Sales,,,,2,,,,,,,
,Laval des Rapides,,,1,,,,,,,,
,St-Jean de Dieu,,,1,,,,,,6,,
Lévis,Charny,,,1,3,,,,,,,
Lotbinière,St-Edouard,,6,,,,,,,,,
Mégantic,Plessisville,,,1,,,,,,,,
Missisquoi,Dunham Tsp.,,,,1,,,,,,,
Nicolet,St-Raphael d' Aston,,3,,,,,,,,,
,Nicolet,,1,,,,,,,,,
,St-Léonard,,,,2,,,,,,,
Papineau,Pte Gatineau,2,,,,,,,,,,
Papineau,Buckingham,1,,2,2,,,,,,,
,Masson,,,,1,,,,,,,
Portneuf,Pont-Rouge,,6,,,,,,,,,
,St-Alban,,2,,,,,,,,,
,Portneuf,,,,1,,,,,,,
,Neuville,,,1,,,,,,,,
Québec,Beauport,,,3,,,,,,,,
Richmond,Bromptonville,,1,,,10,,,,,,
,Asbestos,,,1,,,,,,,,
,Danville,,,1,,,,,,,,
Rimouski,St-Simon,,,,,,,,,1,,
Shefford,Granby,,2,,,2,,,,,,
,Waterloo,,,,1,,,,,,,
Sherbrooke,Sherbrooke,,3,22,1,,,,,,,
Soulanges,St-Télesphore,,2,,,,,,,,,
,Coteau Landing,,1,,,1,,,,,,
,Riviâre Beaudette,1,,,,,,,,,,
,,,,,,,,,,,,
Table: Table_2
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
,Montréal,6,239,203,12,267,156,12,,123,,12
,Québec,17,25,56,3,,25,5,,11,,
,Trois-Rivières,,4,1,,,,12,,,,
Abitibi,Macamic,,1,,,,2,,,,,
,Figuery & Dalquier Amos,,,1,,,5,,,,,
Arthabaska,Tingwick St-Valère,,1 1,,,,,,,,,
,Victoriaville,,,1,12,2,,,,,,
,Princeville,,,,1,,,,,3,,
Beauce,St-François,,,,,,1,,,,,
,Beauceville,,,,,,2,,,,,
,Ste-Marie,,1,3,,,1,,,,,
,St-Benoit,,1,,,,,,,,,
,St-Georges Est,,1,,,,,,,,,
,Aubert Gallion,,,2,,,,,,,,
Beauharnois,Nouveau Salaberry,,1,,,,,,,,,
Bellechasse,St-Raphael,,,,1,,,,,,,
,St-Magloire,,,,1,,,,,,,
Berthier,St-Cuthbert,,,,,,,,,1,,
Bonaventure,Port-Daniel West New-Carlisle St-Jean l'Evangéliste,,,,,1,1,,,2,,
Brome,Sutton,,,1,,,,,,,,
Chambly,Longueuil St-Lambert Chambly Bassin,,2,5 1,,1,,,,,,30
Champlain,La Tuque,,2,,,,10,,,,1,
Chatcauguay,Ste-Martine Chateauguay ville-town.,1,,2,,,1,,,,,
,Très St-Sacrement Ormstown,,,,1 1,,,,,,,
Chicoutimi,Jonquières Rivière du Moulin,,1,,,1 1,,1,1,,,
Compton,Cookshire,,,,1,,,,,,,
Dorchester,St-Maxime de Scott,,,1,,,,,,,,
,St-Anselme,,,4,,2,,,,,,
Drummond,St-Eugène de Drummond,,,1,,,,,,,,
Frontenac,St-Evariste,,,1,,,,,,,,
Hull,Maniwaki,,1,,,,,,,,,
,Aylmer,,,1,1,,,,,,,
,Hull,,,4,,,,,,,,
,Low,,,,,,,,,,,1
Huntingdon,Godamnchester,,,,1,,,,,,,
