Table: Table_1
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
J.-Cartier,Lachine,1,1,19,4 5,40 34,1 2,8,,4 2,,
,Verdun,,11,25,,,19,31,,7,,
,N.-D. de Liesse,,,2,,,1,,,,,
,Dorval,,,,,14,1,,,,,
,Pointe-Claire,,,,,7,,,,,,
,Ville St-Pierre,,4,,,,,,,,,
,St-Laurent ville-town,,7,,,,,,,,,
,Ste-Anne de Bellevue,,1,,,9,,,,,,
,Côte St-Luc,,,1,,1,,,,,,
,Beaconsfield,,,,,,,,,,,
Joliette,St-Félix de Valois,,2,,,,,,,,,
,Joliette,,,,1,,,,,,,
Kamouraska,N.-D. du Mont-Carmel,,1,,,,,,,,,
Lac St-Jean,St-Joseph Alma,,,2,,,,,,,,
,Roberval,,,1,,,,,,,,
Laprairie,Laprairie village,,,1,1,,,,,,,
L' Assomption,L'Assomption,,,,,,,,,,,
Laval,Pointe-aux-Trembles,,,1,,,,,,,,
,St-Vincent de Paul,,,,,1,,,,,,
,Montréal Est,,,,1,,,,,,,
,Ste-Rose p. o,,,,1,,,,,,,
Lotbinière,St-Edouard,,,2,,2,,,,,,
,Deschaillons,,,,,6,,,,,,
Matane,Ste-Angèle,,,,1,,,,,,,
Mégantic,St-Pierre Baptiste,,,1,,1,,,,,,
,Ireland,,,,,,,,,,,
,Plessisville,,,,1,,,,,,,
,Black Lake,,,,1 1,,,,,,,
Missisqoui,Dunham Tsp,,,1,1,,,,,,,
,Stanbridge,,,,,,,,,,,
,Cowansville,,,,1,,,,,,,
,Sweetsburg,,,,3 1,,,,,,,
Montcalm,St-Jacques,,,,,1,,,,,,
,St-Alexis village,,,,,,,,,,,
Montmagny,Cap St-Ignace St-Pierre,,2,,7,4,,,,,1,
Nicolet,Nicolet,,,,,2,,,,,,
,St-Pierre les Becquets Bécancourt par,,,,2,65,,,1,,,
,Buckingham,,,,,,,,,,,
Papineau,West Templeton Papineauville,,1 1,1,,,,,,,,
Table: Table_2
[Comtés] Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
Pontiac,Dorion!& Church,2,,,,,,,,,,
Portneuf,Pont-Rouge,,1,,,,,,,,,
Québec,St-Colomb de Sillery,,,1,,,,,,,,
Richmond,Brompton,,1,,,1,,,,,,
,Melbourne,,,,1,,,,,,,
,Bromptonville,,,,,4,,,,,,
Richmond,Danville Asbestos,,,2,,2,,,,,,
Rimouski,Bic,1,,,,,,,,,,
Shefford,Waterloo Granby,,,2,,4,,,,,,
Sherbrooke,Sherbrooke St-Elie d'Orford,,6,21 0,1,,,,,,,
Soulanges.,St-Joseph de Soulanges,1,,,,,,,,,,
Stantead,Rock Island Dixville,,,1 5,,1,,,,,,
St-Hyacinthe.',St-Hyacinthe,,,2,2,,,,,,,
St-Jean,St-Jean cité-city Lacolle village,,2,1,,,,,,,,
St-Maurice,Shawinigan Falls,,3,,3,,4,,,,,
Témiscouata,Trois-Pistoles Ste-Rose du Dégelé Rivière du Loup,2,,3,,6,,,,,,
Terrebonne,Terrebonne par,,1,,,,,,,,,
Vaudreuil,Rigaud,,,,,1,,,,,,
Verchères.,Beloeil,,,1,,,,,,,,
Westmount,Outremont,,1,16,,33,2,8,,3,,
,Montreal West,,,2,,90,,,,,,
,Westmount,,4,9,1,8,,,,,,
Wolfe,St-Camille,1,,,,,1,,,,,
,Wotton,1,,,,,,,,,,1
,St-Gérard,,1,,,,,,,,,
,St-Adrien de Ham,1,,,,,,,,,,
,St-Fortunat,,,,9,,,,,,,
Yamaska,St-François du Lac,,,,1,,,,,,,
,Total pour janvier- Total for January,50,316,471,141,545,165,95,4,216,,7
