Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Sherbrooke,Sherbrooke Lennoxville,,,,4,,,,,,,,,,,,7,,,,,1,2,
Stanstead,Hatley North,,,,,,,,,,,,,,,,5,,,,,,,
,Hatley, township,,,,,,,,,,,,,,,,3,,,,,,,
Témiscouata,Rivière du Loup,,,,4,,,,,,,,,,,,5,,,,,,,
,St-Paul de la Croix,,,,1,,,,,,,,,,,,,,,,,,5,
,Rivière Bleue,,,,,,,,,,,,,,,,,,,,,,14,
,St-Epiphane,,,,21,,,,,,,,,,,,,,,,,,,
,St-David d'Estcourt,,,,,,,,,,,,,,,,,,,,,5,,
,Trois Pistoles, paroisse,,,,,,,,,,,,,,,,,,,,,2,,
,Ile Verte,,,,,,,,,,,,,,,,6,,,,,,,
,St-Arsène,,,,,,,,,,,,,,,,2,,,,,,,
Terrebonne,Terrebonne, ville,,,,1,,,,,,,,,,,,,,,,,,,
,Terrebonne, paroisse,,,,9,,,,,,,,,,,,,,,,,,,
,St-Jovite,,,,1,,,,,,,,,,,,,,,,,,,
,St-Jérôme, ville,,,6,1,,,,,,,,,,,,4,,,,,1,,
,St-Janvier,,,,,,,,,,,,,,,,2,,,,,,,
Verchères,St-Antoine de Richelieu,,,,2,,,,,,,,,,,,,,,,,,,
,McMasterville,,,,,,,,,,,,,,,,1,,,,,,,
Westmount,Town Mount Royal Westmount,,,4,1,,,,,,,,,,1,,4,,,1,,,1,
,Outremont,,,5,3,,,,,,,,,,,2,7,,,1,,1,2,
,Montreal West,,,,,,,,,,,,,,,,1,,,,,,,
,Hampstead,,,,,,,,,,,,,,1,,,,,,,,,
Wolfe,Wottonville,,,,,,,,,,,,,,,,1,,,,,,,
,Totaux-Totals,,,169,231,,26,52,,1,2,167,1,,281,7,440,2,,196,,60,523,1
Table: Table_2
,Montréal,,,113,81,,24,4,,1,,48,,,112,11,217,1,,167,,2,349,
,Québec,,,1,16,,,,,,2,3,,,1,,8,,,8,,,12,
,Trois-Rivières,,,19,3,,,,,1,,,,,11,,2,,,,,,10,
Abitibi,Figuery & Dalquier,,,,1,,,,,,,,,,,,3,,,,,,,
,Rouyn,,,,,,,,,,,,,,,,,,,,,1,,
Argenteuil,Wentworth,,,,3,,,,,,,,,,,,,,,,,,,
,Canton Montcalm,,,,,,,,,,,,,,1,,,,,,,,,
Arthabaska,Warwick, village,,,,S,,,,,,,,,,,,,,,,,1,,
,Daveluvville,,,,,,,,,,,,,,3,,,,,,,,,
,Princeville,,,,,,,,,,,,,,1,,,,,,,,,
,Ste-Elisabeth de Warwick Chenier,,,,,,,,,,,,,,,,3,,,1,,,,
Beauce,St-Come de Kennebec,,,,,,,,,,,,,,,,,,,1,,,,
,Ste-Marie,,,2,1,,,,,1,,,,,,,1,,,1,,2,,
,St-Joseph,,,,,,,,,,,,,,,,2,,,,,,,
,Beauceville,,,,,,,,,,,,,,,,1,,,,,,,
,Sacré-Cour de Jésus,,,,,,,,,,,,,,,,,,,,,2,,
Beauharnois,Lac St-Louis, village,,,,,,,,,,,,,,,,1,,,,,,,
Bellechasse,St-Michel,,,,,,,,,,,,,,,,,,,,,1,,
Bonaventure,St-Jean l'Evangéliste,,,,,,,,,,,,,,1,3,,,,,,,,
Brome,Potton,,,,,,,,,,,,,,,,1,,,,,,3,
Chambly,St-Lambert,,,,,,,,,,,,,,,,7,,,,,,5,
,Longueuil,,,,,,,,,,,,,,,,1,,,,,1,,
,Chambly, paroisse,,,,,,,,,,,,,,,,,,,,,1,,
Champlain,St-Tite,,,,1,,,,,,,,,,,,,,,,,,,
,Cap de la Madeleine,,,,2,,,,,,,,,,,,,,,,,,,
,Notre-Dame de la Présen- tation d'Almaville,,,,,,,,,,,,,,,,1,,,,,,,
Chateauguay,Chateauguay,,,,,,,,,,,,,,,,,,,,,,1,
,Ste-Clothilde,,,,2,,,,,,,,,,,,,,,,,,,
,Ormstown,,,,,,,,,,,,,,,,,,,,,1,,
,Ste-Philomène,,,,,,,,,,,,,,,,1,,,,,,,
Chicoutimi,Jonquière,,,,,,,,,,,,,,,,,,,,,,1,
,Bagotville,,,,,,,,,,,1,,,,,,,,,,,,
Compton,Compton Town,,,,,,,,,,,,,,,,,,,,,,1,
D.-Montagnes.,St-Hermas,,,,1,,,,,,,,,,,,,,,,,,,
Drummond,St-Joseph de Grantham Drummondville,,,,,,,,,,,,,,,,,,,,,1 1,,
Frontenac,Ditchfield & Spaulding,,,,,,,,,,,,,,,,,,,,,1,,
Hull,Aylmer,,,,1,,,,,,,,,,,,1,,,,,,,
,Messines,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
