Table: Table_1
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
Beauce,Aubert Gallion,,,,,,2,,,1,,
,St-François,,,,1,,,,,,,
,L'Enfant-Jésus,,,3,,,,,,,,
,St-Georges.,,,1,,,,,,,,
,Beauce Jonction,,,1,,,,,,,,
Bellechasse,St-Raphael,,,5,,3,,,,,,
Berthier,Lanoraie,,,,2,,,,,,,
Bonaventure,Paspébiac,,,,1,,,,,,,
,Paspébiac West,,,,2,,,,,,,
,St-Jean l'Evangéliste,,,,,,,,,4,,
Chambly,Longueuil,,,,1,,,,,,,
,St-Lambert,,,1,,,,2,,,,
Champlain,St-Tite,,,,2,,,,,,,
,St-Adelphe,,,,1,,,,,,,
Chateauguay,Ormstown,,1,,,,,,,,,
,St-Antoine Abbé,,,1,,,,,,,,
,Très St-Sacrement,,,2,,,,,,,,
,Howick,,,1,,,,,,,,
,Chateauguay ville-town.,,1,,,,,,,,,
Chicoutimi,Jonquières,,2,1,1,,,,,3,,
,Rivière du Moulin,,,,1,,,,,,,
,Kénogami,,,,4,,,,,1,,
,Chicoutimi,,,,3,,,,,,,
Compton,Eaton,,,3,,,,,,,,
,Bury,,,1,,,,,,,,
,Cookshire,,,,,,,,,1,,
Hull,Pte Gatineau,19,,,,,,,,,,
,Maniwaki,,1,,,,,,,,,
,Wakefield,,,1,,,,,,,,
Huntingdon,Huntingdon,,,2,,,,,,,,
,Godmanchester,,,3,,,,,,,,
J.-Cartier,Verdun.,,17,15,,125,13,6,,3,,1
,Lachine,,7,6,3,1,,,,,,
,Ste-Anne de Bellevue,,,,1,,,,,,,
,Pointe-Claire,,,1,,,,,,,,
Joliette,Joliette,,4,,,,,,,,,
Kamouraska,St-Philippe de Néri,,,3,,,,,,,,
,St-Paschal,,,5,,,,,,,,
,St-Germain Ste-Anne,,,1 2,,,,,,,,
Lac'St-Jean,Roberval,,,,1,,,,,,,
,St-Joseph l'Alma,,,,1,,,,,,,
,Dolbeau,,,,1,,,,,,,
,,,,,,,,,,,,
Table: Table_2
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
Missisquoi,Dunham,,1,,1,,,,,,,
,Farnham ville-town N.-D. de Stanbridge,,,1,1,,,,,,,
Montcalm,St-Jacques,,,,,,2,,,,,
Nicolet,St-Célestin Nicolet,,,2,3 1,,,,,,,
Papineau,Papineauville,,1,,,,,,,,,
Portneuf,Pont-Rouge,,,,1,,,,,,,
Québec,Ste-Foy,,1,,,,,,,,,
Richmond,Brompton Richmond,,1,,1,,,,,,,
Shefford,Ely Sud,,2,,,,,,,,,
,Granby,,,2,,,,,,,,
Sherbrooke,Sherbrooke,,2,4,1,,,,,,,
,Lennoxville,,,1,,,,,,,,
Témiscouata,Ste-Rose du Dégélé,,1,,1,,,,,2,,
,Rivière du Loup,,,,,,,,,,,
Vaudreuil,Husdon,,1,,,,,,,,,
,Vaudreuil,,,,1,,,,,,,
Verchères,McMasterville,,,,1,,,,,,,
Westmount,Outremont,,2,1,1,,5,,,,,
,Westmount,,,,1,,,,,,,
,Total pour septembre- Total for September,,196,170,100,37,28,67,,158,2,3
Table: Table_3
,Montréal,,235,152,38,72,30,27,3,163,1,5
,Québec,,18,54,1,2,1,,,4,,
,Trois-Rivières,1,9,,,1,,,,,,
Abitibi,Authier,,1,,,,,,,,,
,Rouyn,,,,1,,,,,,,
,Fugèreville,,,3,,,,,,,,
Arthabaska,St-Valère de Bulstrode,,2,,,,,,,,,
,Victoriaville,,,,1,,,,,,,
,St-Norbert,,,,1,,,,,,,
