Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox,SERVICE PROVINCIAL
,Ville LaSalle Notre-Dame de Liesse,,,15,,,,,,,,,,,,,1,,,,,,,,
Joliette,Joliette,,,,,,,,,,,,,,,,2,,,,,,,,
,St-Côme,,,,1,,,,,,,,,,,,,,,,,,,,
Kamouraska,St-Pacôme,,,,,,,,,,,,,,,,,,,,,2,,,
,St-Eleuthère,,,32,,,,,,,,,,,,,,,,,,,,,D'HYGIÈNE-PROVINCIAL
Labelle,Ferme Neuve,,,,,,,,,,,,,,,,1,,,,,,,,
Lac St-Jean,St-Joseph d'Alma,,,,2,,,,,,,,,,,,,,,,,,,,
,St-Thomas Didyme Dolbeau,,,,,,,,,,,,,,,,2,,,,,1,,,
,Roberval,,,,,,,,,,,,,,7,,,,,,,,,,
Laprairie Laval,Caughnawaga Ste-Rose, ville,,,,,,,,,,,,,,,,,,,,,2 1,,,
Lévis,Ste-Hélène de Breakeyville,,,,,,,,,,,,,,,,,,,,,,1,,
,Charny Lévis,,,,,,,,,,,,,,,,1 1,,,,,,,,BUREAU
,St-Joseph,,,,,,,,,,,,,,1,,,,,,,,,,
,St-Louis de Pintendre,,,,,,,,,,,,,,14,,,,,,,,,,OF
L'Islet,St-Cyrille,,,,1,,,,,,,,,,2,,,,,,,,,,
,St-Aubert Bonsecours,,,2,,,,,,,,,,,,,3,,,,,2,,,
,St-Jean Port Joli,,,,,,,,,,,,,,8,,,,,,,,,,HEALTH
,Ste-Perpétue,,,20,,,,,,,,,,,,,,,,,,,,,
Lotbinière,St-Edouard,,,,1,,,,,,,,,,,,,,,,,,,,
,Deschaillons,,,,,,,,,,,,,,,,,,,,,2,,,
Matane,Mont Joli,,,,,,,,,,,,,,,,,,,,,1,,,
,Priceville,,,,,,,,,,,,,,40,,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,St-Léandre,,,,,,,,,,,,,,,,I,,,,,,,,
Matapédia,St-Benoît Joseph Labre Lac au Saumon,,,,5,,,,,,,,,,,,3,,,,,,,,
,Causapscal,,,,,,,,,,,,,,,,6,,,,,I,,,
Mégantie,Thetford Mines Lyster Station,,,,,,,,,,,,,,,,,,,1,,1,,,
Missisquoi,Bedford,,,,,,,,,,,,1,,,,,,,,,,,,
Montealm,St-Alphonse de Liguori St-Jacques,,,,I 1,,,,,,,,,,,,,,,,,1,,,
Montmagny,Montmagny,,,,2,,,,,,,,,,,,,,,,,,,,
Nicolet,Ste-Gertrude Ste-Marie de Blandford,,,,,,,,,,,I,,,,,,,,,,1,,,
Papineau,Papineauville,,,,2,,,,,,,,,,,,,,,,,,,,
,Buckingham Masson,,,,1 I,,,,,,,,,,,,,,,,,,,,
,Pointe Gatineau,,,,,,,,,,,,,,,,,,,I,,,,,
Portneuf,St-Augustin,,,,I,,,,,,,,,,,,,,,,,,,,
,Donnacona,,,,1,,,,,,,,,,,,,,,,,,,,
Richmond,Melbourne Shipton,,,,,,,,,,,,,,,,,,,,,,,,RAPPORT-REPORT,
,Bromptonville,,,,,,,,,,,,I,,,,4,,,,,,,,
Rimouski,Rimouski, ville St-Gabriel,,,,,,,,,,,,,,,,,,,,,1 10,,,
Rouville,Abbotsford,,,,,,,,,,,,,,,,,,,1,,,,,
St-Hyacinthe,St-Hyacinthe St-Thomas d'Aquin St-Denis, village,,,,,,,,,,,,,,1,,,,,1 I,,3,,,1930-31
St-Maurice,Shawinigan Falls,,,,8,,,,,,,,,,1,,,,,,,,,,
Shefford,Granby,,,,,,,,,,,,,,,,,,,1,,,,,
Sherbrooke,Sherbrooke,,,,5,,,,,,,,2,,1,,7,,,,,,,,
,Ascot Corner,,,,,,,,,,,,,,,,1,,,,,,,,
Témiscouata,Rivière Bleue Rivière du Loup Cacouna,,,,4,,,,,1,,,,,,,,,,1,,4 2,1,,
,Ste-Françoise,,,,,,,,,,,,,,5,,,,,,,,,,
,Bégon,,,,,,,,,,,,,,,,,,,1,,,,,
,St-Hubert,,,,,,,,,,,,,,,,,,,1,,,,,
,St-Antonin,,,,,,,,,,,,,,,,,,,2,,,,,
,St-Benoît Abbé,,,,,,,,,,,,,,,,,,,,,3,,,
,St-Paul de la Croix,,,,,,,,,,,,,,,,,,,1,,,,,
,Ile Verte,,,,,,,,,,,,,,,,,,,3,,,,,
,St-Eloi,,,,,,,,,,,,,,,,,,,1,,,,,
,Trois-Pistoles,,,4,,,,,,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,,,,,,,,,,
