Table: Table_1
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
Stanstead,Barnston,,,1,,,2,,,,,
,Hatley,,,,,,1,,,,,
,Coaticook,,,,1,1,,,,,,
,Ayers Cliff,,,3,,,,,,,,
,Dixville,,,1,,,,,,,,
St-Hyacinthe.,St-Hyacinthe,,,,1,,3,1,,,,
St-Jean,St-Jean par,,1,,,,,,,,,
,Lacolle village,,1,,,,,,,,,
St-Maurice,Shawinigan Falls,,1,,1,,2,,,,,
Témiscouata,Trois-Pistoles village,3,,,,,,,,,,
,Trois-Pistoles par,1,,,,,,,,,,
,St-Paul de la Croix,3,,,,,,,,,,
,St-Epiphane,2,,,,,,,,,,
,St-Hubert,1,,,,,,,,,,
,Rivière du Loup,,8,5,,9,,,,4,,
,Bégon,,,1,1,,,,,,,
Terrebonne,Terrebonne,,,,1,,,,,,,
Vaudreuil,Rigaud,,1,,,,,,,,,
,Ste-Marthe,,,4,,,,,,,,
Westmount,Westmount,,2,9,,2,,,,,,
,Outremont,,1,6,,8,33,13,,,,
,Montréal Ouest,,,1,,13,,,,,,
Wolfe,St-Gérard,,3,,,,,,,,,
,Total pour décembre- Total for December,39,364,386,60,413,250,46,,153,1,42
Table: Table_2
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
Beauce,St-Martin,1,2,,,,,,,,,
,St-Georges Est,,,,,,1,,,,,
,St-Victor,,1,,,,,,,,,
,Aubert Gallion,,2,,,,,,,,,
,Ste-Marie,,,15,,,,,,,,
,St-Fréderic,,,,,3,,,,,,
Beauharnois,Valleyfield,,1,,,,,,,,,
,Ste-Cécile par,,1,,,,,,,,,
,Beauharnois,,1,,,,,,,,,
Bellechasse,St-Michel,,3,,1,,,,,,,
Berthier,St-Cuthbert,,3,,,,,,,,,
,Lanoraie,,,1,1,,,,,,,
Bonaventure,Paspébiac,,,,1,,,,,,,
,Gascons,,,,2,1,,,,,,
Brome,Foster,,,,1,,,,,,,
,Sutton,,,1,,,,,,,,
,Potton,,,,,1,,,,,,
Chambly,Longueuil St-Lambert,,2,3,,,,,,,,
Chateauguay,Chateauguay village,,1,1,,,1,,,,,
,Très St-Sacrement,,,3,,,,,,,,
,Ste-Clotilde,,,,,10,,,,,,
Chicoutimi,Jonquières,,4,,,,,,,,,
,Chicoutimi,,2,,,,,,,,,
Compton,Sawyerville,,,,,,1,,,,,
,Newport,,,,,,1,,,,,
,Bury,,,1,,,,,,,,
Dorchester,Ste-Justine,,1,,,,,,,,,
Drummond,Durham Tsp,,,1,,,,,,,,
Frontenac,Gayhurst,,1,,,,,,,,,
Hull,Aylmer,1,,,,,,,,,,
,Low,1,,,,,,,,,,
,Wright,1,,,,,,,,,,
,Masham Nord,1,,,,,,,,,,
Huntingdon,Huntingdon,,2,,1,,,,,,,
,Franklin,,,3,,,,,,,,
Iberville,Ste-Anne de Sabrevois,,1,,,,,,,,,
,Ste-Brigide,,,,1,,,,,,,
,,,,,,,,,,,,
Table: Table_3
,Montréal,14,195,227,14,270,120,40,4,191,,6
,Québec,15,26,61,3,2,9,1,,8,,
,Trois-Rivières,2,5,6,2,1,,6,,,,
Argenteuil,Salaberry & Grandison,,,,1,,,,,,,
Arthabaska,Ste-Anne du Sault,,2,,,,,,,,,
,St-Rasaire,,3,,,,,,,,,
,Victoriaville,,,1,3,2,,,,,,
,Stanfold,,,,1,,,,,,,
Bagot,St-Simon,,,,,,1,,,,,
