Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophtbalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Berthier,St-Cuthbert,,,,3,,,,,,,,,,,,,,,,,,,
Brôme,Farnham Est,,,,,,,,,,,,,,,,,,,,,1,,
Chambly,St- Basile le Grand St-Lambert,,,,,,,,,,,,,,6,,2,,,,,,,
Champlain,Almaville,,,,1,,,,,,,,,,,,,,,,,,,
,Cap de la Madeleine,,,,,,,,,,,,,,,,,,,,,4,,
,St-Adolphe,,,,,,,,,,,,,,,,,,,,,2,,
,La Tuque,,,,,,,,,,,,,,,,,,,5,,,,
Charlevoix,Les Eboulements,,,,,,,,,,,,,,,,,,,,,,,1
,Baie St-Paul,,,,,,,,,,,,,,,,,,,,,1,,
,La Malbaie,,,,,,,,,,,,,,,,,,,,,6,,
Chicoutimi,Jonquière,,,,1,,,,,,,,,,,,,,,2,,1,,
,Chicoutimi,,,,1,,,,,,,,,,,,,,,,,,,
Compton,Bury Township,,,,,,,,,,,,,,,,1,,,,,,1,
,East Angus,,,1,4,,,,,,,,,,,,1,,,,,,2,
,Scottstown,,,,,,,,,,,,,,,,1,,,,,,,
Dorchester,Ste-Justine,,,,,,,,,,,,,,,,,,,,,,,1
Frontenac,Mégantic,,,,,,,,,,,,,,,,1,,,,,,,
Gaspé,Chandler,,,,,,,,,,,,,,,,,,,,,1,,
Hantingdon,St-Anicet,,,,1,,,,,,,,,,,,,,,,,,,
,Hemmingford,,,,3,,,,,,,,,,,,,,,,,,,
,Franklin,,,,,,,,,,,,,,,,1,,,,,,,
,Godmanchester,,,,,,,,,,,,,,,,1,,,,,,,
Jacques-Cartier,Notre-Dame de Liesse,,,3,,,,16,,1,,,,,,,,,,,,,,
,Lachine,,,,2,,,,,,,,,,,,,,,1,,3,3,
,Verdun,,,,5,,,,,,,,,,1,,5,,,8,,1,,
,Ville St-Pierre,,,7,2,,,,,,,,,,,,2,,,1,,,,
,Pointe-Claire,,,,,,,,,,,5,,,2,,,,,,,,,
Table: Table_2
Lac St-Jean,St-Joseph d'Alma,,,,1,,,,,,,,,,,,,,,,,,,,
,Normandin,,,,,,,,,,,,,,,,,,,,,1,,,
Laprairie,Caughnawaga,,,,,,,,,,,,,,,,,,,,,,,2,
Laval,Montréal Nord,,,,1,,,,,,,,,,,,1,,,,,,,,
,St-Martin,,,,1,,,,,,,,,,,,,,,,,1,,,
,Ste-Rose, ville,,,,,,,,,,,,,,,,,,,,,1,,,
,Ste-Rose Est,,,,,,,,,,,,,,,,,,,1,,,,,
,Pont Viau,,,,,,,,,,,,,,,,,,,,,1,,,
,St-Jean de Dieu,,,,,,,,,,,,,,,,,,,2,,,,,
,St-Michel,,,,,,,,,,,,,,,,,,,1,,,,,
Lévis,Lévis,,,,,,,,,,,,,,,,5,,,,,,,,
Matane,Mont Joli,,,,,,,,,,,,,,,,3,,,,,,,,
Matapédia,St-Benoit Joseph Labre,,,,,,,,,,,,,,,,,,,,,,,3,
Mégantic,Thetford Mines,,,,1,,,,,,,,,,,,,,,,,2,,,
,Halifax Nord,,,,,,,,,,,,,,,,,,,,,1,,,
,Plessisville,,,,,,,,,,,,,,,,-,,,,,3,,,
Missisquoi,Cowansville,,,,1,,,,,,,,,,,,,,,,,,,,
,Bedford,,,,,,,,,,,,,,,,2,,,,,1,,,
,St-Ignace de Stanbridge,,,,,,,,,,,,,,,,,,,,,6,,,
Montmorency,Montmoreney,,,,,,,,,,,,,,,,,,,,,,,7,
Nicolet,Nicolet,,,,,,,,,,,,,,,,,,,8,,2,,,
Papineau,Buckingham,,,,,,,,,,,,,,,,,,,,,1,,,
,Angers,,,,,,,,,,,,,,,,1,,,,,,,,
Pontiac,South Onslow,,,,1,,,,,,,,,,,,,,,,,,,,
Portneuf,Pont-Rouge,,,,1,,,,,,,,,,,,,,,,,,,,
,St-Raymond,,,,,,,,,,,,,,,,,,,,,,,5,
,Notre-Dame des Anges,,,,1,,,,,,,,,,,,,,,,,,,,
,Ste-Jeanne de Neuville,,,,,,,,,,,,,,,,,,,1,,,,,
Québec,Ste-Foye,,,,,,,,,,,,,,,,,,,,,,,1,
,Loretteville,,,,,,,,,,,,,,,,,,,,,,,,
,Sillery,,,,,,,,,,,,,,,,2,,,,,,,1,
Richmond,Windsor,,,,1,,,,,,,,,,,,1,,,,,,,,
,Richmond,,,,,,,,,,,,,,,,2,,,,,,,,
Shefford,Granby,,,,1,,,,,,,,,,,,2,,,,,,,,
Sherbrooke,Sherbrooke,,,,4,,,,,,,,3,,,,16,,,,,,,,
Stanstead,Rock Island,,,,1,,,,,,,,,,,,,,,,,1,,,
St-Maurice,Shawinigan Falls,,,,2,,,,,,,,,,,,,,,,,,,,
Témiscouata,Isle Verte,,,,,,,,,,,,,,,,,,,2,,,,,
,St-Hubert,,,,,,,,,,,,,,,,,,,,,,,,
,Ste-Rose du Dégelé,,,,,,,,,,,,,,,,,,,2 2,,,,,
