Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur. ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet Fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Richmond,Windsor,,,,,,,,,,,,,,,,1,,,,,,,
Rimouski,Rimouski Ville,,,,,,,,,,,,,,,,,,,,,,,
Rouville,Ste-Angèle,,,,,,,,,,,,,,,,,,,,,1,,
Roberval,Normandin,,,,2,,,,,,,,,,,,,,,,,,,
,Girardville,,,,2,,,,,,,,,,,,,,,,,,,
,St-Eugène,,,,,,,,,,,,,,,,1,,,,,,,
,Roberval Ville,,,,,,,,,,,,,,,,3,,,,,,,
,Dolbeau,,,,,,,,,,,,,,,,1,,,,,,,
,St-Félicien,,,,,,,,,,,,,,,,1,,,,,,,
St-Hyacinthe,St-Hyacinthe,,,,,,,,,,,,,,,,,,,2,,,,
,Ste-Madeleine,,,,,,,,,,,,,,,,,,,,,2,,
St-Jean,St-Jean Cité,,,,,,,,,,,,1,,,,,,,,,2,,
,Lacolle,,,,,,,,,,,,1,,,,,,,,,,,
St-Maurice,Shawinigan Falls,,,,2,,,,,,,,,,,,6,,,,,1,1,
Shefford,Lawrenceville,,,,,,,,,,,,1,,,,,,,,,,,
Sherbrooke,Sherbrooke,,,,5,,,,,,,,,,,,,,,,,,,
Stanstead,St-Herménégilde,,,,,,,,,,,,1,,,,,,,,,,,
,Magog,,,,,,,,,,,,5,,,,,,,,,,,
Témiscamingue,Témiskaming,,,,,,,,,,,,,,,,,,,,,2,,
Témiscouata,Trois-Pistoles,,,,,,,,,,,,,,,,,,,,,1,,
,Isle Verte,,,,,,,,,,,,,,,,,,,,,4,,
Terrebonne,Ste-Thérèse Paroisse,,,,1,,,,,,,,,,,,,,,,,,,
,Ste-Sophie,,,,,,,,,,,,,,,,,,,,,1,,
,St-Jérôme,,,,,,,,,,,,,,1,,,,,,,,,
,Ste-Agathe,,,,,,1,,,,,,,,,,,,,1,,,,
Vaudreul,Hudson Village,,,,,,,,,,,,,,I,,,,,,,,,
Verchères,Varennes Village,,,,,,,,,,,,I,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Verchères,Varennes Paroisse,,,,,,,,,,,,,,,,,,,,,,,
