Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Abitibi,Bousquet,,,,,,,,,,,,,,,,,,,,,,,1
,Amos,,,,,,,,,,,,,,,,,,,,,,,1
,Landrienne,,,,6,,,,,,,,,,,,,,,,,,,
,Rouyn,,,,,,,,,,,,,,16,,1,,,,,2,,
,Noranda,,,,,,,,,,,,,,3,,,,,,,,,
,Belcourt,,,,,,,,,,,,,,,,,,,,,,,2
,Poularis,,,,,,,,,,,,,,,,,,,,,1,,
Argenteuil,Grenville & Augmentation,,,,,,,,,,,,,,,,,,,1,,,,
Arthabaska,Princeville, village,,,,,,,,,,,,,,,,,,,,,1,,
Beauce,Aubert Gallion,,,,,,,,,,,,,,,,,,,,,1,,1
,St-Joseph,,,,,,,,,,,,,,,,1,,,,,,,1
,St-Georges,,,,,,,,,,,,,,,,,,,,,,3,
,St-Benoit,,,,1,,,,,,,,,,,,,,,,,,,
,S. C. de Jésus,,,,,,,,,,,,,,,,,,,,,1,,
,Beauceville,,,,,,,,,,,,,,,,,,,,,1,,
,St-Martin,,,,,,,,,,,,,,,,1,,,,,,,
,St-Frédéric,,,,,,,,,,,2,,,,,,,,,,,,
,Tring Jonction,,,,,,,,,,,6,,,,,,,,,,,,
,Shenly,,,,1,,,,,,,,,,,,,,,,,,,
Berthier,Ste-Geneviève,,,,1,,,,,,,,,,,,,,,,,,,
,Lanoraie,,,,,,,,,,,,,,,,1,,,,,1,,
Bonaventure,Paspébiac,,,,1,,,,,,,,,,,,,,,,,,,
Chambly,St-Lambert,,,1,1,,,,,,,,,,,,,,,,,,5,
Champlain,Ste-Flore,,,,,,,,,,,,,,,,,,,,,,,4
,Almaville,,,,,,,,,,,,,,1,,,,,,,,,7
,Ste-Geneviève,,,,3,,,,,,,,,,,,,,,,,1,,1
,St-Stanislas,,,,,,,,,,,,,,,,,,,,,1,,
Table: Table_2
Charlevoix,Les Eboulements,,,,,,,,,,,,,,,,,,,,,,,3,
,Baie St-Paul,,,,,,,,,,,,,,,,,,,,,,,2,
Châteauguay,St-Jean Chrysostome Châteauguay,,,,1,,,,,,,,,,1,,,,,,,,,,
Chicoutimi,Chicoutimi, ville,,,,,,,,,,,,,,,,,,,,,,,5,
,Kénogami,,,,,,,,,,,,,,,,,,,,,,,2,
,Jonquière,,,,,,,,,,1,,,,,,2,,,1,,1,11,8,
Compton,Bury, township Newport,,,,,,,,,,,5,,,,,4,,,,,,26,,
Dorchester,St-Bernard,,,,1,,,,,,,,,,,,,,,,,1,,,
Gaspé,Gaspé Bay North,,,,,,,,,,,,,,,,,,,,,,1,23,
,Chandler,,,,,,,,,,,,,,,,,,,,,,,,
,L'Anse du Cap,,,,,,,,,,,,,,,,,,,,,,,6,
,Péninsula,,,4,,,,,,,,,,,,,,,,,,,,4,
Hull,Hull,,,,2,,,,,,,,,,,,,,,,,,,,
,Wakefield, vil,,,,1,,,,,,,,,,,,,,,,,,,,
,Aylmer,,,,,,,,,,,,,,,,1,,,,,,,,
,Maniwaki,,,,,,,,,,,,,,,,,,,,,,,,
Huntingdon,St-Anicet,,,,2,,,,,,,,,,,,1,,,,,,,,
,Havelock,,,,,,,,,,,,,,,,,,,,,,,,
Jaeques-Cartier,N. D. de Liesse,,,6,,,,35,,,,3,,,,,2,,,,,,,,
,Verdun,,,4,3,,,,,,,,,,8,,10,,,,,,,,
,Lachine,,,24,2,,,,,,,,,,,,,,,5,,,5,,
,Ville Lasalle,,,,1,,,,,,,,,,,,,,,1,,2,5,,
,St-Laurent,,,,2,,,,,,,,,,,,,,,,,,,,
,Pointe Claire,,,,,,,,,,,,,,,,1,,,3,,,,,
,Dorval,,,,,,,,,,,,,,,,1,,,,,,,,
Kamouraska,Rivière Ouelle,,,,4,,,,,,,,,,,,1,,,,,,,,
,St-Denis,,,,1,,,,,,,,,,,,,,,,,,,,
,St-Pacôme,,,,,,,,,,,,,,,,,,,,,,,,
,St-Alexandre,,,,,,,,,,,,,,,,,,,,,12,,,
Lac St-Jean,Hébertville,,,,2,,,,,,,,,,,,,,,,,4,,,
Lapra rie,Caughnawaga,,,,,,,8,,,,,,,,,,,,,,,,,
Laval,Pointe aux Tremb'es,,,,3,,,,,,,,1,,,,,,,,,,3,66,
,Ste-Rose P. 0,,,,,,,,,,,1,,,,,3,,,,,,1,,
,Montréal Est,,,,1,,,,,,,,,,,,,,,,,,,,
,St-François de Sales,,,,,,,,,,,,,,,,,,,,,,,,
,St-Jean de Dieu,,,,,,,,,,,,,,,,,,,,,1,,,
,Ville St-Michel,,,,,,,,,,,,,,,,,,,3,,1,,,
,Montréal-Nord,,,,,,,,,,,,,,,,,,,,,1,,,
,St-Vincent de Paul,,,,,,,,,,,,,,,,3,,,,,,,,
Lévis,Lévis,,,,,,,,,,,,,,,,,,,1,,,,,
L'Islet,L'Islet,,,,,,,,,,,,,,,,4,,,,,,,1,
,L'Islet, paroisse,,,,,,,,,,,,,,,,1,,,,,,,4,
