Table: Table_1
Comtés - Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur. ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German Measles (rubella),Scarlatine Svarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Beauce,St-Georges,,,,18,,,,,,,,,,1,,12,,,,,,4,
,St-François,,,,,,,,,,,,,,,,,,,,,1,,
,St-Martin,,,,,,,,,,,,,,,,,,,,,,,
,St-Ephrem,,,,1,,,,,,,,,,,,,,,,,1,,
Bellechasse,St-Gervais Roux, Bellechasse & Daa- quam,,,,4,,,,,,,,,,,,,,,,,4,,
,St-Charles,,,,,,,,,,,,,,,,,,,,,,,
Bonaventure,Carleton,,,,,,,,,,,,,,,,1,,,,,,,
,Ristigouche,,,,,,,,,1,,,,,,,,,,16,,,,
,St-Omer,,,,,,,,,,,,,,,,,,,,,1,,
Brome,Brome, township Potton,,,,,,,,,,,,,,,,,,,1,,1,,
Chambly,Longueuil, ville St-Lambert,,,,1,,,,,,,,,,9,,1 1,,,,,,,
,Chambly Canton,,,,,,,,,,,,,,,,,,,,,1,,
Champlain,Cap de la Madeleine,,,,1,,,,,,,,,,,,,,,,,,,
,Rapide Blane, ter. non org.,,,,,,,,,,,,,,,,1,,,,,,,
Chateauguay,Chateauguay,,,,3,,,,,,,,,,,,5,,,,,,,
,St-Chrysostome,,,,,,,,,,,,,,3,,,,,,,,,
,Ste-Martine,,,,,,,,,,,,,,1,,,,,,,,,
,Chateauguay Bassin,,,,,,,,,,,,,,,,1,,,,,,,
Chicoutimi,Chicoutimi,,,,,,,,,1,,,,,,,,,,,,,1,
,Arvida,,,,,,,,,,,,,,,,,,,,,,,
,Jonquière,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
Compton,Eaton,,,,,,,,,,,,,,1,,,,,,,,,,
Dorchester,St-Anselme, paroisse,,,,,,,,,,,,,,20,,,,,,,,,,
Frontenac,Ditchfield & Spaulding,,,,,,,,,,,,,,,,,,,,,1,,,
,St-Ludger,,,,,,,,,,,,,,,,6,,,,,,,,
,Ste-Cécile de Whitton,,,,2,,,,,,,,,,4,,9,,,,,,,,
Gatineau,Wakefield, village,,,,,,,,,,,,,,1,,,,,,,,,,
Hull,Hull-Ouest,,,,,,,,,,,,,,,,1,,,,,,,,
Huntingdon,Godmanchester,,,,,,,,,,,,,,1,,,,,,,,,,
Jacq.-Cartier,Verdun,,,1,6,,,,,,,,,,51,,12,,,2,,1,7,,
,Notre-Dame de Liesse,,,,,,,,,,,,,,,,,,,,,,2,,
,Lachine,,,,,,,,,,,,,,12,,5,,,1,,,,,
,Pointe Claire,,,,,,,,,,,1,,,3,,,,,1,,,,,
,Dorval,,,,,,,,,,,,,,,,1,,,,,,,,
,Beaconsfield,,,,,,,,,,,2,,,11,,,,,,,,,,
Kamouraska,Ste-Anne de la Pocatière St-Germain,,,,1,,,,,,,,,,2,,,,,,,,,,
Labelle,Kiamika Campbells,,,,1,,,,,1,,,,,,,,,,,,,,,RAPPORT-REPORT,
Laprairie,Caughnawaga,,,,,,,,,,,,,,,,,,,1,,,,,
L'Assomption,L'Assomption,,,,,,,,,,,,,,,,I,,,,,,,,
Laval,Montréal-Est,,,,,,,,,,,,,,,,,,,1,,,,,
,St-Michel, ville,,,,,,,,,,,,,,1,,,,,,,,,,
,St-Jean de Dieu,,,,,,,,,,,1,,,,,,,,2,,,,,
,St-Vincent de Paul,,,,,,,,,,,,,,,,,,,1,,,,,
,Pointe-aux-Trembles,,,,,,,,,,,,,,1,,,,,,,,,,
,Ste-Rose, ville,,,,,,,,,,,,,,,,,,,1,,,,,1930-31
,Montréal-Nord,,,,2,,,,,,,,,,,,,,,,,1,,,
Laviolette,Grand'Mère,,,,2,,,,,,,,,,,,1,,,,,,,,
L'Islet,Ashford,,,,,,,,,,,2,,,5,,,,,,,,,,
Lotbinière,Ste-Emélie,,,10,,,,,,,,,,,,,,,,,,,,,
,St-Sylvestre,,,1,,,,,,,,,,,,,,,,,,,,,
,St-Antoine de Tilly,,,,,,,,,,,,,,,,5,,,,,,,,
,Villeroy,,,,,,,,,,,,,,,,7,,,,,,,,
Maskinongé,St-Justin,,,,,,,,,,,,,,,,,,,,,1,,,
,Ste-Ursule,,,,,,,,,,,,,,,,2,,,,,,,,
Matane,Métis Beach,,,,,,,,,,,,,,,,,,,1,,,,,
,St-Octave de Métis,,,,,,,,,,,,,,,,,,,15,,,,,
Matapédia,St-Léon le Grand,,,,1,,,,,,,,,,,,,,,,,,,,
,St-Moïse,,,,,,,,,,,,,,,,,,,,,1,,,
,St-Benoît Joseph Labre,,,,,,,,,,,,,,,,4,,,,,,,,
Mégantic,Sacré-Cœur de Marie,,,,2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,59
