Table: Table_1
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
Quebec,Stoneham & Tewkesbury,3,,,,,,,,,,
,Bergerville.,2,,,,,,,,,,
,St-Colomb de Sillery,1,,,,,1,,,,,
Richmond,Windsor,1,,,,,,,,,,
,Windsor,,2,,,,,,,,,
,Richmond,,,1,2,,,,,,,
,Melbourne,,,,,3,,,,,,
Richmond,Bromptville,,,,,1,,,,,,
Rimouski,St-Anaclet,,,,,,,,,1,,
Shefford,Granby,,,3,,1,,,,,,
Sherbrooke,Sherbrooke,,23,28,,14,6,,,,,
,Rock Forest,,1,,,,,,,,,
,Lennoxville,,,1,,2,,,,,,
,Ascot Corner,,,,,1,,,,,,
Soulanges,St-Joseph de Soulanges,,,1,,,,,,,,
Stanstead,Coaticook,,1,1,,1,,,,,,
,Magog,,,,1,,,,,,,
,Beebe Plain,,,3,,,,,,,,
,Barnston,,,,,2,,,,,,
,West Hatley,,,,,1,,,,,,
St-Hyacinthe.,St-Hyacinthe,,,,,2,,1,,,,
Saint-Jean,Saint-Jean,,,,,,3,,,,,
,Saint-Bernard,,1,,,,,,,,,
St-Maurice,Baie Shawinigan,1,,,,,,,,,,
,Shawinigan Falls,,6,2,,,8,,,,,
Témiscaming.,St-Bruno de Guigues,,,,1,,,,,,,
Témiscouata,St-Eloi,,,3,,,,,,,,
,Isle-Verte.,,,,,,,,,1,,
,Rivière du Loup,,,,,,,,,7,,
,St-Hubert,,,,,,,,,1,,
,St-Epiphane,,,,,,,,,1,,
Vaudreuil,Hudson,,,1,,,,,,,,
Verchères.,McMasterville,,2,,,,,,,,,
Westmount,Outremont,,,10,1,6,,2,,,,
,Wesrmount,,,10,6,,,,,,,
,Montréal Ouest,,,1,,2,,,,,,
,Town of Hampstead,,,,,5,,,,,,
Wolfe,St-Gérard,,1,,,,,,,,,
,Ham Nord,,,1,,,,,,,,
,,109,173,395,58,872,114,40,3,275,,26
Table: Table_2
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
Kamouraska,St-Alexandre,1,,,,,,,,2,,
,Ste-Hélène,,,2,,,,,,,,
Kamouraska,Ste-Anne de la Pocatière St-Eleuthère,,,7 2,,,,,,,,
,Rivière Ouelle,,,1,,,,,,,,
,St-Bruno,,,,,,,,,1,,
Lac St-Jean,St-Joseph Alma,1,1,,,,,,,,,
,St-Félicien,,,,1,,,,,,,
Laval,Montréal Nord,,1,1,,12,,,,,,
,Laval des Rapides,,,1,4,7,,,,,,
,Pont-Viau,,,,1,,,,,,,
,L'Abord àPlouffe,,,2,,,,,,,,
,St-Elzéar,,,1,,,,,,,,
,Montreal Est,,,,,10,,,,,,
,Pointe-aux-Trembles,,,,,10,,2,,,,
,Ste-Rose par,,,,,1,,,,,,
Lévis,Lévis,1,,,,,,,,,,
L'Islet,St-Pamphile,5,,,,,,,,,,
,St-Adalbert,2,,,,,,,,,,
Lotbinière,St-Edouard,,1,,,,,,,,,
,Ste-Croix village,,,,1,,,,,,,
Maskinongé,Ste-Ursule,,1,,,,,,,,,
Matane,Matane,,1,,,,,,,,,
,Metis Beach,,,2,,,,,,,,
Mégantic,Thetford Mines,,,2,1,,,,,,,
,Plessisville,,,2,,,,,,,,
Missisquoi,St-Armand Est,,1,,,,,,,,,
,Bedford,,,15,,,,,,,,
,N.-D. de Stanbridge,,,6,,,,,,,,
,Dunham Tsp.,,,2,,,,,,,,
,Dunham village,,,2,,,,,,,,
,Philipsburg,,,1,,,,,,,,
,Stanbridge,,,5,,,,,,,,
,St-Ignace de Stanbridge.,,,1,,,,,,,,
Montmagny,St-Pierre,2,,,,,,,,,,
Nicolet,Nicolet,,1,,,,,,,,,
Papineau,St-André Avellin,,,,1,,,,,,,
,Angers,,,1,,,,,,,,
,Templeton,,,4,,,,,,,,
Pontiac,Litchfield,1,,,,,,,,,,
Portneuf,St-Casimir est, V. par,13,,,1,,,,,,,
,Neuville,5,,,,,,,,,,
,St-Ubald,,,,,,2,,,,,
,,,,,,,,,,,,
