Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
,St-Pacôme,,,,,,,,,,,,,,,,,,,,,3,,
,St-Alexandre,,,,,,,,,,,,,,,,,,,,,1,,
,Ste-Hélène,,,,,,,,,,,,,,,,4,,,,,,,
,St-Eleuthère,,,,,,,,,,,,,,8,,,,,,,,,
Labelle,L'Annonciation,,,,,,,,,,,,,,,,,,,,,,16,
,Nominingue, village,,,,3,,,,,,,,,,,,,,,,,,,
Lac St-Jean,Normandin,,,,1,,,,,,,,,,,,1,,,,,,,
,St-Emilien,,,,,,,,,,,,,,,,,,,,,1,,
,Ste-Croix,,,,,,,,,,,,,,,,10,,,,,,,
,St-Jérôme,,,,,,,,,,,,,,,,1,,,,,,,
,St-Joseph d'Alma,,,,,,,,,,,,,,,,1,,,,,,,
,St-Félicien,,,,,,,,,,,,,,,,1,,,,,,,
,Hébertville, paroisse,,,,,,,,,,,,,,,,4,,,,,,,
,Hébertville, village,,,,,,,,,,,,,,1,,1,,,,,,,
,Dolbeau,,,,,,,,,,,,,,3,,,,,,,,,
Laprairie,Laprairie,,,,,,,,,,,,,,,,,,,,,,9,
L'Assomption,L'Epiphanie,,,,,,,,,,,,,,,,1,,,,,,,
,St-Lin,,,,,,,,,,,,,,,,,,,1,,,,
,St-Sulpice,,,,,,,,,,,,,,,,,,,1,,,,
Laval,St-Jean de Dieu,,,,,,2,1,,,1,1,,,,,,,,2,,,,
,Ste-Dorothée,,,,,,,,,,,,,,,,,,,1,,,,
L'Islet,St-Cyrille,,,,,,,,,,,28,,,,,,,,,,,3,
,St-Jean Port Joli,,,,1,,,,,,,,,,,,,,,,,,,
,L'Islet,,,,,,,,,,,,,,1,,2,,,,,,,
,St-Eugène,,,,,,,,,,,,,,,,6,,,,,,,
,Bonsecours,,,,,,,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
,St-Thomas de la Pointe à la Caille,,,,,,,,,,,,,,,,,,,,,,2,,
,Arago,,,,,,,,,,,,,,17,,,,,,,,,,
,St-Pamphile,,,12,,,,,,,,,,,11,,,,,,,,,,
Lotbinière,St-Apollinaire,,,,,,,,,,,,,,,,,,,,,1,,,
,St-Narcisse,,,,,,,,,,,,,,,,,,,1,,,,,
,Ste-Agathe,,,1,,,,,,,,,,,,,,,,,,,,,
,St-Flavien,,,4,,,,,,,,,,,,,,,,,,,,,
Maskinongé,St-Justin,,,,3,,,,,,,,,,,,,,,,,,,,
Matane,Matane,,,,2,,,,,,,,,,,,,,,,,,4,,
,Priceville,,,8,,,,,,,,,,,2,,,,,,,,,,
Matapédia,St-Léon le Grand,,,,4,,,,,,,,,,,,,,,,,,,,
,St-Benoft Joseph Labre,,,,,,,,,,,,,,,,1,,,,,,,,
Mégantic,Thetford Mines Lyster Station,,,,4,,,,,,,,,,,,,,,2,,,,,
Missisquoi,Farnham, ville,,,,3,,,,,,,,,,,,,,,,,,,,
Montcalm,St-Jacques,,,,1,,,,,,,,,,,,,,,,,,,,
,Ste-Marie Salomée,,,,,,,,,,,,,,,,,,,1,,,,,
Montmagny,Montmagny,,,,1,,,,,,,,,,,,,,,,,,,,
Napierville,St-Edouard,,,,6,,,,,,,,,,,,,,,,,,,,
,St-Michel,,,,,,,,,,,,,,,,2,,,,,,,,
Nicolet,Ste-Brigitte des Saults,,,,1,,,,,,,,,,,,,,,,,2,,,
,Nicolet,,,8,2,,,,,,,,,,,,,,,,,,,,
Papineau,Buckingham,,,,3,,,,,,,,,,,,5,,,,,,,,
,Masson,,,,1,,,,,,,,,,,,,,,,,1,,,
,Papineauville,,,,1,,,,,,,,,,,,,,,,,,,,
Pontiac,Allumettes Island,,,,,,,,,,,,,,,,1,,,,,,,,
Portneuf,St-Casimir-Est,,,,,,,,,,,,,,,,,,,,,1,,,
Québec,St-Félix du Cap Rouge,,,,1,,,,,,,,,,,,,,,,,,,,1990-31
,St-Colomb de Sillery,,,,1,,,,,,,,,,,,,,,,,,,,
,Beauport, ville,,,,,,,,,,,,,,,,2,,,,,,,,
Richmond,Bromptonville,,,,,,,,,,,,,,,,4,,,,,,,,
,Shipton,,,,,,,,,,,,,,,,1,,,,,,,,
,Brompton,,,,,,,,,,,,,,,,3,,,,,,,,
,Asbestos,,,,,,,,,,,,,,,,1,,,,,,,,
Rouville,Abbotsford,,,,,,,,,,,,,,,,,,,,,,21,,
,St-Hilaire,,,,,,,,,,,,,,,,2,,,,,,,,
,St-Ange Gardien,,,,,,,,,,,3,,,,,,,,,,,,,
St-Hyacinthe,St-Hyacinthe,,,,1,,,,,,,36,,,,,,,,,,,49,,
,St-Damase,,,,1,,,,,,,,,,,,,,,,,,21,,
St-Jean,St-Jean,,,,1,,,,,,,,,,,,,,,,,,,,
St-Maurice,Shawinigan Falls,,,,1,,,,,,,,,,,,3,,,,,3,2,,
,Pointe du Lac,,,,,,,,,,,,,,,,,,,,,2,,,
Shefford,Granby,,,,3,,,,,,,,,,1,,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,35
