Table: Table_1
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
,Monrréal,,101,117,136,79,21,37,2,88,,5
,Québec,,14,14,,2,1,,,8,,
,Trois-Rivières,,3,1,1,,22,12,,,,
Abitibi,Amos,,,1,1,,,,,,,
,Privat,,,,,5,,30,,,,
Arthabaska,Stanfold,,,,1,,,,,,,
,Princeville,,,,1,,,,,,,
Beauce,St-Joseph, village,,,,,,2,,,,,
,St-François,,,2,,,1,,,,,
,St-Georges,,,,,,1,,,,,
,S.-C. de Jésus,,,,1,,,,,,,
Bellechasse,St-Charles,,3,,,,,,,,,
Berthier,St-Ignace de Loyola,,,,1,,,,,,,
,St-Barthélémy,,,,1,,,,,,,
Bonaventure,Escuminac,,,,1,,,,,,,
Brome,Brome, Tsp,,1,,,,,,,,,
Champlain,La Tuque,,1,2,,,,,,,,
,Ste-Anne de la Pérade,,4,,,,,,,,,
,Cap de la Madeleine,,,,2,,,,,,,
Charlevoix.,Baie St-Paul,,,,1,,,,,,,
Chateauguay,St-Antoine l'Abbé,,,1,,,,,,,,
Chicoutimi,Jonquières,,,1,,,,,,,,
Compton,Cookshire,,,,14,,,,,,,
,Newport,,,,,1,,,,,,
,Bury,,,,,,,15,,,,
Dorchester.,Ste-Germaine,,,1,,,,,,,,
Drummond,South Durham,,,,1,,,,,,,
Gaspé,Hâvre Aubert,1,,,,,,,,,,
,Shigawake,,,,1,,,,,,,
,Gaspé Bay Nord,,,,,1,,,,,,
