Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox,
,Montréal Québec,,,40,173 17,,,1069,,2,,48,1,,103 1,13,208 39,,,123 6,,5 5,228 5,5 3,
,Trois-Rivières,,,,3,,,,,,,,,,,,,,,,,,1,4,
Abitibi,Piedmont & Barraute,,,,1,,,,,,,,,,,,8,,,,,,,4,
,Carpentier & Courville,,,,,,,,,,,,,,,,,,,,,,,1,
,Amos,,,,,,,,,,,,,,,,1,,,,,,,1,
,Poularies,,,,4,,,,,,,,,,,,,,,,,1,,,
,Privat,,,,,,,,,,,,,,,,4,,,,,,,,
,Rouyn,,,,,,,,,,,,,,2,,3,,,,,,,,
,Trécesson,,,,,,,,,,,,,,,,1,,,,,,,,
Argenteuil,Laurel,,,,,,,,,,,,,,,,,,,,,,,8,
,Dunnaney,,,,,,,,,,,,,,,,,,,,,,,1,
,Wentworth,,,,,,,,,,,,,,,,,,,,,,,35,
Arthabaska,St-Valère,,,,,,,,,,,,,,,,,,,,,,,1,
,Arthabaska,,,,1,,,10,,,,,,,,,,,,,,,,,
,Victoriaville,,,,,,,131,,,,,,,,,,,,,,,,,
,St-Louis de Blandford,,,,,,,,,,,,,,,,,,,1,,,,,
Beauce,St-Joseph de Beauce,,,,,,,,,,,,,,,,,,,,,,,,
,Ste-Marie,,,,1,,,,,,,,,,,,,,,,,,1,1,
,Sacré-Coeur de Jésus,,,,,,,,,,,3,,,,,,,,,,,,,
,Aubert Gallion,,,,,,,,,,,,,,,,,,,,,1,,,
Bellechasse,St-Michel,,,,,,,,,,,,,,,,3,,,,,,,,
,St-Valier,,,,,,,,,,,,,,,,2,,,,,,,,
Berthier,Lavaltrie,,,,,,,,,,,,,,,,3,,,,,,2,,
,St-Damien,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Brôme,Knowlton,,,,,,,1,,,,,,,,,,,,,,,,,
,Sutton,,,,,,,79,,,,,,,,,1,,,,,,,,
,Bolton East,,,,1,,,,,,,,,,,,,,,,,,,,
Bonaventure,New Richmond,,,,,,,,,,,,,,,,2,,,,,,,,
Chambly,Longueuil,,,,1,,,2,,,,,,,,,,,,,,,7,,
Champlain,Cap de la Madeleine,,,,],,,,,,,,,,,,,,,,,,,,
Charlevoix,Rivière du Gouffre,,,,,,,,,,,,,,,,,,,,,,,2,
Chicoutimi,Chicoutimi,,,,,,,,,,,,,,,,,,,,,,,5,
,Jonquière,,,,1,,,,,,,,,,,,1,,,1,,,1,4,
Compton,East Angus,,,,1,,,,,,,,,,,,,,,,,,1,,
,Bury,,,,,,,,,,,1,,,,,,,,,,,3,,
D.-Montagnes,St-Eustache,,,,,,,,,,,1,,,,,,,,,,,,,
Dorchester,Ste-Germaine,,,,,,,,,,,,,,1,,,,,,,,,,
Drummond,Drummondville,,,,,,,,,,,,,,,,1,,,,,,,,
,L'Avenir,,,,,,,,,,,,,,,,3,,,,,,,,
Gaspé,Gaspé Bay North,,,1,,,,,,,,,,,,,,,,,,,,3,
,L'Anse du Cap,,,,,,,4,,,,,,,,,,,,,,,1,6,
Hull,Hull,,,,1,,,,,,,,,,,,4,,,,,,,,
,Masham Nord,,,,,,,,,,,,,,,,,,,,,,5,,
Huntingdon,Godmanchester,,,,,,,7,,,,,,,,,,,,,,,,,
Jacques-Cartier,Notre-Dame de Liesse,,,4,2,,,400,,,,8,,,1,,,,,,,,,,
,Verdun,,,2,9,,,3175,,,,,,,2,,15,,,4,,,7,,
,Lachine,,,8,1,,,1033,,,,,,,,,,,,1,,,,,
,Ste-Anne de Bellevue,,,,,,,95,,,,,,,,,1,,,,,,,,
,Côte St-Luc,,,,,,,30,,,,,,,,,,,,,,,,,
,Pointe Claire, ville,,,,,,,152,,,,,,,,,,,,,,,,,
,Pointe Claire, municipalité,,,,,,,4,,,,,,,,,,,,,,,,,
,Dorval,,,,,,,,,,,,,,,,8,,,,,,,,
,Ste-Anne du Bout de l'Ile,,,,,,,50,,,,,,,,,,,,,,,,,
,Ville St-Pierre,,,,,,,300,,,,,,,,,,,,,,,,,
,Beaconsfield,,,,,,,,,,,,,,,,1,,,,,,,,
,St-Laurent, ville,,,,,,,355,,,,,,,,,,,,,,,,,
,Town of Mount Royal,,,,,,,10,,,,,,,,,,,,,,,,,
Kamouraska,St-Pacôme,,,,1,,,,,,,,,,,,,,,,,1,,,
,Mont Carmel,,,,,,,,,,,,,,,,6,,,,,,,,
Lac St-Jean,Roberval,,,,,,,2,,,,,,,,,,,,,,,,,
Laval,St-Jean de Dieu,,,,,,,397,,,,,,,,,,,,3,,,,,
