Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur. ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet Fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Chicoutimi,Labreeque,,,,,,,,,,,,,,,,8,,,,,,,
,Chicoutimi,,,,,,,,,,,,1,,,,,,,,,,,
Compton,Bury,,,,,,,,,,,,,,,,,,,,,,2,
D.-Montagnes,St-Placide,,,,,,,3,,,,,1,,,,,,,,,3,,
,St-Hermas,,,,,,,6,,,,,,,,,,,,,,1,,
,Ste-Scholastique Paroisse,,,,,,,,,,,,,,,,,,,,,8,,
,Ste-Scholastique Village,,,,,,,,,,,,,,,,,,,,,101,,
,St-Canut,,,,,,,,,,,,,,,,,,,,,3,,
,St-Benoit,,,,,,,,,,,,,,,,,,,,,1,,
Dorehester,St-Malachie,,,,2,,,,,,,,,,,,,,,,,,,
,Ste-Marguerite,,,,1,,,,,,,,,,,,,,,,,,,
,Ste-Germaine,,,,,,,,,1,,,,,,,,,,,,2,1,
Drummond,Drummondville,,,,1,,,,,,,,,,,,,,,,,,2,1
,Grantham,,,,2,,,,,,,,,,,,,,,,,,,
Frontenac,St-Léon de Marston,,,,,,,,,,,,,,,,,,,,,3,1,
,Mégantic Ville,,,,,,,,,,,,,,,,2,,,,,,,
Gaspé-Sud,Gaspé Village,,,,,,,,,,,,,,,,,,,,,,6,
,Pabos,,,,,,,,,,,,,,,,,,,,,1,,
,Anse du Cap,,,,,,,,,,,,4,,,,,,,,,1,,
,Douglas West,,,8,,,,,,,,,,,,,,,,,,,,
,York,,,11,,,,,,,,,,,,,,,,,,,,
,Ste-Thérèse,,,,,,,,,,,,3,,,,,,,,,,,
Gatineau,Aylmer,,,,3,,,,,,,,,,,,,,,,,,,
,Messines,,,,1,,,,,,,,,,,,,,,,,,,
,Hull Est,,,,13,,,,,,,,,,,,,,,,,,,
Huntingdon,Godmanchester,,,,,,,,,,,,,,,,1,,,,,,,
Iberville,Iberville Ville,,,,,,,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
Jac.-Cartier,Lachine,,,12,,,,,,,,,,,,,,,,,,,,
,Verdun,,,3,3,,,,,,,,,,I,,4,,,3,,,20,
,Notre-Dame de Liesse Pointe-Claire,,,,,,,,,,,,,,1,2,10,,,2,,2,6,
,Ste-Anne du Bout de l'Ile Ville St-Laurent,,,,,,,,,,,,,,1,,3,,,,,,,
Joliette,St-Ambroise,,,,,,,,,,,,,,,,,,,1,,,,
,Ste-Beatrix,,,,,,,,,,,,,,,,,,,,,1,,
,Joliette,,,,,,,,,,,,,,,,,,,,,1,,
Kamouraska,St-Louis,,,,I,,,,,,,,I,,,,,,,,,,,
,St-Philippe de Néri,,,,1,,,,,,,,,,,,,,,,,,,
,St-Alexandre,,,,,,,,,,,,,,,,,,,,,,,
Labelle,L'Annonciation,,,,,,,,,,,,,,,,,,,,,1,,
,Mont Laurier,,,,6,,,,,,,,1,,,,,,,,,,2,
,Mont St-Michel,,,,,,,,,,,,1,,,,,,,,,3,,
,Marchand Canton Labelle,,,1,,,,,,,,,,,1,,,,,,,,,
Lac St-Jean,Hébertville Village,,,,,,,,,1,,,,,,,,,,,,,,
,St-Coeur de Marie,,,,,,,,,,,,,,,,,,,,,4,,
,St-Henri de Taillon,,,,,,,,,,,,,,,,,,,,,1,,
Laprairie,Delson,,,,1,,,,,,,,,,,,2,,,,,,,
,St-Constant,,,,1,,,,,,,,,,,,,,,,,,,
L' 'Assomption,Lachenaie,,,,,,,,,,,,,,,,,,,,,,,
Laval,Pointe-aux-Trembles,,,,2,,,,,,,,,,,,,,,,,1,,
,Ste-Dorothée,,,,,,,,,,,,,,,,2,,,,,,,
,St-Vincent de Paul,,,,,,,,,,,,1,,,,,,,,,5,,
,St-Michel Ville,,,,,,,,,,,,,,,,,,,,,1,,
,Laval des Rapides,,,,,,,,,,,,,,,,],,,1,,,,
Laviolette,Ste-Thècle Grand'Mère,,,,10 16,,,,,,,,,,,,,,,,,1,,
,Almaville Village,,,,,,,,,,,2,,,,4,12,,,,,,,
Lévis,Ste-Hélène de Brakeyville. Lévis,,,,3 1,,,,,,,1,,,,,1,,,,,,,
Lothinière,St-Octave de Dosquet,,,,1,,,,,,,,,,,,,,,,,,,
,St-Antoine de Tilly,,,,,,,,,,,,,,,,,,,,,,,
,St-Sylvestre,,,,1,,,,,,,,,,,,,,,,,,,
,St-Flavien,,,,,,,,,,,,,,,,,,,,,1,,
,Ste-Croix,,,1,,,,,,,,,,,,,,,,,,,,
Matane,Mont-Joli,,,,2,,,,,,,4,,,,,,,,,,,,
,Ste-Angèle de Mérici,,,,,,,,,,,,,,,,,,,,,,,
,St-Octave de Métis-Sud,,,,,,,,,,,,,,,,,,,,,1,,
,Matane,,,,,,,,,,,,,,,,,,,,,1,,
,St-Lue,,,,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,
