Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Chicoutimi,Bégin,,,,,,,,,,,,,,,,,,,,,2,,
,Port Alfred,,,,,,,,,,,,,,,,,,,,,1,,
Compton,Bury,,,,,,,,,,,,,,,,1,,,,,,,
Dorchester,Ste-Hénédine,,,,1,,,,,,,,,,,,,,,,,,,
,St-Léon de Standon,,,11,,,,,,,,,,,,,,,,,,,,
Frontenae,St-Hubert de Spaulding,,,,,,,,,,,,,,1,,,,,,,,,
Hull,Messines,,,,2,,,,,,,,,,,,,,,,,,,
,Mesham-Sud,,,,2,,,,,,,,,,,,,,,,,,,
Huntingdon,Dundee,,,,,,,,,,,,,,,,5,,,,,,,
Iberville,St-Sébastien,,,,1,,,,,,,,,,,,,,,,,,,
,St-Alexandre,,,,1,,,,,,,,,,,,,,,,,,,
,Iberville,,,,,,,,,,,,,,,,1,,,,,,,
Jacq.-Cartier,Notre-Dame de Liesse,,,1,,,,,,,,,,,,,5,,,,,,10,
,Lachine,,,5,,,1,,,,,4,,,,,3,,,4,,,5,
,Verdun,,,7,2,,,,,,,,,,1,,8,,,2,,2,4,
,Ville St-Laurent,,,,,,,,,,,,,,1,,4,,,,,,,
,Saraguay, village,,,,,,,,,,,,,,,,1,,,,,,,
,Pointe Claire,,,,,,,,,,,,,,,,11,,,,,,,
,Ville St-Pierre,,,,,,,,,,,,,,1,,,,,1,,,,
Joliette,Joliette,,,,1,,,,,,,,,,,,1,,,1,,,,
,St-Pierre,,,,3,,,,,,,,,,,,,,,,,,,
Kamouraska,Ste-Hélène,,,,1,,,,,,,,,,,,,,,,,,,
,St-Bruno,,,,,,,,,,,,,,6,,,,,,,,,
Labelle,L'Annonciation,,,,,,,,,,,,,,1,,,,,,,,1,
,Marchand,,,,,,,,,,,,,,,,4,,,,,,,
,Nominingue,,,1,,,,,,,,,,,,,,,,,,,,
Lac St-Jean,Roberval,,,,2,,,,,,,,,,1,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Mistassini,,,,,,,,,,,,,,1,,,,,,,2,,,
,Dolbeau,,,,,,,,,,,,,,,,2,,,,,,,,
Laprairie,Caughnawaga,,,,,,,,,,,,,,1,,,,,,,,2,,
,St-Mathieu,,,,1,,,,,,,,,,,,,,,,,,,,
,Delson,,,,,,,,,,,,,,,,1,,,,,,,,
L'Assomption,L'Assomption,,,,2,,,,,,,,,,,,,,,,,,,,
,St-Paul l'Ermite,,,,1,,,,,,,,,,,,,,,,,,,,
,St-Roch de l'Achigan,,,,,,,,,,,,,,,,,,,,,1,,,
Laval,St-Jean de Dieu,,,,,,8,,,,,1,,,,,,,,6,,,,,
L'Islet,St-Jean Port Joli,,,,,,,,,,,,,,,,,,,,,,5,,
,St-Aubert,,,,,,,,,,,,,,,,,,,,,,1,,
,St-Cyrille,,,,,,,,,,,,,,,,2,,,,,,,,
Lotbinière,St-Sylvestre,,,,,,,,,,,,,,2,,,,,,,,,,
,St-Gilles,,,,,,,,,,,,,,,,,,,5,,,,,
,Deschaillons,,,,,,,,,,,,,,,,,,,4,,,,,
,Fortierville,,,,,,,,,,,,,,,,,,,6,,,,,
,St-Agapit de Beaurivage,,,,,,,,,,,,,,,,,,,5,,,,,
,St-Apollinaire,,,,,,,,,,,,,,,,,,,4,,,,,
Maskinongé,Ste-Ursule,,,,3,,,,,,,,,,,,5,,,,,,,,
,St-Justin,,,,1,,,,,,,,,,,,,,,,,,,,
Matane,Priceville,,,,,,,,,,,,,,,,,,,,,,6,,
