Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Ka nouraska,St-Pascal,,,,,,,,,,,,,,,,,,,1,,,,
,Kamouraska,,,,,,,,,,,,,,,,,,,1,,,,
,St-Alexandre,,,,,,,,,,,,,,,,,,,1,,,,
Lac St-Jean,Roberval,,,,,,,,,,,,,,,,,,,,,,1,
,Dolbeau,,,,1,,,,,,,,,,,,,,,,,,,
,St-Michel de Mistassini,,,,,,,,,,,,,,,,,,,,,3,,
,Normandin,,,,,,,,,,,,,,,,,,,,,1,,
,St-Joseph Alma,,,,,,,,,,,,,,,,,,,,,1,,
L'Assomption,L'Assomption,,,,,,,,,,,,,,,,1,,,,,1,,
Laval,Pointe aux Trembles,,,,,,,,,,,,,,,,1,,,,,,,
Lévis,Lévis,,,,,,,,,,,,,,,,1,,,,,,,
L'Islet,St-Roch des Aulnaies,,,,,,,,,,,,,,,,,,,1,,,,
Matane,Priceville,,,,,,,,,,,,,,,,,,,2,,,,
Mégantic,Thetford Mines,,,,,,,,,,,,,,,,2,,,,,1,,
Missisquoi,Farnham West,,,,,,,,,,,,,,,,,,,,,1,,
,Sweetsburg,,,,,,,,,,,,,,,,I,,,,,,,
,Bedford,,,,,,,,,,,,,,,,1,,,,,,,
Nicolet,Ste-Gertrude,,,,,,,,,,,,,,,,,,,,,1,,
Papineau,Buckingham,,,,,,,,,,,,,,,,,,,,,1,,
Pontiac,Grand Calumet,,,,,,,,,,,,,,,,1,,,,,,,
,Clarendon,,,,,,,,,,,,,,1,,,,,,,,,
Portneuf,St-Alban,,,,,,,,,,,,,,,,,,,,,,1,
Québec,Charlesbourg, village,,,,,,,,,,,,,,,,,,,,,5,,
Richmond,Windsor,,,,1,,,,,,,,,,,,,,,,,,,
,Asbestos,,,,,,,,,,,,,,,,,,,,,3,,
Rimouski,Rimouski,,,,,,,,,,,,,,,,,,,I,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Rouville,St-Hilaire,,,,,,,,,,,,,,,,,,,,,,1,
Saguenay,Port Meunier, Ile Anticosti,,,,,,,,,,,5,,,,,,,,,,,,
Shefford,Roxton, canton,,,,,,,,,,,,,,,,,,,,,1,,
,Granby,,,,,,,,,,,,,,,,1,,,1,,,,
Sherbrooke,Sherbrooke,,,,3,,,,,,,,1,,,,16,,,,,,,
Stanstead,Coaticook,,,,,,,,,,,,,,,,,,,1,,1,,
,Barnston,,,,,,,,,,,,,,1,,,,,,,,,
St-Hyacinthe,St-Hyacinthe,,,,1,,,,,,,,,,,,,,,1,,,,
St-Jean,St-Jean,,,,1,,,,,,,,,,,,,,,,,,,
,Lacolle,,,,,,,,,,,,,,,,1,,,,,,,
St-Maurice,Shawinigan Falls,,,,3,,,,,,,,,,,,,,,,,1,,
,St-Barnabé,,,,1,,,,,,,,,,,,,,,,,,,
Témiscouata,St-Epiphane,,,,3,,,,,,,,,,,,,,,,,,,
,Bégon,,,,,,,,,,,,,,,,,,,1,,,,
,Trois-Pistoles,,,,,,,,,,,,,,,,,,,1,,,,
,St-Antonin,,,,,,,,,,,,,,,,,,,3,,,,
,Rivière Trois-Pistoles,,,,,,,,,,,,,,,,,,,1,,,,
,Ste-Rose du Dégelé,,,,,,,,,,,,,,,,,,,1,,,,
,Rivière du Loup,,,,,,,,,,,,,,,,,,,1,,,,
Terrebonne,De Salaberry & Grandison,,,,1,,,,,,,,,,,,,,,,,,,
Verchères,Belceil,,,,,,,,,,,,,,,,,,,,,4,,
Westmount,Westmount,,,,,,,,,,,,,,,,,,,,,,,]
,Outremont,,,,,,,,,,,,,,,,,,,,,,1,
,Montreal West,,,,,,,,,,,,,,,,2,,,,,1,,
Wolfe,Garthby,,,,,,,,,,,,,,,,,,,,,10,,
,Totaux-Totals,,,33,145,1,,2,4,,,15,6,20,,,141,,,193,,95,27,34
,,,,,SEPTEMBRE,,1928,,-,,SEPTEMBER,,1928,,,,,,,,,,,
,Montréal,,,24,94,,,2,,2,,7,11,,18,,148,,,137,,16,9,5
,Québec,,,,33,,,,,,,,,,,,36,,,1,,5,1,15
,Trois-Rivières,,,,1,,,,,,,,,,,,1,,,,,3,,
Abitibi,Rouyn,,,,,,,,,,,,,,,,],,,,,14,,
Arthabaska,Princeville,,,,,,,,,,,,,,,,,,,,,6,,
,Victoriaville,,,,,,,,,,,,,,,,,,,,,1,,
,Ste-Hélène,,,,,,,,,,,,,,,,,,,,,1,,
Beauce,St-Côme,,,,1,,,,,,,,,,,,,,,,,,,
,Aubert Gallion,,,,1,,,,,,,,,,,,,,,,,,,
,Sacré-Coeur de Jésus,,,,,,,,,,,,,,,,,,,,,1,,
,L'Enfant Jésus:,,,,,,,,,,,,,,,,,,,,,1,,
,St-Martin,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
,,,,,,,,,,,,,,,,,1,,,,,,,
