Table: Table_1
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
Vaudreuil,Hudson,,,5,,,,,,,,
Westmount,Outremont,,4,8,,,17,5,,,,
,Westmount,,,5,,1,,,,,,
Wolfe,D'Israeli,,,,1,,,,,,,
,Total pour octobre— Total for October,21,371,325,104,207,65,41,4,181,2,6
Table: Table_2
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
Laprairie,St-Isidore,,,,1,,,,,,,
,St-Constant,,,,2,,,,,,,
Laval,Ste-Dorothée,,2,,,,,,,,,
,Montréal Nord,,3,,,,,,,,,
,St-François de Sales,,,,9,,,,,,,
,St-Jean de Dieu,,,1,,,,,,,,
Lévis,St-Romuald,,3,,,,,,,,,
L'Islet,Ste-Perpétue,,,,11,,,,,,,
Lotbinière,St-Edouard,,6,,,,,,,,,
Matapédia,St-Vianney Lac au Saumon,,3,1,,,,,,,,
Mégantic,Ste-Anastasie,1,,,,,,,,,,
,Inverness,,1,1,,,,,,,,
,Lyster Station,,2,5,,,,,,,,
,St-Antoine de Pontb Plessisville,,1,6,,,,,,,,
Missisquoi,Sweetsburg Dunham Frelighsburg,,2 3 3,2,,,1,,,,,
Missisquoi,Stanbridge St-Ignace de Stanbridge. N.-D. de Stanbridge,,2,1 1,,,,,,,,
Montmagny,Ste-Lucie,,9,,,,,,,,,
Nicolet,Nicolet,,,,1,,,,,,,
Papineau,Buckingham St-André Avellin Plaisance,,1,1 2,3 4,,1,,,,,
Pontiac,Clarendon South Onslow,,,2,,,,1,1,,,
Portneuf,St-Alban,,8,,,,,,,,,
,Pont-Rouge St-Ubald,,3,,1,,,,,,,
Québec,Ste-Foy,,3,,,,,,,,,
Richmond,Shipton,,,,,,,,,,1,
Saguenay,Les Escoumains,,2,,,,,,,,,
Shefford,Ely Nord Granby,,1 1,,,1,,,,1,,
Sherbrooke,Sherbrooke Ascot,,5,8 1,2,,,,,,,
Stanstead,Dixville,,,,,1,,,,,,
Témiscouata,Rivière du Loup N.-D. du Lac,,4,7,1,,,,,,,
Vaudreuil,Vaudreuil,,1,,,,,,,,,
,,,,,,,,,,,,
Table: Table_3
,Montréal,1,271,192,10,215,78,42,2,127,1,10
,Québec,,26,60,,,6,2,,9,,
,Trois-Rivières,4,2,1,,,,8,,,,
Abitibi,Dupuy,,,8,,,,,,,,
Argenteuil,Grenville & Augment,,,2,,,,,,,,
Arthabaska,Ste-Victoire,,10,3,,,,,,,,
,St-Valère,,1,,,,,,,,,
,Ste-Anne du Sault,,2,,,,,,,,,
,Victoriaville,,,,2,,,,,,,
,Stanfold,,,,2,,,,,,,
,St-Norbert,,,,3,,,,,,,
,Princeville,,,,1,,,,,,,
Beauce,St-François,,,,2,,,,,,,
,Ste-Marie,,,,1,,,,,,1,
,Aubert Gallion,,,2,,,,,,,,
Beauharnois,Valleyfield,,1,,,,,,,,,
,Maple Grove,,,,4,,,,,,,
Berthier,Lavêltrie,,,,6,,,,,,,
,St-Cuthbert,,,,1,,,,,,,
Bonaventure,Port-Daniel Ouest,,,,,,2,,,,,
,Paspébiac,,,,1,,,,,,,
,Paspébiac Ouest,,,,1,,,,,,,
,Escuminac,,,2,,,,,,,,
Brome,Sutton,,,1,,,,,,,,
Chambly,St-Lambert,,,6,,1,,1,,,,
,St-Basile le Grand,,,5,,,,,,,,
Charlevoix.,Baie St-Paul,,,,1,,,,,,,
Chateauguay,Ste-Martine,1,,,,,,,,,,
,St-Malachie l'Ormstown,,,6,,,,,,,,
,Très St-Sacrement,,,1,,,,,,,,
,Chateauguay ville-town.,,,,,1,,,,,,
