Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur. ophthalmia neonatorumi,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet Fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Huntingdon,Godmanchester,,,,2,,,,,,,,,,,,,,,,,,,
,Hemmingford,,,,,,,,,,,,,,,,,,,,,1,,
,Elgin,,,,,,,,,,,,,,,,2,,,,,,,
,Dundee,,,,,,,,,,,,,,,,,,,1,,,,
Jac.-Cartier,Notre-Dame de Liesse,,,,,,,,,,,,,,,1,,,,,,,13,
,Lachine,,,24,,,,,,,,4,,,,,5,,,3,,1,12,
,Verdun,,,1,7,,,,,,,1,,,4,,10,,,6,,,3,
,Ville St-Pierre,,,,3,,,,,,,,,,,,1,,,,,,2,
,St-Laurent Ville,,,,1,,,,,,,,,,,,I,,,,,,,
,Ste-Anne de Bellevue,,,,,,,,,,,,,,,,1,,,,,,,
,Pointe-Claire,,,,,,,,,,,,,,,,,,,1,,,,
,Beaconsfield,,,,,,,,,,,,,,1,,,,,,,,,
Joiette,Joliette,,,,,,,,,,,,1,,,,,,,,,,,
,Ste-Elizabeth,,,,1,,,,,,,,,,,,,,,,,,,
Kamouraska,Kamouraska,,,,1,,,,,,,,,,,,,,,,,,,
,Ste-Anne de la Pocatière,,,,,,,,,,,,,,1,,,,,,,,,
Labelle,Clyde,,,,1,,,,,,,,,,,,,,,,,,,
Lac St-Jean,St-Henri de Taillon,,,,,,,,,,,,,,,,2,,,,,,,
,Ste-Croix,,,,,,,,,,,,,,,,1,,,,,,,
Laprairie,Caughnawaga,,,,,,,,,,,1,,,,,,,,,,,4,
L'Assomption,Lachenaie,,,,1,,,,,,,,,,,,,,,,,,,
,L'Epiphanie Ville,,,,,,,,,,,,,,,,,,,1,,,,
Laval,Abord à Plouffe,,,,,,,,,,,,,,,,1,,,,,,1,
,St-Martin,,,,,,,,,,,,1,,,,,,,,,,1,
,Montréal-Nord,,,4,1,,,,,,,,1,,1,,1,,,1,,,,
,Ste-Rose Paroisse,,,,,,,,,,,,,,,,,,,,,1,,
,St-Léonard Port Maurice,,,,,,,,,,,,,,,,20,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
Laval,St-Jean-de-Dieu,,,,,,,,,,,,,,,,,,,2,,,,,
,Pointe-aux-Trembles,,,,,,,,1,,,,,,,,,,,,,,,,
Laviolette,Grand' Mère,,,,16,,,,,,,,,,1,,2,,,,,1,,,
,Ste-Thècle Paroisse,,,,1,,,,,,,,,,,,,,,,,,,,
,St-Tite Paroisse,,,,,,,,,,,,,,,,,,,,,2,,,
Lévis,St-Romuald,,,,1,,,,,,,,,,,,,,,,,,,,
L'Islet,St-Pamphile,,,,1,,,,,,,,,,,,,,,,,,,,
,L'Islet,,,,1,,,,,,,,,,,,,,,,,,,,
,Arago,,,,,,,,,,,,,,,,,,,,,4,,,
Maskinongé,Ste-Ursule,,,,,,,,,,,,,,,,,,,,,1,,,
Matapédia,St-Benoit Joseph Labre,,,,,,,,,,,,,,,,,,,,,1,,,
,St-Zénon du Lac Humqui,,,,,,,,,,,,,,,,,,,,,1,,,
,St-Damase,,,,,,,,,,,,,,,,4,,,,,,,,
Mégantic,Lyster,,,,1,,,,,,,,,,,,,,,,,,1,,
,Plessisville,,,,,,,,,,,,1,,,,,,,,,,,,
Missisquoi,Cowansville,,,,,,,,,,,,,,1,,,,,,,,,,
Montealm,St-Liguori,,,,,,,,,,,,,,,,2,,,,,,,,
Montmagny,Montmagny,,,,2,,,,,,,,,,,,,,,,,,,,
Montmorency,St-Jean,,,,4,,,,,,,,,,,,,,,,,,,,
,St-Jean de Boischatel,,,,2,,,,,,,,,,,,,,,,,,,,
Papineau,Masson,,,,,,,,,,,,,,,,,,,,,2,2,,
,Buckingham,,,,,,,,,,,,,,,,,,,,,,2,,
Portneuf,St-Casimir Village,,,,1,,,,,,,,,,,,,,,,,,,,
Richmond,Windsor Ville,,,,,,,,,,,,,,,,1,,,,,,,,
,Bromptonville,,,,,,,,,,,,,,4,,,,,,,,,,
,Melbourne Township,,,,,,,,,,,,3,,,,,,,,,,,,
Rouville,St-Hilaire Paroisse,,,,,,,,,,,,,,,,,,,,,,2,,
,Rougemont,,,,2,,,,,,,,2,,,,,,,,,,,,
,Marieville,,,,,,,,,,,,,,,,4,,,,,,,,
,St-Césaire,,,,,,,,,,,,,,17,,,,,,,,,,
,Abbotsford,,,,,,,,,,,,,,22,,,,,,,,,,
Roberval,Roberval Ville,,,,,,,,,,,,,,,,2,,,,,,,,
St-Hyacinthe,St-Hyacinthe La Providence,,,31,,,,,,,,,,,1,,,,,1,,1 1,,,
St-Maurice,Pointe du Lac Village Shawinigan Falls,,,,6 2,,,,,,,,2,,,,5,,,,,1,,,
Shefford,Granby,,,,3,,,,,,,,,,,,,,,,,,,,
,Granby Canton Stukely South,,,,,,,,,,,,,,1,,,,,,,3,,,
Sherbrooke,Sherbrooke,,,,2,,,,,,,,,,26,,11,,,1,,1,,,
,Lennoxville,,,,,,,,,,,,,,6,,,,,,,,,,
Stanstead,Magog,,,,3,,,,,,,,,,,,1,,,,,,,,
,Barford,,,,,,,,,,,,,,,,1,,,,,,,,
