Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax Anthrax (charbon,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Rabies Hydrophobie (rage),Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,1930 Paralysie Poliomyelitis infantile,Paratyphoide Paratyphoid,(Continued). Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),et varioloide pox
,Beauceville Shenly,,,,,,,,,,,,,,,,,,,,,,,Variole Small
,Ste-Marie,,,,,,,,,,,,,,,,,,,,,,,
Bellechasse Berthier,St-Michel,,,,,,,,,,,,,,,,5,,,,,,,
,St-Gabrielde Brandon,,,,,,,,,,,,,,,,4,,,,,,,
,St-Cuthbert,,,,1,,,,,,,,,,,,1,,,,,,,
Bonaventure,Ile du Pads,,,,2,,,,,,,,,,11,,,,,,,,,
,St-Siméon,,,,,,,,,,,,,,,,,,,,,,,
,Mann,,,,,,,,,,,,,,,,,,,,,,,
Brome,Escuminac,,,,,,,,,,,,,,,,,,,,,,,
,Eastman,,,,,,,,,,,,,,,,,,,,,3,,
Chambly,St-Lambert,,,,,,,,,,,,,,25,,1,,,,,,,
,Longueuil,,,,1,,,,,,,,,,,,,,,,,,,
,Montréal-Sud,,,,,,1,,,,,1,,,2,,3,,,,,,,
Champlain,Greenfield Park,,,,,,,,,,,,,,,,1,,,,,,,
,Parent,,,,,,,,,,,,,,,,2,,,,,,3,
,Almaville, village,,,,,,,,,,,,,,,,1,,,,,,,
,Ste-Anne de la Pérade,,,,2,,,,,,,,,,,,,,,,,,,
Charlevoix,La Tuque,,,,,,,,,,,,,,,,,,,,,,,
Chateauguay,Malbaie, village,,,,,,,,,,,,,,,,,,,,,,3,
,Ste-Martine,,,,3,,,,,,,,,,,,1,,,,,,,
,St-Jean Chrysostome,,,,,,,1,,,,,,,,,,,,1,,,,
,St-Joachim,,,,1,,,,,,,,,,,,,,,,,,,
Chicoutimi,Très St-Sacrement,,,,,,,,,,,,,,,,,,,,,1,,
Compton,Jonquière,,,,,,,,,,,,,,,,,,,,,,,
,Compton, village,,,,1,,,,,,,,,,,,,,,2,,,,
,Compton, township,,,,,,,,,,,,,11,,,,,1,,,,,
,,,,,1,,,,,,,,,14,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
D.-Montagnes,Ste-Scholastique,,,,2,,,,,,,,,,1,,,,,,,,,,
Dorchester,Ste-Justine,,,,,,,,,,,,,,,,,,,,,1,,,
,St-Bernard,,,,,,,,,,,2,,,5,,,,,,,,,,
Drummond,Durham Sud,,,,,,,,,,,,,,,,,,,,,1,,,
,St-Joseph de Granthan,,,,,,,,,,,,,,,,,,,1,,,,,
Gaspé,Chandler,,,,,,,,,,,,,,,,,,,,,38,,,
Hull,Hull,,,,,,,,,,,,,,,,,,,1,,,,,
,Masham Nord,,,,,,,,,,,,,,,,,,,1,,,,,
,Messine,,,,2,,,,,,,,,,,,,,,,,,,,
,Maniwaki,,,,1,,,,,,,,,,,,,,,,,,,,
Huntingdon,Hinchinbrooke,,,,,,,,,,,,,,,,2,,,,,,,,
Iberville,Iberville,,,,,,,,,,,,,,,,,,,1,,,,,
Jacques-Cartier,Notre-Dame de Liesse,,,1,,,,72,,,1,,,,,,,,,,,,43,,
,Verdun,,,16,2,,,,,,,33,,,66,1,17,,,6,,1,8,,
,St-Laurent, ville,,,,,,,,,,,,,,,,2,,,,,,3,,
,Town Mount Royal,,,1,,,,,,,,15,,,1,,4,,,,,,1,,
,Ville LaSalle,,,,1,,,,,,,,,,27,,4,,,,,,,,
,Lachine,,,,,,,,,,,,,,2,,1,,,,,3,,,
,Beaconsfield,,,,,,,,,,,,,,,,2,,,,,,,,
,Dorval,,,,,,,,,,,,,,,,1,,,,,,,,
,Ville St-Pierre,,,,,,,,,,,,,,,,1,,,,,,,,
,Pointe-Claire,,,,,,,,,,,3,,,2,,,,,,,,,,
,Ste-Anne de Bellevue,,,,,,,,,,,1,,,,,,,,,,,,,
Joliette,Joliette,,,,,,,,,,,,,,,,,,,,,,,,
Kamouraska,Ste-Anne de la Pocatière,,,,1,,,,,,,,,,,,,,,,,,,,
,Ste-Hélène,,,,,,,,,,,,,,,,2,,,,,,,,
