cdi_ca_1956_wk_prov_dbs_Part10_confidences.csv,86.13,93.07,87.40,83.30,89.70,92.58,32.91,92.68,89.26,73.68,88.48,85.94,24.84,86.57,20.31,87.40,21.07,89.99,21.13,89.60,83.01,78.37,90.14,59.62,87.79,20.91,87.01,36.65,86.72,78.08,27.12,89.60,53.27,85.50,47.95,87.74,86.57,83.69,87.06,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,23,(a) Syphilis, primary,3,4,3,28,28,46,-,-,-,-,-,-,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,23,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part11_confidences.csv,79.74,87.45,78.03,73.24,80.42,84.67,42.21,85.79,74.85,27.95,79.05,67.92,80.81,73.83,36.91,77.73,23.68,75.54,19.71,79.98,63.43,53.61,81.64,48.32,78.03,45.97,72.02,71.00,79.69,69.82,72.56,85.01,78.52,74.17,61.72,85.55,82.86,82.52,83.30,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,23,(a) Syphilis, primary,1,3,2,29,28,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,3,-,-,-,-,23,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part12_confidences.csv,76.27,86.72,81.84,68.80,83.35,86.23,81.45,85.74,78.17,45.21,83.59,71.44,82.42,82.91,37.08,81.05,24.77,81.59,18.10,83.84,78.22,44.51,84.86,74.85,82.76,45.21,82.76,29.79,81.88,71.68,77.73,81.88,34.72,73.29,72.66,81.64,80.32,77.10,78.91,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,23,(a) Syphilis, primary,2,1,6,31,28,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,1,1,-,1,-,-,-,23,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part13_confidences.csv,78.32,88.38,80.22,77.98,84.77,86.52,19.75,85.06,76.27,48.56,78.86,73.58,37.21,78.03,33.47,70.61,46.22,81.79,27.88,81.88,75.15,53.22,84.52,32.96,81.84,46.22,74.12,27.86,80.66,49.10,73.39,83.69,79.64,77.10,34.25,85.99,83.30,80.96,81.05,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,23,(a) Syphilis, primary,3,2,4,34,29,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,1,1,-,-,-,-,2,1,-,-,-,-,23,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part14_confidences.csv,75.68,84.03,76.71,68.31,79.15,82.03,44.09,82.96,73.19,32.15,80.13,70.65,76.56,76.46,20.86,76.46,24.72,75.78,21.08,78.76,72.31,42.36,81.05,58.01,69.14,44.09,79.88,67.33,80.22,70.90,70.46,81.30,54.25,79.15,43.24,80.03,78.61,72.80,78.52,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,23,(a) Syphilis, primary,2,3,5,36,32,58,-,-,-,-,-,-,-,I,-,If,-,-,-,-,2,-,,-,-,1,-,1,-,-,1,2,-,-,-,-,23,,,,,,,
