cdi_ca_1956_wk_prov_dbs_Part10_confidences.csv,84.67,42.92,85.94,81.88,88.23,91.02,32.37,91.11,87.74,72.46,87.01,84.47,24.43,85.11,19.97,85.94,20.72,88.48,20.78,88.09,81.64,77.05,88.62,58.59,86.33,20.56,85.55,36.04,85.25,76.76,26.68,88.09,52.39,84.08,47.14,86.28,85.11,82.28,85.60,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,7,Influenza, epidemic,167,"1,093",477,"2,723","14,299","2,543",...,...,...,27,32,...,46,72,191,-,-,1,-,-,-,74,27,66,2,2,4,8,-,3,,R.P.,....,10,960,61,7,,,
cdi_ca_1956_wk_prov_dbs_Part11_confidences.csv,75.24,82.52,73.63,69.09,75.88,79.88,39.82,80.96,70.61,26.37,74.61,64.11,76.27,69.68,34.84,73.34,22.35,71.29,18.60,75.44,59.86,50.59,77.05,45.58,73.63,43.38,67.97,66.99,75.20,65.87,68.46,80.22,74.12,69.97,58.25,80.76,78.22,77.88,78.61,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,7,Influenza, epidemic,"2,230",167,284,"4,953","18,776","3,020",....,...,R.P.,65,27,....,63,46,107,-,-,1,-,-,-,26,74,24,1,2,1,I,B,-,,,,2075,10,200,7,,,
cdi_ca_1956_wk_prov_dbs_Part12_confidences.csv,75.59,56.20,81.10,68.21,82.67,85.50,80.71,85.01,77.49,44.82,82.86,70.85,81.74,82.23,36.77,80.37,24.56,80.91,17.94,83.11,77.54,44.12,84.13,74.22,82.03,44.82,82.03,29.52,81.20,71.04,77.10,81.20,34.42,72.66,72.02,80.96,79.64,76.42,78.22,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,7,Influenza, epidemic,64,"2,230",651,"5,032","23,435","3,304",P...,9.9,R.P.,...,65,,46,63,84,-,-,1,-,-,-,11,26,22,4,1,9,-,-,1,....,a.e.,9.9,3,2075,12,7,,,
cdi_ca_1956_wk_prov_dbs_Part13_confidences.csv,78.47,88.57,80.42,78.17,84.96,86.72,19.80,85.25,76.42,48.66,79.00,73.73,37.28,78.22,33.54,70.75,46.31,81.93,27.93,82.03,75.29,53.32,84.72,33.03,81.98,46.31,74.27,27.91,80.81,49.22,73.54,83.84,79.83,77.25,34.33,86.18,83.50,81.15,81.25,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,7,Influenza, epidemic,372,126,672,"5,466","27,575","3,955",....,...,...,86,62,...,36,46,83,-,-,1,-,-,-,3,11,12,-,4,6,-,-,-,....,R.A,,247,3,7,7,,,,
cdi_ca_1956_wk_prov_dbs_Part14_confidences.csv,48.54,76.61,69.92,62.26,72.12,74.76,40.19,75.63,66.70,29.32,73.05,64.40,69.78,69.68,19.02,69.68,22.52,69.09,19.21,71.78,65.87,38.62,73.88,52.88,63.04,40.19,72.80,61.38,73.10,64.65,64.21,74.07,49.44,72.12,39.40,72.95,71.68,66.36,71.58,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,7,Influenza, epidemic,170,399,301,"5,663","28,609","4,704",P...,,,80,86,.A,31,63,47,-,-,1,-,-,-,28,3,7,-,-,14,-,-,-,..A.,a.e.,,31,247,68,7,,,,
cdi_ca_1956_wk_prov_dbs_Part15_confidences.csv,80.57,88.57,81.79,79.10,85.30,87.55,69.38,86.96,78.47,35.35,79.93,75.34,75.93,79.39,36.79,82.03,18.64,81.25,18.38,82.76,79.74,80.22,85.16,20.54,85.16,45.70,83.25,35.01,81.54,64.60,76.32,83.89,75.54,81.40,45.70,83.59,79.64,79.74,83.30,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,7,Influenza, epidemic,280,171,151,"5,994","30,556","5,224",:,,,49,80,...,40,31,48,-,1,1,-,-,-,7,28,11,3,-,4,-,-,-,...,,,181,31,31,7,,,,
cdi_ca_1956_wk_prov_dbs_Part16_confidences.csv,71.88,77.88,74.07,71.04,75.93,75.73,50.20,76.51,72.17,44.92,71.73,73.24,34.84,72.85,33.54,73.05,39.97,74.56,25.00,73.44,69.73,40.04,73.05,36.77,73.14,18.59,74.51,58.06,71.14,52.59,71.68,67.53,54.64,70.17,55.13,73.97,70.70,69.38,71.68,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,7,Influenza, epidemic,315,283,78,"6,267","31,947","6,013",A..,...,a.e.,165,49,....,25,40,33,-,-,1,-,-,-,12,10,12,1,3,7,-,-,-,...,...,P...,112,181,4,7,,,,
cdi_ca_1956_wk_prov_dbs_Part17_confidences.csv,73.19,87.70,77.20,64.65,83.98,86.57,74.51,83.35,82.23,45.43,80.91,54.64,85.64,79.88,33.96,80.52,35.89,83.84,20.96,84.42,33.52,55.18,84.72,45.43,81.88,25.63,77.98,24.10,77.54,68.70,68.46,83.30,77.25,82.37,45.43,83.84,80.52,82.86,81.45,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part17_tables.csv,7,Influenza, epidemic,142,315,335,"6,409","33,338","6,598",,,,32,165,,96,25,249,-,-,-,-,-,-,2,12,.5 5,6,1,4,-,-,-,,A.P.,,6,112,20,7,,,,
cdi_ca_1956_wk_prov_dbs_Part18_confidences.csv,80.86,88.23,85.06,79.10,86.08,86.67,69.34,88.04,83.74,46.09,83.15,76.90,83.74,81.59,22.00,82.03,66.31,82.13,19.19,81.69,76.90,78.22,86.57,71.78,79.74,25.37,82.76,53.42,83.84,77.05,50.78,85.16,79.79,83.50,18.79,86.04,84.13,83.20,82.76,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part18_tables.csv,7,Influenza, epidemic,161,142,368,,"34,346","7,500",,:.,...,59,32,...,79,96,67,2,-,2,-,-,-,2,2,2,6,6,10,-,-,-,...,,...,13,6,21,7,,,,,
