cdi_ca_1956_wk_prov_dbs_Part10_confidences.csv,82.67,89.36,83.89,79.93,86.13,88.87,31.59,88.92,85.64,70.75,84.96,82.47,23.84,83.11,19.49,83.89,20.23,86.38,20.28,85.99,79.69,75.24,86.52,57.23,84.28,20.07,83.50,35.16,83.25,74.90,26.05,85.99,51.12,82.08,46.02,84.23,83.11,80.32,83.54,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,13,(b) Without paralysis,1,-,1,7,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,13,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part11_confidences.csv,80.52,88.33,78.81,73.97,81.20,85.55,42.63,86.67,75.59,28.22,79.83,68.60,81.64,74.61,37.30,78.52,23.93,76.32,19.91,80.76,64.06,54.15,82.47,48.80,78.81,46.44,72.75,71.68,80.47,70.51,73.29,85.89,79.30,74.90,62.35,86.43,83.69,83.35,84.18,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,13,(b) Without paralysis,-,1,-,7,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,13,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part12_confidences.csv,59.52,67.68,63.82,53.66,65.04,67.29,63.53,66.89,60.99,35.28,65.23,55.76,64.31,64.70,28.93,63.23,19.32,63.67,14.12,65.43,61.04,34.72,66.21,58.40,64.55,35.28,64.55,23.24,63.92,55.91,60.69,63.92,27.10,57.18,56.69,63.72,62.65,60.16,61.57,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,13,(b) Without paralysis,1,-,1,9,9,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,I,-,-,-,13,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part13_confidences.csv,77.00,86.91,78.96,76.71,83.35,85.11,19.43,83.69,75.05,47.78,77.54,72.36,36.60,76.76,32.91,69.43,45.46,80.42,27.42,80.52,73.93,52.34,83.15,32.42,80.47,45.46,72.90,27.39,79.35,48.29,72.17,82.32,78.37,75.83,33.69,84.57,81.93,79.64,79.74,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,13,(b) Without paralysis,2,1,-,11,12,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,1,-,-,-,-,13,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part14_confidences.csv,78.08,86.72,79.15,70.46,81.64,84.62,45.48,85.60,75.49,33.18,82.67,72.90,78.96,78.91,21.52,78.91,25.49,78.17,21.74,81.25,74.56,43.70,83.59,59.81,71.34,45.48,82.37,69.48,82.76,73.14,72.66,83.84,55.96,81.64,44.60,82.57,81.10,75.10,81.01,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,13,(b) Without paralysis,1,2,-,12,13,12,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,13,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part15_confidences.csv,81.59,89.70,82.81,80.08,86.38,88.67,70.31,88.04,79.49,35.79,80.96,76.32,76.90,80.42,37.28,83.11,18.88,82.28,18.63,83.79,80.71,81.30,86.23,20.80,86.23,46.29,84.33,35.47,82.57,65.43,77.29,84.96,76.46,82.47,46.29,84.67,80.66,80.76,84.38,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,13,(b) Without paralysis,-,1,1,12,19,19,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part16_confidences.csv,81.59,88.43,84.13,80.66,86.23,85.99,56.98,86.87,81.93,51.03,81.45,83.15,39.55,82.71,38.09,82.91,45.39,84.72,28.39,83.40,79.15,45.48,82.96,41.75,83.06,21.12,84.62,65.97,80.81,59.77,81.40,76.66,62.06,79.69,62.60,83.98,80.27,78.81,81.40,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,13,(b) Without paralysis,1,-,1,13,21,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,13,,,,,,,,
