cdi_ca_1956_wk_prov_dbs_Part10_confidences.csv,26.90,86.23,80.96,77.15,83.11,85.74,30.49,85.84,82.67,68.26,81.98,79.59,23.01,80.18,18.81,80.96,19.52,83.35,19.57,82.96,76.90,72.61,83.50,55.22,81.30,19.36,80.57,33.94,80.32,72.31,25.12,82.96,49.37,79.20,44.41,81.25,80.18,77.49,80.62,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,(a) Amoebic,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,...,,...,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part11_confidences.csv,73.93,81.10,72.36,67.87,74.56,78.52,39.14,79.54,69.38,25.90,73.29,62.99,74.95,68.46,34.23,72.07,21.96,70.07,18.27,74.12,58.84,49.71,75.73,44.80,72.36,42.63,66.75,65.82,73.88,64.75,67.29,78.86,72.80,68.75,57.23,79.35,76.86,76.51,77.25,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,4,(a) Amoebic,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,P...,,,,,P.A,-,-,-,-,-,-,-,-,-,-,-,-,-,I,I,4,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part12_confidences.csv,73.14,83.15,78.47,65.97,79.93,82.71,78.08,82.23,74.95,43.36,80.18,68.51,79.05,79.54,35.57,77.73,23.75,78.27,17.36,80.42,75.00,42.68,81.40,71.78,79.35,43.36,79.35,28.56,78.56,68.70,74.56,78.56,33.30,70.31,69.68,78.27,77.00,73.93,75.68,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,4,(a) Amoebic,-,-,-,-,-,1,-,-,-,=,-,-,-,-,-,,,,.A,,.A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part13_confidences.csv,75.54,85.25,77.39,75.24,81.74,83.45,19.06,82.08,73.58,46.85,76.07,70.95,35.89,75.29,32.28,68.07,44.58,78.91,26.88,78.96,72.51,51.32,81.54,31.81,78.91,44.58,71.48,26.86,77.78,47.36,70.80,80.71,76.86,74.37,33.03,82.96,80.37,78.12,78.17,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,4,(a) Amoebic,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,A.P.,,,,A.P,*.*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part14_confidences.csv,72.80,80.86,73.78,65.67,76.12,78.91,42.41,79.79,70.41,30.93,77.05,67.97,73.63,73.54,20.07,73.54,23.77,72.90,20.28,75.73,69.53,40.75,77.93,55.76,66.50,42.41,76.81,64.75,77.15,68.21,67.77,78.17,52.20,76.12,41.58,77.00,75.63,70.02,75.54,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,4,(a) Amoebic,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,,,,,,..A.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,
