cdi_ca_1956_wk_prov_dbs_Part10_confidences.csv,84.86,91.70,86.13,82.08,88.38,91.21,32.42,91.31,87.94,72.61,87.21,84.67,24.48,85.30,20.01,86.13,20.76,88.67,20.81,88.23,81.79,77.25,88.82,58.74,86.52,20.59,85.69,36.11,85.45,76.90,26.73,88.23,52.49,84.23,47.24,86.47,85.30,82.42,85.74,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,19,(b) Non-pulmonary,23,10,9,98,117,99,-,-,-,2,-,-,-,-,-,1,-,-,8,5,1,(6),(6),(6),-,-,-,8,-,2,...,1,....,4,4,5,19,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part11_confidences.csv,81.64,89.55,79.88,74.95,82.32,86.67,43.21,87.84,76.61,28.61,80.96,69.53,82.76,75.63,37.82,79.59,24.24,77.34,20.18,81.88,64.94,54.88,83.59,49.46,79.88,47.07,73.73,72.66,81.59,71.48,74.27,87.06,80.42,75.93,63.18,87.60,84.86,84.47,85.30,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,19,(b) Non-pulmonary,9,23,9,107,124,117,-,-,1,-,2,-,-,-,-,-,1,-,2,8,3,(6),(6),(6),1,-,-,-,8,1,5,A.P.,1,1,4,3,19,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part12_confidences.csv,77.49,88.13,83.15,69.92,84.72,87.65,82.76,87.16,79.44,45.95,84.96,72.61,83.79,84.28,37.70,82.37,25.17,82.91,18.40,85.21,79.44,45.24,86.23,76.07,84.08,45.95,84.08,30.27,83.25,72.80,79.00,83.25,35.30,74.46,73.83,82.96,81.64,78.32,80.18,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,19,(b) Non-pulmenary,10,9,9,117,139,124,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,(6),(6),(6),-,1,-,1,-,2,1,5,...,6,1,1,19,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part13_confidences.csv,79.69,89.94,81.69,79.39,86.28,88.09,20.12,86.62,77.64,49.44,80.27,74.90,37.89,79.44,34.06,71.88,47.05,83.25,28.37,83.35,76.51,54.15,86.04,33.57,83.30,47.05,75.44,28.34,82.08,49.98,74.71,85.16,81.10,78.47,34.86,87.50,84.81,82.42,82.52,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,19,(b) Non-pulmonary,5,10,12,122,153,127,-,-,1,-,-,-,-,-,-,-,-,-,4,2,1,(6),(6),(6),1,-,-,-,1,1,P...,1,1,-,6,4,19,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part14_confidences.csv,76.22,84.67,77.29,68.80,79.69,82.62,44.41,83.59,73.73,32.40,80.71,71.19,77.10,77.00,21.01,77.00,24.89,76.32,21.23,79.30,72.80,42.68,81.64,58.40,69.63,44.41,80.47,67.82,80.81,71.44,70.95,81.88,54.64,79.69,43.53,80.62,79.20,73.34,79.10,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,19,(b) Non-pulmonary,13,5,9,135,161,130,-,-,-,-,-,-,-,-,-,2,-,-,3,4,1,(6),(6),(6),1,1,-,2,-,1,3,,,2,-,3,19,,,,,,,,
