cdi_ca_1956_wk_prov_dbs_Part18_tables.csv,27,(e) Other venereal diseases⁷,-,-,-,-,11,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part19_confidences.csv,81.69,93.90,88.57,88.23,90.77,91.75,82.08,93.21,89.45,84.33,89.99,86.08,86.43,90.53,62.35,88.09,48.19,87.50,68.21,90.38,65.48,83.69,91.36,81.79,88.33,48.19,90.92,48.19,86.18,80.32,46.58,85.55,62.01,87.21,27.73,91.50,73.39,85.35,84.13,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part19_tables.csv,27,(e) Other venereal diseases⁷,-,-,-,-,11,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part1_confidences.csv,69.92,90.92,81.98,82.86,85.25,87.45,22.69,88.09,77.10,31.15,82.37,73.49,69.38,81.54,31.20,78.12,27.42,74.17,23.41,79.79,55.86,64.45,83.54,48.12,72.46,48.12,80.62,58.74,73.24,71.63,73.88,82.03,73.19,74.66,38.75,84.72,77.05,79.49,82.03,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part1_tables.csv,27,(e) Other venereal diseases⁷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part20_confidences.csv,76.61,94.38,68.12,83.01,90.62,91.55,88.67,93.90,87.50,37.30,88.82,86.43,85.01,89.65,83.06,86.08,48.46,86.43,58.45,89.50,64.84,62.21,88.57,82.32,84.13,70.41,89.26,83.79,79.10,89.16,43.38,88.18,48.46,87.30,34.52,88.38,84.28,75.00,83.94,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part20_tables.csv,27,(e) Other venereal diseases⁷,-,-,-,-,13,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I,-,27,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part21_confidences.csv,87.45,94.38,88.77,85.60,91.11,93.55,72.07,93.12,85.89,50.10,88.43,87.30,79.10,89.79,43.55,88.53,25.15,87.45,68.60,92.04,86.82,54.30,90.58,69.87,87.89,48.56,90.72,73.88,87.11,77.34,85.35,84.03,79.05,86.82,38.92,87.99,89.60,86.13,86.43,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part21_tables.csv,27,(e) Other venereal diseases⁷,-,-,-,-,13,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part22_confidences.csv,77.29,92.29,82.47,80.13,85.25,88.38,35.30,88.87,83.94,46.17,82.67,67.92,73.93,79.00,24.22,81.74,27.66,77.44,23.28,81.10,75.15,46.26,84.57,47.58,74.66,48.34,76.07,55.37,78.61,70.61,81.54,82.47,72.66,79.79,68.80,83.40,81.25,82.57,84.96,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part22_tables.csv,27,(e) Other venereal diseases⁷,-,-,-,-,13,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part23_confidences.csv,84.81,92.33,87.01,84.57,88.92,90.82,80.47,92.43,83.45,34.38,88.18,79.10,88.28,83.74,48.80,86.52,50.78,89.36,47.88,88.77,81.45,69.19,89.36,77.00,86.96,28.10,86.62,29.54,87.70,78.56,77.98,88.23,85.69,88.48,47.88,89.60,88.33,85.25,86.96,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,27,(e) Other venereal diseases⁷,-,-,-,-,13,10,-,-,-,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PEATU,-,-,-,-,-,-,-,27,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part24_confidences.csv,83.25,91.21,80.71,75.88,84.33,87.45,52.44,87.74,82.03,31.47,79.39,78.81,76.66,82.76,26.68,81.05,47.07,83.01,47.07,81.79,55.32,52.15,83.54,35.52,79.49,47.07,79.05,68.80,80.13,29.64,55.52,85.84,81.74,79.88,63.13,85.45,85.45,86.04,85.16,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part24_tables.csv,27,(e) Other venereal diseases⁷,-,-,-,-,13,11,-,-,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part25_confidences.csv,75.63,91.70,85.11,54.69,89.70,90.67,26.42,90.23,84.62,76.17,87.99,79.69,78.91,90.33,35.38,88.23,21.64,83.35,20.32,88.04,81.54,83.11,87.99,47.97,82.52,48.07,80.47,75.78,86.13,68.41,43.85,87.30,71.09,84.33,48.07,87.35,82.76,80.91,82.57,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part25_tables.csv,27,(e) Other venereal diseases⁷,1,-,-,1,13,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,27,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part26_confidences.csv,83.45,89.79,82.52,82.23,85.06,88.38,62.06,86.33,81.30,46.78,84.57,83.35,46.68,83.74,20.94,86.13,20.96,86.57,46.78,86.62,77.98,80.76,87.30,45.58,84.23,34.81,85.69,27.15,84.03,78.96,36.01,87.79,81.88,86.82,53.12,87.55,83.69,84.28,86.67,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part26_tables.csv,27,(e) Other venereal diseases⁷,-,1,-,1,13,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,27,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part27_confidences.csv,50.20,88.38,80.71,77.93,82.32,84.13,37.87,86.23,80.32,56.45,84.96,78.37,70.80,83.54,42.60,84.03,45.63,81.40,21.91,84.13,78.52,75.20,84.42,64.50,84.38,45.63,83.79,67.48,84.77,69.34,60.94,82.86,60.84,79.15,28.05,83.89,79.05,77.78,79.49,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,28,,106,93,103,"4,586","7,146","4,464",2,I,-,8,13,1,3,2,2,-,-,-,45,23,45,&,9,29,2,16,3,10,5.,2,2,1,9,26,24,12,28,,,,,
cdi_ca_1956_wk_prov_dbs_Part28_confidences.csv,72.75,87.30,80.37,81.64,83.50,85.35,34.47,81.40,78.47,20.80,78.27,46.44,81.01,79.30,53.47,81.10,72.75,82.47,26.10,81.30,76.03,68.70,82.71,23.07,78.52,35.89,81.79,44.78,80.76,73.00,78.22,80.37,71.34,79.35,44.78,82.28,75.34,79.20,82.23,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,,diseases⁷,88,106,127,"4,674","7,293","4,582",-,2,-,9,8,-,-,3,7,-,-,-,41,45,36,22,8,30,7,2,2,-,10,2,-,2,11,9,26,6,28,,,,,
cdi_ca_1956_wk_prov_dbs_Part29_confidences.csv,79.64,90.48,84.28,75.68,85.84,89.11,67.82,90.67,72.27,67.04,84.86,80.62,73.83,82.71,19.62,85.89,22.61,81.35,47.78,84.42,77.10,58.06,88.43,63.53,85.11,47.78,83.40,40.01,83.54,76.76,78.03,82.18,80.32,80.32,37.94,88.72,85.74,81.84,85.64,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part29_tables.csv,27,(e) Other venereal diseases⁷,-,1,-,2,14,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,27,,,,,,,,
