cdi_ca_1956_wk_prov_dbs_Part10_confidences.csv,80.18,86.67,81.40,77.59,83.54,86.23,30.66,86.28,83.11,68.65,82.42,80.03,23.13,80.62,18.91,81.40,19.63,83.79,19.68,83.40,77.29,73.00,83.94,55.52,81.74,19.47,81.01,34.13,80.76,72.71,25.27,83.40,49.63,79.64,44.65,81.74,80.62,77.93,81.05,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part25_tables.csv,21,Undulant fever,3,5,3,76,55,59,-,-,-,-,-,-,-,-,-,,:,,1,1,1,1,3,1,1,1,-,-,-,-,,....,...,-,-,-,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part26_tables.csv,21,Undulant fever,-,3,2,76,57,62,-,-,-,-,-,-,-,-,-,..A,,,,1,1,-,1,1,-,1,-,-,-,-,,....,,-,-,-,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,22,Venereal diseases:,269,273,368,"8,230","8,683","9,065",4,2,11,-,-,1,17,2,11,6,6,4,54,46,60,30,29,52,21,17,33,26,30,39,42,54,53,69,87,57,22,,,,,
cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,21,Undulant fever,276,269,373,"8,506","9,012","9,479",11,4,7,-,-,-,5,17,11,10,6,5,75,54,93,34,30,66,17,21,33,41,26,33,-,42,59,83,69,61,22,,,,,
cdi_ca_1956_wk_prov_dbs_Part29_tables.csv,21,Undulant fever,-,-,2,78,69,70,-,-,-,-,-,-,-,-,-,,,,,,1,-,-,1,-,I,-,-,-,-,a.a.,,a.e.,-,-,-,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part30_tables.csv,21,Undulant fever,4,-,4,82,70,72,,,I,-,-,-,-,,,,,,,,2,3,-,-,1,-,-,-,-,-,R.A,....,R.P.,-,-,-,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part31_tables.csv,21,Undulant fever,13,4,1,95,72,77,-,-,-,-,-,-,-,-,-,,,,11,,A.R,2,3,-,-,1,-,-,-,-,...,A.R,...,-,-,-,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part33_tables.csv,21,Undulant fever,2,2,3,99,81,84,-,-,-,-,-,-,-,-,=,,,,1,1,1,-,1,1,-,I,,=,#,if,,,,1,,-,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part34_tables.csv,21,Undulant fever,4,2,3,103,83,89,-,-,-,-,-,-,-,-,-,,R.A,,2,1,2,1,-,1,1,-,-,-,-,-,R.P.,...,...,-,1,-,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part35_tables.csv,21,Undulant fever,-,4,2,103,90,90,-,-,-,-,-,-,-,-,-,...,...,...,P.A,2,1,-,1,1,-,1,-,-,-,-,R.A.,...,..,-,-,-,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part36_tables.csv,21,Undulant fever,-,-,2,103,93,93,-,-,-,-,-,-,-,-,-,...,...,...,...,...,1,-,-,-,-,-,-,-,-,-,...,,,-,-,-,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part37_tables.csv,21,Undulant fever,1,-,5,103,94,94,-,,-,-,-,-,-,-,-,R.P.,...,R.P.,P...,R.P.,2,-,-,,-,I,-,-,-,-,...,R.P.,T.R,-,-,-,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part38_tables.csv,21,Undulant fever,-,-,4,103,96,98,-,-,-,-,-,-,-,-,-,A.O.,...,a.a,...,...,1,-,-,1,-,-,-,-,-,-,..a,a.e.,,-,-:,$,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part39_tables.csv,21,Undulant fever,3,-,2,106,97,99,-,$,-,$,-,-,-,-,-,...,..,,2,...,1,-,-,1,$,-,-,-,-,-,A.A,,a.a,1,I,I,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part40_tables.csv,21,Undulant fever,2,3,2,108,98,100,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,-,-,-,-,-,-,-,-,I,R.A.,...,..,-,1,-,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part41_tables.csv,21,Undulant fever,2,2,3,110,101,103,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,21,,,,,,,,
