cdi_ca_1956_wk_prov_dbs_Part10_confidences.csv,78.86,85.25,80.08,76.32,82.18,84.81,30.15,84.86,81.74,67.53,81.05,78.71,22.75,79.30,18.60,80.08,19.30,82.42,19.36,82.03,76.03,71.78,82.57,54.59,80.42,19.15,79.69,33.57,79.44,71.48,24.85,82.03,48.80,78.32,43.92,80.37,79.30,76.66,79.74,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part11_confidences.csv,63.04,69.14,61.72,57.91,63.57,66.94,33.37,67.82,59.18,22.09,62.50,53.71,63.92,58.40,29.20,61.47,18.73,59.77,15.59,63.23,50.15,42.38,64.60,38.21,61.72,36.35,56.93,56.10,63.04,55.22,57.37,67.24,62.11,58.64,48.80,67.68,65.53,65.23,65.87,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part12_confidences.csv,54.64,62.16,58.64,49.29,59.72,61.77,58.35,61.43,56.01,32.40,59.91,51.17,59.08,59.42,26.59,58.11,17.75,58.45,12.98,60.06,56.05,31.88,60.79,53.61,59.28,32.40,59.28,21.34,58.69,51.37,55.71,58.69,24.88,52.54,52.05,58.50,57.57,55.22,56.54,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part13_confidences.csv,63.57,71.73,65.14,63.33,68.80,70.26,16.04,69.09,61.91,39.43,64.01,59.72,30.22,63.38,27.17,57.32,37.52,66.41,22.63,66.46,61.04,43.21,68.65,26.76,66.46,37.52,60.16,22.61,65.48,39.87,59.57,67.92,64.70,61.33,27.81,69.82,69.09,66.99,68.51,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part14_confidences.csv,63.67,70.70,64.55,57.42,66.55,68.99,37.08,69.78,61.57,27.05,67.38,59.42,64.40,64.31,17.54,64.31,20.79,63.72,17.72,66.26,60.79,35.64,68.16,48.78,58.15,37.08,67.19,56.64,67.48,59.67,59.23,68.36,45.63,66.55,36.35,67.33,66.11,59.47,53.42,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part15_confidences.csv,65.09,71.58,66.06,63.92,68.95,70.75,56.10,70.26,63.43,28.56,64.60,60.89,61.38,64.16,29.74,66.31,15.06,65.67,14.86,66.89,64.40,64.84,68.85,16.60,68.85,36.94,67.29,28.30,65.92,52.20,61.67,67.77,61.04,65.82,36.94,67.58,64.36,57.37,63.77,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part16_confidences.csv,66.36,75.49,71.58,68.65,73.34,73.19,48.51,73.93,69.73,43.41,69.34,70.75,33.67,70.36,32.42,70.56,38.62,72.07,24.16,71.00,67.38,38.70,70.61,35.52,70.70,17.97,72.02,56.10,68.75,50.83,69.24,65.23,52.78,67.82,53.27,71.48,68.31,67.04,75.44,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
