cdi_ca_1956_wk_prov_dbs_Part10_confidences.csv,26.90,92.58,86.91,82.81,89.21,92.04,32.74,92.14,88.77,73.29,87.99,85.45,24.71,86.08,20.20,86.91,20.96,89.50,21.01,89.06,82.57,77.93,89.65,59.28,87.30,20.79,86.52,36.43,86.23,77.64,26.98,89.06,52.98,85.01,47.68,87.26,86.08,83.20,86.57,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,5,(h) Pacillary,13,20,12,109,87,90,-,-,-,-,-,-,-,-,-,,,...,,6,...,7,1,3,-,-,1,-,-,1,-,1,-,5,12,4,5,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part11_confidences.csv,82.42,90.38,80.62,75.68,83.11,87.50,43.60,88.67,77.34,28.88,81.69,70.21,83.50,76.32,38.16,80.32,24.48,78.08,20.37,82.62,65.58,55.42,84.38,49.93,80.62,47.51,74.41,73.34,82.37,72.17,75.00,87.89,81.15,76.66,63.82,88.43,85.64,85.25,86.13,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,5,(b) Facillary,7,13,10,116,97,100,-,-,-,-,-,-,-,-,-,R.P.,...,,9.8,A.A.,....,3,7,4.,1,-,-,-,-,-,-,-,-,3,6,7,5,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part12_confidences.csv,81.10,92.24,87.01,73.19,88.67,91.75,86.62,91.21,83.15,48.10,88.92,75.98,87.70,88.18,39.45,86.23,26.34,86.82,19.26,89.21,83.20,47.34,90.28,79.59,88.04,48.10,88.04,31.69,87.11,76.22,82.71,87.11,36.94,77.98,77.25,86.87,85.45,82.03,83.94,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,5,(b) Bacillary,4,7,17,120,114,114,-,-,-,-,-,-,-,-,-,A.O.,9.8,A.9.,1,R.P.,9.9,-,3,3,-,1,-,-,-,1,-,-,-,3,3,6,5,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part13_confidences.csv,79.69,89.89,81.64,79.35,86.23,88.04,20.10,86.57,77.59,49.41,80.22,74.85,37.87,79.39,34.06,71.83,47.02,83.20,28.34,83.30,76.46,54.15,85.99,33.54,83.25,47.02,75.39,28.32,82.08,49.95,74.66,85.16,81.05,78.42,34.86,87.50,84.77,82.37,82.47,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,5,(b) Pacillary,4,4,12,124,136,136,-,-,-,-,-,-,-,-,-,A.P.,,A.P.,,1,...,-,-,1,-,-,-,-,-,-,-,-,-,4,3,12,5,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part14_confidences.csv,81.25,90.19,82.32,73.29,84.91,88.04,47.31,89.01,78.56,34.52,85.99,75.83,82.18,82.08,22.39,82.08,26.51,81.30,22.62,84.52,77.59,45.46,86.96,62.26,74.22,47.31,85.69,72.27,86.08,76.12,75.59,87.26,58.20,84.91,46.39,85.89,84.38,78.12,84.28,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,5,(b) Bacillary,9,4,9,133,137,137,-,-,-,-,-,-,-,-,-,,,...,1,*...,,1,-,1,-,-,-,-,-,-,1,-,-,6,4,4,5,,,,,,,,
