cdi_ca_1956_wk_prov_dbs_Part10_confidences.csv,85.01,91.89,86.33,82.23,88.57,91.41,32.50,91.50,88.13,72.75,87.35,84.81,24.52,85.50,20.06,86.33,20.80,88.87,20.86,88.43,81.98,77.39,89.01,58.84,86.67,20.64,85.89,36.18,85.60,77.05,26.78,88.43,52.59,84.42,47.34,86.62,85.50,82.62,85.94,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,15,Scarlet fever, etc.⁵,402,402,394,"3,310","2,446","3,904",2,2,1,18,19,6,32,32,23,1,6,19,89,79,87,204,190,89,14,2,7,-,7,21,24,19,68,18,46,77,15,,,,
cdi_ca_1956_wk_prov_dbs_Part11_confidences.csv,80.42,88.18,78.71,73.83,81.10,85.40,42.55,86.52,75.49,28.17,79.74,68.51,81.49,74.46,37.23,78.37,23.88,76.22,19.87,80.62,63.96,54.05,82.37,48.71,78.71,46.36,72.61,71.58,80.37,70.41,73.14,85.74,79.20,74.80,62.26,86.28,83.59,83.20,84.03,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,15,Scarlet fever, etc.⁵,415,401,459,"3,724","2,754","4,343",1,2,-,16,18,7,26,32,9,1,-,19,104,89,100,205,204,68,5,14,15,1,-,10,36,24,42,20,18,57,15,,,,
cdi_ca_1956_wk_prov_dbs_Part12_confidences.csv,69.68,79.25,74.76,62.84,76.17,78.81,74.37,78.32,71.39,41.31,76.37,65.28,75.29,75.78,33.89,74.07,22.63,74.56,16.54,76.61,71.44,40.67,77.54,68.36,75.59,41.31,75.59,27.22,74.85,65.48,71.04,74.85,31.74,66.94,66.36,74.61,73.39,44.95,72.07,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,15,Scarlet fever, etc.5,333,415,432,"4,057","3,086","4,832",2,1,3,-,16,9,24,26,12,1,1,10,115,104,76,148,205,65,-,5,18,1,1,34,17,36,69,25,20,70,15,,,,
cdi_ca_1956_wk_prov_dbs_Part13_confidences.csv,79.88,90.14,81.84,79.54,86.47,88.23,20.15,86.77,77.78,49.54,80.42,75.05,37.96,79.59,34.13,72.02,47.14,83.40,28.42,83.50,76.66,54.30,86.23,33.64,83.45,47.14,75.59,28.42,82.28,50.10,74.85,85.35,81.25,78.61,34.94,87.70,85.01,82.62,82.67,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,15,Scarlet fever, etc.⁵,319,352,324,"4,395","3,304","5,272",1,2,1,14,16,3,27,24,31,-,1,9,51,115,70,180,151,67,2,-,15,1,1,9,12,17,49,31,25,50,15,,,,
cdi_ca_1956_wk_prov_dbs_Part14_confidences.csv,77.69,86.23,78.71,70.07,81.20,84.18,45.24,85.16,75.10,33.01,82.23,72.51,78.56,78.47,21.40,78.47,25.37,77.73,21.63,80.81,74.17,43.48,83.15,59.52,70.95,45.24,81.93,69.09,82.32,72.75,72.27,83.40,55.66,81.20,44.36,82.13,80.66,74.71,80.57,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,15,Scarlet fever, etc.⁵,537,332,437,"4,945","3,532","5,714",-,1,-,12,14,7,57,37,6,-,-,15,200,51,105,203,180,74,2,2,11,38,1,23,12,12,50,13,34,65,15,,,,
