cdi_ca_1956_wk_prov_dbs_Part1_tables.csv,7,Influenza, epidemic,88,181,87,88,108,32,,,...,34,104,A.O,48,70,69,-,-,1,2,-,-,-,1,4,-,1,-,-,-,-,A.A,,,4,5,I,7,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part2_tables.csv,7,Influenza, epidemic,200,89,62,289,614,109,...,...,...,100,34,...,95,48,51,-,-,-,-,2,-,4,1,7,-,-,2,-,-,-,P...,,P...,1,4,-,7,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part3_tables.csv,7,Influenza, epidemic,39,200,88,328,"1,402",158,2,:,...,26,100,...,-,95,55,1,-,2,-,-,-,-,4,4,3,-,1,-,-,-,..,:,..,8,1,1,7,,,,,,
cdi_ca_1956_wk_prov_dbs_Part4_tables.csv,7,Influenza, epidemic,482,131,242,902,"5,418",535,:,2,:.,85,26,...,73,92,24,-,-,1,6,-,-,2,-,18,2,3,4,-,-,I,...,....,...,314,8,10,7,,,,,,
cdi_ca_1956_wk_prov_dbs_Part5_tables.csv,7,Influenza, epidemic,115,482,161,"1,017","6,930",777,..,,9.A,6,85,..,104,73,65,-,-,1,-,6,-,1,2,14,2,2,3,-,-,5,..A,P...,9.A,2,314,14,7,,,,,
cdi_ca_1956_wk_prov_dbs_Part6_tables.csv,7,Influenza, epidemic,93,130,99,"1,125","7,029",938,...,...,..P.,26,6,9..9,52,104,48,-,-,1,-,-,-,5,16,10,9,2,2,-,-,-,,...,A.O.,1,2,23,7,,,,,
cdi_ca_1956_wk_prov_dbs_Part7_tables.csv,7,Influenza, epidemic,205,97,324,"1,334","7,370","1,244",...,...,...,86,26,...,83,56,67,-,-,3,-,-,-,4,5,4,2,9,2,-,-,-,,:,:,30,1,24,7,,,,
cdi_ca_1956_wk_prov_dbs_Part8_tables.csv,7,Influenza, epidemic,104,205,327,"1,438","9,526","1,568",....,....,,49,86,T.R,32,83,196,1,-,-,-,-,-,21,4,5,1,2,2,-,-,2,...,,...,-,30,42,7,,,,
cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,7,Influenza, epidemic,"1,093",129,648,"2,556","13,453","1,895",A.P.,,,32,49,...,72,32,211,-,1,2,-,-,-,27,46,110,2,1,4,-,-,-,...,...,,960,-,73,7,,,
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,7,Influenza, epidemic,167,"1,093",477,"2,723","14,299","2,543",...,...,...,27,32,...,46,72,191,-,-,1,-,-,-,74,27,66,2,2,4,8,-,3,,R.P.,....,10,960,61,7,,,
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,7,Influenza, epidemic,"2,230",167,284,"4,953","18,776","3,020",....,...,R.P.,65,27,....,63,46,107,-,-,1,-,-,-,26,74,24,1,2,1,I,B,-,,,,2075,10,200,7,,,
