cdi_ca_1956_wk_prov_dbs_Part10_confidences.csv,85.11,91.99,86.38,82.32,88.67,91.50,32.54,91.60,88.18,72.85,87.45,84.91,24.55,85.55,20.07,86.38,20.83,88.96,20.89,88.53,82.03,77.49,89.06,58.89,86.77,20.67,85.99,36.21,85.69,77.15,26.81,88.53,52.69,84.52,47.39,86.72,85.55,82.71,86.04,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,Chickenpox,"1,111","1,234","1,188","12,260","11,377","13,247",3,-,3,-,-,5,39,65,45,-,-,1,244,495,240,621,379,558,18,25,34,:,..,27,,...,66,186,270,174,1,,
cdi_ca_1956_wk_prov_dbs_Part11_confidences.csv,82.28,90.23,80.52,75.54,82.96,87.35,43.55,88.53,77.25,28.83,81.59,70.07,83.40,76.22,38.11,80.18,24.44,77.98,20.34,82.52,65.48,55.32,84.28,49.85,80.52,47.44,74.32,73.24,82.23,72.02,74.85,87.74,81.01,76.51,63.72,88.28,85.50,85.16,85.99,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,1,Chickenpox,"1,135","1,111","1,031","13,395","12,408","14,545",1,3,2,-,-,6,30,39,17,-,-,1,276,244,230,579,621,503,29,18,26,A.P.,...,21,,,56,220,186,145,1,,
cdi_ca_1956_wk_prov_dbs_Part12_confidences.csv,80.57,91.65,86.47,72.71,88.09,91.11,86.04,90.62,82.57,47.78,88.33,75.49,87.11,87.65,39.18,85.64,26.17,86.23,19.13,88.62,82.62,47.02,89.70,79.10,87.45,47.78,87.45,31.47,86.57,75.73,82.18,86.57,36.69,77.44,76.76,86.28,84.86,81.45,83.40,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,1,Chickenpox,"1,028","1,137","1,083","14,425","13,421","15,326",2,1,4,-,-,3,16,32,31,-,-,1,335,276,179,382,579,524,14,29,24,P...,9.8,36,P.R.,A.P.,55,279,220,162,1,,
cdi_ca_1956_wk_prov_dbs_Part13_confidences.csv,78.96,89.11,80.91,78.66,85.50,87.26,19.92,85.79,76.90,48.97,79.49,74.17,37.52,78.71,33.74,71.19,46.61,82.47,28.10,82.57,75.78,53.66,85.25,33.25,82.52,46.61,74.76,28.08,81.35,49.51,74.02,84.38,80.32,77.73,34.55,86.72,84.03,81.64,81.74,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,1,Chickenpox,690,"1,028",952,"15,115","14,211","16,260",2,2,1,1,-,2,17,16,27,-,-,-,199,335,173,296,382,473,14,14,25,R.P.,....,19,P...,...,47,161,279,183,1,,,,
cdi_ca_1956_wk_prov_dbs_Part14_confidences.csv,81.45,90.43,82.57,73.49,85.16,88.23,47.44,89.26,78.76,34.59,86.23,76.03,82.37,82.28,22.45,82.28,26.59,81.54,22.68,84.72,77.78,45.58,87.21,62.40,74.41,47.44,85.94,72.46,86.28,76.32,75.78,87.45,58.35,85.16,46.51,86.13,84.57,78.32,84.47,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,1,Chickenpox,813,691,919,"15,929","15,084","17,327",27,2,2,5,1,3,18,18,34,-,-,-,240,199,170,395,296,421,15,14,35,.....,:,13,:,P...,21,113,161,149,1,,,,,
cdi_ca_1956_wk_prov_dbs_Part15_confidences.csv,41.21,91.21,84.23,81.45,87.84,90.19,71.48,89.55,80.81,36.40,82.32,77.59,78.17,81.79,37.89,84.47,19.20,83.64,18.93,85.21,82.08,82.67,87.70,21.15,87.70,47.07,85.74,36.06,83.98,66.50,78.61,86.38,77.78,83.84,47.07,86.08,81.98,82.13,85.79,,,,,,,,
