cdi_ca_1956_wk_prov_dbs_Part10_confidences.csv,83.94,90.72,85.21,81.20,87.45,90.23,32.08,90.33,86.96,71.83,86.23,83.74,24.21,84.38,19.79,85.21,20.53,87.70,20.59,87.30,80.91,76.37,87.84,58.11,85.55,20.37,84.77,35.72,84.52,76.07,26.44,87.30,51.95,83.35,46.73,85.50,84.38,81.54,84.81,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,25,"(c) "" other",31,56,63,354,497,591,-,5,1,-,1,-,4,-,2,-,-,3,15,26,24,3,13,16,-,1,2,3,6,2,2,-,2,4,4,3,25,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part11_confidences.csv,82.18,90.14,80.42,75.49,82.86,87.26,43.51,88.43,77.15,28.81,81.49,70.02,83.30,76.12,38.06,80.13,24.41,77.88,20.31,82.42,65.38,55.27,84.18,49.80,80.42,47.39,74.22,73.14,82.13,71.97,74.80,87.65,80.96,76.46,63.62,88.18,85.45,85.06,85.89,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,25,(c) other,32,31,58,386,552,633,2,-,1,-,-,-,1,4,3,-,-,3,16,15,35,11,3,16,-,-,2,-,3,2,1,2,2,1,4,2,25,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part12_confidences.csv,79.44,90.38,85.25,71.68,86.87,89.84,84.86,89.36,81.45,47.12,87.11,74.46,85.89,86.43,38.65,84.47,25.81,85.06,18.87,87.40,81.49,46.39,88.43,77.98,86.23,47.12,86.23,31.03,85.35,74.66,81.05,85.35,36.18,76.37,75.68,85.06,83.69,80.32,82.23,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,25,(c) other,26,32,58,412,597,691,-,2,3,-,-,-,2,1,3,-,-,3,8,16,14,8,11,15,5,-,3,1,-,2,1,1,2,1,1,4,25,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part13_confidences.csv,78.71,88.82,80.66,78.42,85.21,86.96,19.86,85.55,76.66,48.83,79.25,73.97,37.40,78.47,33.64,70.95,46.46,82.23,28.03,82.32,75.54,53.52,84.96,33.15,82.28,46.46,74.51,28.00,81.05,49.37,73.78,84.13,80.08,77.49,34.45,86.43,83.74,81.40,81.49,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,25,"(c) "" other",40,26,46,452,637,762,-,-,3,-,-,-,2,2,3,1,-,1,20,8,18,6,8,14,2,5,1,1,1,3,2,1,1,6,1,8,25,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part14_confidences.csv,80.52,89.40,81.59,72.66,84.18,87.26,46.90,88.28,77.88,34.20,85.25,75.15,81.45,81.35,22.19,81.35,26.29,80.62,22.42,83.79,76.90,45.07,86.18,61.67,73.54,46.90,84.96,71.63,85.30,75.44,74.95,86.47,57.71,84.18,45.97,85.16,83.64,77.44,83.54,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,25,(c) other,52,40,47,502,678,946,4,-,3,-,-,-,-,2,1,2,1,1,28,20,20,15,6,12,-,2,1,1,1,4,-,2,1,2,6,3,25,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part15_confidences.csv,84.28,92.63,85.50,82.71,89.21,91.60,72.61,90.92,82.08,36.96,83.59,78.81,79.39,83.06,38.50,85.79,19.51,84.96,19.24,86.57,83.40,83.94,89.06,21.48,89.06,47.80,87.06,36.62,85.30,67.53,79.83,87.70,79.00,85.16,47.80,87.45,83.30,83.40,87.11,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,25,"(c) "" other",52,52,70,556,712,854,1,4,-,-,-,-,2,-,4,-,2,1,28,28,25,14,15,15,-,-,-,-,1,4,2,-,1,5,2,8,25,,,,,,,,
