cdi_ca_1956_wk_prov_dbs_Part10_confidences.csv,78.91,85.30,80.13,76.37,82.23,84.86,30.18,84.91,81.79,67.53,81.10,78.76,22.77,79.35,18.62,80.13,19.31,82.47,19.36,82.08,76.07,71.83,82.62,54.64,80.47,19.17,79.74,33.57,79.49,71.53,24.87,82.08,48.83,78.37,43.95,80.42,79.35,76.71,79.79,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,12,(a) With paralysis,3,-,2,18,27,27,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,12,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,12,(a) With paralysis,2,3,2,20,28,28,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,12,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,12,(a) With paralysis,1,2,3,21,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,12,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,12,(a) With paralysis,2,1,1,23,36,36,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,12,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,12,(a) With paralysis,3,2,2,26,39,39,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,12,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,12,(a) With paralysis,-,3,2,27,42,39,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,12,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,12,(a) With paralysis,1,-,-,28,44,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,am,-,-,-,-,1,-,-,12,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part17_tables.csv,12,(a) With paralysis,1,1,3,30,47,42,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,12,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part18_tables.csv,12,(a) With paralysis,1,1,1,31,48,43,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,12,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part19_tables.csv,12,(a) With paralysis,1,1,3,32,51,50,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,12,,,,,,,,
