DOMINION BUREAU OF STATISTICS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended June 9, 1956, in comparison with the previous week 1, and the 5 year (1951-55) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. 
,,Report Week,Previous Week,Median 1951-55,Cumulative Total 3,,,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,
26,(d) Gonorrhoea,268,286,282,6148,6273,6273,5,2,5,1,-,-,11,8,6,4,4,3,48,76,58,33,34,46,20,15,17,34,22,24,59,52,57,53,73,53,26
27,(e) Other venereal diseases 8,-,-,-,-,13,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,143,145,175,5382,6320,3901,-,7,-,15,14,-,2,-,7,2,1,-,80,79,34,6,5,42,17,16,3,3,9,2,2,1,17,16,13,25,28
"(1) Figures adjusted for delayed reports. (2) Exclusive of Yukon and Northwest Territories. (3) Total accumulated to the end of the current week from the first week ending in January of the year stated. (4) Includes cases where type was not specified. (5) Scarlet fever includes cases of streptococcal sore throat. (6) Type not specified. (7) Includes chancroid, granuloma inguinale and lymphogranuloma venereum.   .. Not reportable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE SITUATION IN THE UNITED STATES (Source: ""MORBIDITY AND MORTALITY-WEEKLY REPORT"", U.S. National Office of Vital Statistics): Number of reported cases for the current week (previous week in parentheses):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diphtheria,43 (22),Measles,24217 (24746),"Meningitis, other",25 (16),"Poliomyelitis, with paralysis",84 (60),Smallpox,- (-),Undulant fever,29 (14),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Encephalitis, infectious",38 (35),Meningococcal infections,37 (54),"Poliomyelitis, acute",176 (121),"Poliomyelitis, without paralysis",71 (36),Typhoid fever,39 (35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The number of poliomyelitis cases reported for the current week is 176, excluding South Dakota for which no report was received. This compares with 299 for the same week last year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The increase over the previous week occurred in all divisions except the East North Central, West North Central, and East South Central. Illinois has reported a gradual increase in the number of cases for the past 3 weeks, but 18 of the 26 cases occurred in Cook County.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The number of poliomyelitis cases by type reported in the United States for the current week, disease year, and calendar year are shown below.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Current week,,Disease year *,,Calendar year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1956,1955,1956,1955,1956,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,176,299,973,1770,2041,2833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paralytic,84,112,495,692,1079,1156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nonparalytic,71,98,326,594,611,874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unspecified,21,89,152,494,351,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* - Beginning approximately April 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ENTERED BY: Gabrielle MacKinnon on June 30, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
