"Lag","Manual","Textract","Difference","Relative_Difference"
-12,0.0236286125897611,0.0278676630374356,0.00423905044767448,0.179403273534197
-11,0.0257778074726733,0.0357464094587618,0.00996860198608849,0.386712562604716
-10,0.00550400234193233,0.0192627759672568,0.0137587736253244,2.49977612118785
-9,0.0290912346659668,0.0483924556011989,0.019301220935232,0.6634720443066
-8,0.0347922877478632,0.0320140429301883,-0.00277824481767492,-0.0798523177840051
-7,0.0475758496145779,0.0391523379044675,-0.00842351171011049,-0.177054362210053
-6,0.0052133622370306,0.0139609674145295,0.00874760517749894,1.67792007916975
-5,-0.0277092054810477,-0.00429515597611826,0.0234140495049294,-0.84499173103119
-4,-0.00930026465436653,0.00644215741173637,0.0157424220661029,-1.69268538597036
-3,-0.0301374416883628,0.015182548679449,0.0453199903678119,-1.50377695746191
-2,0.00497663474420936,0.0748396738959436,0.0698630391517342,14.0382090996379
-1,0.0594300884952665,0.115317287858519,0.0558871993632526,0.940385598916009
0,0.0609582160442051,0.116798433511536,0.0558402174673306,0.91604087342118
1,0.0383889193653937,0.0817948671543375,0.0434059477889439,1.13068949338733
2,0.0776978678810332,0.136582202068556,0.058884334187523,0.757862934896534
3,0.0848432371067874,0.131747281210729,0.0469040441039413,0.552831854410574
4,0.0360548372324322,0.111036199921673,0.0749813626892405,2.07964779332835
5,-0.00272437345644048,0.0588101712776678,0.0615345447341083,-22.5866775308059
6,0.0188151866192533,0.0665722520729798,0.0477570654537266,2.53821906846555
7,0.0136113805793863,0.029919021450313,0.0163076408709267,1.19808867115388
8,-0.0298772010256327,0.000363445243222843,0.0302406462688556,-1.01216463493053
9,-0.0339276048126839,0.010991496353652,0.0449191011663359,-1.32396912232197
10,-0.0392107606860219,0.00772445316231613,0.046935213848338,-1.1969982991192
11,-0.0755397474067393,-0.0569092962461049,0.0186304511606344,-0.246631102170885
12,-0.122278902088535,-0.104111365902482,0.0181675361860538,-0.148574577263539
