DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended October 26, 1957, in comparison with the previous week 1, and the 5 year (1952-56) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1952-56,Cumulative Total 3,,,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week ,Previous Week,Median 1952-56,,,,,,,,,,,,
,,,,,1957,1956,Median 1952-1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,287,169,516,28286,28746,30885,..,..,..,..,..,..,4,10,13,..,..,..,90,54,147,115,51,186,7,7,24,..,..,..,..,..,..,71,47,63,1,,,,,,,,,,,
2,Diphtheria,9,2,6,120,92,92,6,-,-,-,-,-,-,-,-,-,-,-,1,-,5,-,1,-,2,1,-,-,-,-,-,-,1,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,3,2,12,549,508,559,-,-,-,-,-,-,-,-,-,-,-,-,..,..,..,-,-,2,3,1,1,-,-,-,-,-,-,-,1,2,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,7,2,4,-,-,-,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,3,2,12,542,506,557,-,-,-,-,-,-,-,-,-,-,-,-,..,..,..,-,-,2,3,1,1,-,-,-,-,-,-,-,1,2,5,,,,,,,,,,,
6,"Encephalitis, infectious",2,-,1,29,40,35,-,-,-,..,..,..,-,-,-,-,-,-,..,..,..,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",26227,35809,73,114930,9818,9522,*,..,..,364,351,-,4477,5852,50,*,..,..,-,-,-,2576,7273,3,1274,750,1,-,30,-,..,..,..,17536,(8),-,7,,,,,,,,,,,
8,Measles,100,130,530,46710,44299,46759,-,-,3,..,..,..,1,7,19,..,..,..,19,11,162,30,21,115,9,13,19,..,..,..,30,20,69,11,58,74,8,,,,,,,,,,,
9,"Meningitis, Meningococcal",9,6,7,293,247,247,3,-,-,-,-,-,-,-,-,1,2,1,1,-,1,2,3,2,1,1,-,-,-,-,..,..,..,1,-,-,9,,,,,,,,,,,
10,Mumps,129,98,297,20450,23147,23147,**,..,..,..,..,..,12,4,16,..,..,..,46,12,..,46,49,127,2,2,12,..,..,..,..,..,..,23,31,52,10,,,,,,,,,,,
11,"Poliomyelitis, epidemic: 4",14,2,98,266,493,2101,-,-,-,-,-,1,-,-,2,-,-,2,2,1,7,3,1,8,-,-,2,3,-,12,4,-,22,2,-,11,11,,,,,,,,,,,
12,(a) With paralysis,13,2,51,167,291,1012,-,-,-,-,-,-,-,-,1,-,-,-,2,1,5,3,1,6,-,-,2,2,-,5,4,-,1,2,-,6,12,,,,,,,,,,,
13,(b) Without paralysis,-,-,24,87,187,611,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,-,-,4,-,-,1,-,-,4,-,-,1,-,-,6,13,,,,,,,,,,,
14,Rubella,39,45,42,15896,49753,9359,-,-,-,..,..,..,-,2,1,..,..,..,8,1,4,10,10,13,1,-,-,..,..,..,16,11,6,4,21,10,14,,,,,,,,,,,
15,"Scarlet fever, etc. 5 **",141,58,195,7234,9926,10124,5,3,3,8,-,4,110,28,26,1,-,2,-,4,43,11,16,47,2,-,6,-,-,2,4,-,21,-,7,30,15,,,,,,,,,,,
