DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended November 9, 1957, in comparison with the previous week 1, and the 5 year (1952-56) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1952-56,Cumulative Total 3,,,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week ,Previous Week,Median 1952-56,,,,,,,,,,,,
26,(d) Gonorrhoea,280,282,335,12321,12614,12762,1,2,7,-,-,-,4,6,10,2,4,1,55,41,69,23,38,55,10,19,21,35,34,29,56,40,56,94,98,81,26,,,,,,,,,,,
27,(e) Other venereal diseases 7,-,-,1,12,10,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,,,,,,,,,,,
28,Whooping cough,153,71,223,6528,7433,8053,-,-,-,-,-,-,6,4,9,-,-,-,10,17,121,36,34,53,1,-,5,2,-,11,10,5,20,88,11,10,28,,,,,,,,,,,
"(1) Figures adjusted for delayed reports. (2) Exclusive of Yukon and Northwest Territories. (3) Total accumulated to the end of the current week from the first week ending in January of the year stated. (4) Includes cases where type was not specified. (5) Scarlet fever includes cases of streptococcal sore throat, strptococcal sore throat not reportable in New Brunsick and Quebec. (6) Type not specified. (7) Includes chancroid, granuloma inguinale and lymphogranuloma venereum. .. Not reportable. (8) Report not received",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE SITUATION IN THE UNITED STATES (Source: ""MORBIDITY AND MORTALITY-WEEKLY REPORT"", U.S. National Office of Vital Statistics): Number of reported cases for the current week (previous week in parentheses):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diphtheria,23 (38),Measles,1429 (1325),"Meningitis, other",41 (30),"Poliomyelitis, with paralysis",35 (38),Smallpox,- (-),Undulant fever,14 (8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Encephalitis, infectious",50 (39),Meningococcal infections,66 (68),"Poliomyelitis, acute",67 (67),"Poliomyelitis, without paralysis",17 (14),Typhoid fever,23 (12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reports from various dtates indicae that the incidence of influenza and influenza-like disease remains high although a number of states reported decreases. Some report a decrease inone part of the state and an increase in other parts. A few states report that abesnteeism in industrial employee groups has increased slightly. The estimated total number of cases for the week ended November 9 in 38 states is about 1,100,000.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*NEWFOUNDLAND reports Chickenpox (epidemic) at St.Lawrence.
**NEWFOUNDLAND reports Influenza (epidemic) at Corner Book; JamestownB.B.; Harbour Breton; Bonne Bay Area; Bloomfield, B.B.; Carmanville, Fogo District; Placentia Area; Ferryland District; Codroy Valley; Curling and Vicinity.
NEW BRUNSWOCK reports Influenza-like Disese: This is reported prevalent among school children in Gloucester, Restigouche, Saint John and Westmorland Counties. One industry in Bathhurst is reported affected to extent of 20% of workers.
***NEWFOUNDLAND reports Measles (epidemic) at St. Lawrence.
****NEWOFOUNDLAND reports Mumps (epidemic) at Baie Verte and White Bay South",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ENTERED BY: Samara Manzin on June 21, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File copied from: cdi_ca_1957_wk_province_dbs.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
